Time,Extension,Load
(sec),(mm),(N)
0.00000,0.00000,2.94943
0.10000,0.07594,3.29997
0.20000,0.16469,3.29252
0.30000,0.24925,3.51934
0.40000,0.33306,3.58138
0.50000,0.41669,3.94897
0.60000,0.49994,4.03276
0.70000,0.58331,3.92977
0.80000,0.66675,4.20936
0.90000,0.74994,4.13566
1.00000,0.83337,4.32387
1.10000,0.91675,4.64511
1.20000,0.99994,4.58127
1.30000,1.08337,4.82377
1.40000,1.16675,4.88110
1.50000,1.24994,4.60067
1.60000,1.33331,4.96989
1.70000,1.41669,4.91755
1.80000,1.49987,5.06348
1.90000,1.58337,5.23311
2.00000,1.66669,5.25555
2.10000,1.74994,5.49443
2.20000,1.83344,5.69415
2.30000,1.91675,5.61188
2.40000,1.99994,5.62575
2.50000,2.08337,5.70439
2.60000,2.16662,5.93822
2.70000,2.24987,6.06420
2.80000,2.33331,6.12462
2.90000,2.41675,6.00756
3.00000,2.49994,6.06714
3.10000,2.58337,6.21492
3.20000,2.66675,6.22771
3.30000,2.74994,6.41886
3.40000,2.83331,6.61824
3.50000,2.91675,6.44478
3.60000,2.99994,6.60393
3.70000,3.08331,6.70389
3.80000,3.16675,6.97290
3.90000,3.24987,6.81997
4.00000,3.33337,6.81546
4.10000,3.41669,6.83619
4.20000,3.49994,7.04052
4.30000,3.58337,7.02744
4.40000,3.66681,7.03003
4.50000,3.74994,7.13651
4.60000,3.83331,7.09300
4.70000,3.91675,7.27440
4.80000,3.99994,7.20286
4.90000,4.08331,7.31639
5.00000,4.16675,7.62700
5.10000,4.24994,7.52444
5.20000,4.33337,7.48123
5.30000,4.41675,7.71148
5.40000,4.49994,7.52880
5.50000,4.58337,7.88685
5.60000,4.66675,7.84167
5.70000,4.75000,7.87871
5.80000,4.83325,7.90213
5.90000,4.91675,8.18795
6.00000,4.99987,8.07476
6.10000,5.08331,7.88224
6.20000,5.16675,8.04369
6.30000,5.24994,8.21740
6.40000,5.33331,8.37773
6.50000,5.41675,8.49106
6.60000,5.50000,8.47122
6.70000,5.58337,8.49827
6.80000,5.66675,8.52100
6.90000,5.74994,8.38669
7.00000,5.83331,8.60014
7.10000,5.91669,8.42986
7.20000,5.99994,8.65605
7.30000,6.08331,8.74870
7.40000,6.16675,8.64571
7.50000,6.24994,8.71230
7.60000,6.33337,8.90237
7.70000,6.41669,8.70828
7.80000,6.49994,9.04275
7.90000,6.58331,9.03026
8.00000,6.66675,9.12595
8.10000,6.74994,9.23429
8.20000,6.83331,9.16163
8.30000,6.91675,9.26546
8.40000,6.99987,9.30265
8.50000,7.08337,9.36008
8.60000,7.16675,9.53123
8.70000,7.24994,9.43686
8.80000,7.33337,9.45935
8.90000,7.41675,9.51673
9.00000,7.49994,9.66285
9.10000,7.58331,9.44308
9.20000,7.66669,9.57195
9.30000,7.74994,9.69048
9.40000,7.83325,9.61590
9.50000,7.91675,9.84905
9.60000,7.99987,9.89011
9.70000,8.08337,9.73884
9.80000,8.16681,9.92955
9.90000,8.25000,10.25212
10.00000,8.33337,9.89559
10.10000,8.41675,10.24149
10.20000,8.49981,10.00447
10.30000,8.58325,10.27858
10.40000,8.66669,10.38324
10.50000,8.74994,10.42406
10.60000,8.83331,10.48849
10.70000,8.91675,10.34492
10.80000,8.99987,10.31572
10.90000,9.08337,10.51549
11.00000,9.16675,10.56131
11.10000,9.24994,10.40431
11.20000,9.33337,10.21463
11.30000,9.41675,10.56518
11.40000,9.49994,10.71624
11.50000,9.58325,10.68542
11.60000,9.66675,10.62594
11.70000,9.74987,10.84472
11.80000,9.83337,10.90127
11.90000,9.91675,10.95208
12.00000,10.00000,10.84031
12.10000,10.08331,10.95399
12.20000,10.16675,10.88343
12.30000,10.24994,11.06454
12.40000,10.33337,11.17273
12.50000,10.41669,11.16278
12.60000,10.49994,11.23584
12.70000,10.58331,11.25960
12.80000,10.66669,11.34477
12.90000,10.74994,11.21526
13.00000,10.83337,11.17209
13.10000,10.91675,11.18797
13.20000,10.99994,11.43502
13.30000,11.08337,11.47873
13.40000,11.16669,11.61809
13.50000,11.24987,11.55159
13.60000,11.33331,11.83119
13.70000,11.41675,11.43625
13.80000,11.49987,11.55434
13.90000,11.58331,11.57036
14.00000,11.66675,11.67674
14.10000,11.74994,11.51205
14.20000,11.83337,11.85471
14.30000,11.91675,11.67507
14.40000,11.99987,11.60682
14.50000,12.08331,11.66944
14.60000,12.16669,11.73446
14.70000,12.24994,11.97304
14.80000,12.33337,11.91419
14.90000,12.41675,11.91841
15.00000,12.49994,11.72010
15.10000,12.58337,11.97294
15.20000,12.66675,12.11196
15.30000,12.74987,12.14885
15.40000,12.83331,11.88033
15.50000,12.91675,12.14307
15.60000,12.99994,12.18291
15.70000,13.08331,12.34784
15.80000,13.16675,12.09201
15.90000,13.24987,12.25925
16.00000,13.33331,12.10299
16.10000,13.41675,12.21868
16.20000,13.49994,12.15223
16.30000,13.58331,12.13479
16.40000,13.66681,12.37856
16.50000,13.74987,12.32471
16.60000,13.83331,12.43340
16.70000,13.91675,12.37469
16.80000,13.99987,12.27091
16.90000,14.08331,12.51341
17.00000,14.16675,12.57050
17.10000,14.24994,12.48749
17.20000,14.33331,12.49420
17.30000,14.41681,12.55153
17.40000,14.50000,12.47558
17.50000,14.58331,12.51508
17.60000,14.66675,12.55286
17.70000,14.74994,12.78546
17.80000,14.83331,12.77737
17.90000,14.91669,12.60063
18.00000,14.99994,12.74131
18.10000,15.08331,12.86719
18.20000,15.16675,12.81844
18.30000,15.24994,12.95073
18.40000,15.33331,12.71887
18.50000,15.41675,12.79805
18.60000,15.50000,12.86185
18.70000,15.58331,12.83328
18.80000,15.66675,12.89782
18.90000,15.74987,12.93079
19.00000,15.83337,12.91795
19.10000,15.91668,13.20117
19.20000,15.99994,13.04281
19.30000,16.08337,12.98053
19.40000,16.16675,13.19975
19.50000,16.24993,13.21524
19.60000,16.33337,13.12361
19.70000,16.41675,13.19593
19.80000,16.49987,13.07074
19.90000,16.58331,13.26855
20.00000,16.66675,13.24576
20.10000,16.74994,13.25164
20.20000,16.83337,13.27389
20.30000,16.91675,13.23680
20.40000,16.99987,13.52697
20.50000,17.08331,13.27193
20.60000,17.16675,13.37155
20.70000,17.24993,13.45588
20.80000,17.33337,13.26306
20.90000,17.41681,13.30040
21.00000,17.49994,13.60121
21.10000,17.58331,13.35552
21.20000,17.66669,13.48346
21.30000,17.74987,13.64154
21.40000,17.83331,13.29354
21.50000,17.91681,13.63100
21.60000,17.99993,13.72072
21.70000,18.08331,13.45289
21.80000,18.16675,13.50012
21.90000,18.24994,13.73625
22.00000,18.33325,13.62963
22.10000,18.41668,13.77501
22.20000,18.49987,13.73895
22.30000,18.58331,13.70636
22.40000,18.66681,13.78168
22.50000,18.74994,13.82328
22.60000,18.83337,13.60983
22.70000,18.91675,13.69431
22.80000,18.99993,13.89516
22.90000,19.08331,13.90177
23.00000,19.16662,13.83557
23.10000,19.24993,13.78868
23.20000,19.33331,13.81524
23.30000,19.41675,13.90305
23.40000,19.49994,13.95440
23.50000,19.58337,14.11953
23.60000,19.66675,14.16892
23.70000,19.74993,13.92422
23.80000,19.83337,14.13163
23.90000,19.91675,13.89310
24.00000,19.99993,14.06146
24.10000,20.08331,14.09199
24.20000,20.16675,14.24879
24.30000,20.24987,14.19518
24.40000,20.33331,14.05436
24.50000,20.41675,14.06881
24.60000,20.49993,14.05191
24.70000,20.58337,14.31117
24.80000,20.66675,14.29181
24.90000,20.74993,14.14369
25.00000,20.83337,14.38545
25.10000,20.91669,14.12095
25.20000,20.99993,14.20709
25.30000,21.08337,14.36345
25.40000,21.16675,14.28383
25.50000,21.24987,14.27608
25.60000,21.33331,14.22199
25.70000,21.41675,14.46434
25.80000,21.49994,14.14618
25.90000,21.58331,14.47198
26.00000,21.66675,14.48502
26.10000,21.74993,14.43901
26.20000,21.83337,14.56817
26.30000,21.91668,14.43572
26.40000,21.99987,14.42808
26.50000,22.08331,14.25452
26.60000,22.16668,14.69954
26.70000,22.24993,14.48703
26.80000,22.33337,14.45513
26.90000,22.41675,14.57116
27.00000,22.49993,14.58390
27.10000,22.58331,14.61384
27.20000,22.66675,14.68734
27.30000,22.74993,14.45944
27.40000,22.83331,14.61786
27.50000,22.91668,14.78656
27.60000,22.99994,14.63506
27.70000,23.08331,14.79509
27.80000,23.16675,14.67769
27.90000,23.24993,14.83654
28.00000,23.33331,14.76633
28.10000,23.41681,14.82811
28.20000,23.49993,14.87163
28.30000,23.58331,14.82483
28.40000,23.66675,14.75893
28.50000,23.74987,14.89098
28.60000,23.83331,15.11413
28.70000,23.91662,14.85747
28.80000,23.99993,14.71987
28.90000,24.08331,15.04567
29.00000,24.16675,15.03377
29.10000,24.25000,14.89598
29.20000,24.33337,14.96497
29.30000,24.41674,15.00883
29.40000,24.49993,14.72909
29.50000,24.58325,14.81523
29.60000,24.66668,15.06924
29.70000,24.74987,15.01054
29.80000,24.83331,15.08855
29.90000,24.91675,15.01343
30.00000,24.99999,15.05018
30.10000,25.08337,15.14020
30.20000,25.16675,15.28788
30.30000,25.24993,15.20943
30.40000,25.33331,15.10962
30.50000,25.41675,15.10050
30.60000,25.49981,15.26416
30.70000,25.58331,15.32762
30.80000,25.66668,15.39176
30.90000,25.74987,15.33884
31.00000,25.83337,15.19165
31.10000,25.91675,15.34433
31.20000,25.99993,15.32497
31.30000,26.08337,15.23898
31.40000,26.16675,15.39568
31.50000,26.24993,15.43532
31.60000,26.33331,15.52112
31.70000,26.41669,15.38471
31.80000,26.49987,15.62177
31.90000,26.58331,15.55650
32.00000,26.66668,15.41646
32.10000,26.74993,15.58747
32.20000,26.83337,15.55772
32.30000,26.91675,15.74417
32.40000,26.99994,15.56605
32.50000,27.08331,15.53930
32.60000,27.16674,15.51671
32.70000,27.24993,15.82335
32.80000,27.33337,15.68346
32.90000,27.41675,15.61726
33.00000,27.49993,15.66283
33.10000,27.58325,15.68204
33.20000,27.66668,15.76470
33.30000,27.74987,15.64235
33.40000,27.83337,15.56880
33.50000,27.91675,15.77386
33.60000,28.00000,15.71472
33.70000,28.08337,15.77651
33.80000,28.16675,15.68356
33.90000,28.24987,15.81115
34.00000,28.33331,15.79826
34.10000,28.41668,15.78449
34.20000,28.49987,15.81532
34.30000,28.58337,15.88955
34.40000,28.66675,15.95325
34.50000,28.74993,15.98583
34.60000,28.83331,15.98353
34.70000,28.91675,15.96089
34.80000,28.99987,15.90650
34.90000,29.08331,16.08388
35.00000,29.16669,15.97515
35.10000,29.24993,16.03189
35.20000,29.33337,16.03944
35.30000,29.41675,16.01925
35.40000,29.49993,16.08545
35.50000,29.58337,16.02783
35.60000,29.66675,16.29262
35.70000,29.74994,16.17003
35.80000,29.83337,15.98461
35.90000,29.91674,16.18277
36.00000,29.99993,16.16057
36.10000,30.08331,16.20511
36.20000,30.16675,16.49068
36.30000,30.24987,16.30928
36.40000,30.33337,16.24470
36.50000,30.41675,16.18561
36.60000,30.49993,16.22726
36.70000,30.58337,16.29037
36.80000,30.66675,16.33942
36.90000,30.74993,16.34981
37.00000,30.83331,16.40748
37.10000,30.91668,16.35892
37.20000,30.99993,16.35735
37.30000,31.08331,16.30110
37.40000,31.16681,16.13577
37.50000,31.24993,16.52420
37.60000,31.33337,16.39768
37.70000,31.41674,16.59216
37.80000,31.49993,16.57418
37.90000,31.58331,16.80281
38.00000,31.66668,16.57467
38.10000,31.74993,16.70853
38.20000,31.83331,16.52336
38.30000,31.91675,16.60652
38.40000,31.99993,16.76797
38.50000,32.08331,16.60250
38.60000,32.16675,16.80629
38.70000,32.24999,16.77483
38.80000,32.33337,16.84813
38.90000,32.41675,16.64023
39.00000,32.49993,16.73568
39.10000,32.58331,16.77958
39.20000,32.66668,16.63155
39.30000,32.74993,16.74572
39.40000,32.83324,16.70790
39.50000,32.91674,16.82829
39.60000,32.99993,16.74509
39.70000,33.08337,16.74837
39.80000,33.16674,16.82256
39.90000,33.24993,16.96260
40.00000,33.33337,16.75430
40.10000,33.41668,16.96956
40.20000,33.49993,16.97328
40.30000,33.58331,17.05173
40.40000,33.66681,16.88694
40.50000,33.74987,17.22764
40.60000,33.83337,16.98303
40.70000,33.91668,17.10715
40.80000,33.99981,16.97304
40.90000,34.08331,17.09779
41.00000,34.16675,16.97225
41.10000,34.24987,16.96030
41.20000,34.33337,17.26507
41.30000,34.41674,17.16590
41.40000,34.49987,17.24444
41.50000,34.58331,17.14439
41.60000,34.66668,17.11219
41.70000,34.74993,17.32755
41.80000,34.83337,17.15835
41.90000,34.91681,17.25959
42.00000,34.99993,17.33196
42.10000,35.08337,17.30614
42.20000,35.16675,17.29874
42.30000,35.24987,17.22308
42.40000,35.33331,17.34009
42.50000,35.41674,17.51120
42.60000,35.49987,17.35558
42.70000,35.58331,17.37297
42.80000,35.66675,17.40154
42.90000,35.75000,17.45171
43.00000,35.83337,17.56373
43.10000,35.91675,17.38522
43.20000,35.99993,17.45392
43.30000,36.08324,17.53364
43.40000,36.16675,17.54937
43.50000,36.24987,17.52017
43.60000,36.33331,17.64889
43.70000,36.41674,17.56206
43.80000,36.49993,17.67819
43.90000,36.58337,17.66883
44.00000,36.66674,17.65546
44.10000,36.74993,17.80638
44.20000,36.83337,17.55520
44.30000,36.91674,17.70323
44.40000,36.99993,17.82990
44.50000,37.08331,17.83896
44.60000,37.16668,17.87164
44.70000,37.24993,17.84891
44.80000,37.33331,18.00331
44.90000,37.41675,17.84616
45.00000,37.49993,17.92162
45.10000,37.58331,17.79417
45.20000,37.66675,17.88870
45.30000,37.74993,17.91378
45.40000,37.83331,17.86302
45.50000,37.91675,17.89168
45.60000,37.99993,17.86268
45.70000,38.08331,17.94465
45.80000,38.16674,18.13654
45.90000,38.24987,18.21641
46.00000,38.33331,18.20205
46.10000,38.41674,18.11743
46.20000,38.49993,18.05755
46.30000,38.58343,18.19161
46.40000,38.66674,18.29789
46.50000,38.74987,18.24870
46.60000,38.83331,18.28716
46.70000,38.91668,18.22371
46.80000,38.99987,18.32827
46.90000,39.08331,18.39143
47.00000,39.16668,18.24801
47.10000,39.24993,18.30005
47.20000,39.33343,18.45033
47.30000,39.41674,18.26707
47.40000,39.49993,18.33665
47.50000,39.58330,18.37173
47.60000,39.66675,18.51295
47.70000,39.74987,18.40564
47.80000,39.83330,18.41329
47.90000,39.91674,18.60488
48.00000,39.99987,18.62149
48.10000,40.08331,18.38506
48.20000,40.16674,18.55833
48.30000,40.24993,18.33004
48.40000,40.33331,18.56906
48.50000,40.41681,18.59204
48.60000,40.49993,18.59606
48.70000,40.58330,18.66965
48.80000,40.66681,18.74815
48.90000,40.74987,18.75609
49.00000,40.83330,18.91514
49.10000,40.91674,18.67171
49.20000,40.99987,18.69278
49.30000,41.08337,18.74507
49.40000,41.16681,18.69028
49.50000,41.24993,18.83562
49.60000,41.33331,18.81690
49.70000,41.41674,18.90358
49.80000,41.49993,19.00075
49.90000,41.58324,18.70503
50.00000,41.66674,18.95229
50.10000,41.74993,18.73242
50.20000,41.83331,19.10360
50.30000,41.91674,19.09987
50.40000,41.99993,18.92592
50.50000,42.08343,19.16279
50.60000,42.16681,18.85884
50.70000,42.24993,18.90245
50.80000,42.33337,19.12643
50.90000,42.41674,18.94288
51.00000,42.49987,19.17435
51.10000,42.58330,19.21806
51.20000,42.66668,19.02623
51.30000,42.74987,19.27137
51.40000,42.83337,19.13981
51.50000,42.91675,19.12648
51.60000,42.99993,19.37290
51.70000,43.08337,19.24589
51.80000,43.16675,19.32601
51.90000,43.24993,19.26495
52.00000,43.33337,19.20464
52.10000,43.41668,19.35159
52.20000,43.49987,19.32150
52.30000,43.58331,19.51147
52.40000,43.66674,19.77651
52.50000,43.74993,19.51015
52.60000,43.83337,19.65867
52.70000,43.91674,19.28313
52.80000,43.99987,19.35747
52.90000,44.08337,19.61369
53.00000,44.16674,19.63622
53.10000,44.24993,19.47614
53.20000,44.33337,19.57061
53.30000,44.41668,19.72374
53.40000,44.49987,19.51084
53.50000,44.58318,19.63000
53.60000,44.66674,19.85109
53.70000,44.74993,19.90553
53.80000,44.83337,19.77847
53.90000,44.91681,19.87530
54.00000,44.99999,19.60893
54.10000,45.08330,19.66440
54.20000,45.16668,19.77342
54.30000,45.24987,19.67489
54.40000,45.33330,19.69836
54.50000,45.41674,19.74799
54.60000,45.49993,20.03234
54.70000,45.58337,19.91636
54.80000,45.66681,19.86770
54.90000,45.74993,20.07688
55.00000,45.83331,20.05958
55.10000,45.91674,20.20154
55.20000,45.99987,20.06747
55.30000,46.08330,19.89940
55.40000,46.16668,19.97653
55.50000,46.24993,20.04680
55.60000,46.33330,20.13083
55.70000,46.41674,20.16836
55.80000,46.49993,20.16003
55.90000,46.58337,20.20477
56.00000,46.66674,20.07629
56.10000,46.74993,20.26303
56.20000,46.83331,20.36672
56.30000,46.91680,20.42213
56.40000,46.99986,20.36383
56.50000,47.08331,20.43522
56.60000,47.16674,20.38769
56.70000,47.24993,20.34256
56.80000,47.33331,20.50004
56.90000,47.41680,20.33736
57.00000,47.49993,20.38999
57.10000,47.58331,20.34858
57.20000,47.66668,20.44972
57.30000,47.74987,20.45957
57.40000,47.83330,20.43659
57.50000,47.91668,20.55850
57.60000,47.99993,20.44345
57.70000,48.08336,20.55527
57.80000,48.16681,20.54596
57.90000,48.24993,20.65214
58.00000,48.33330,20.73417
58.10000,48.41674,20.64969
58.20000,48.49993,20.77072
58.30000,48.58330,20.71618
58.40000,48.66675,20.87509
58.50000,48.74987,20.61171
58.60000,48.83330,20.89057
58.70000,48.91668,20.69423
58.80000,48.99987,20.85716
58.90000,49.08337,20.73505
59.00000,49.16681,20.82124
59.10000,49.24993,20.95785
59.20000,49.33331,20.87622
59.30000,49.41680,20.99646
59.40000,49.49987,21.10960
59.50000,49.58331,21.13033
59.60000,49.66674,21.13807
59.70000,49.74993,21.05423
59.80000,49.83330,21.08500
59.90000,49.91674,21.03537
60.00000,49.99993,21.05781
60.10000,50.08337,21.10377
60.20000,50.16674,20.87097
60.30000,50.24993,21.21735
60.40000,50.33331,21.12768
60.50000,50.41674,21.23847
60.60000,50.49993,21.36690
60.70000,50.58337,21.13758
60.80000,50.66674,21.44060
60.90000,50.74987,21.42604
61.00000,50.83337,21.24117
61.10000,50.91668,21.51493
61.20000,50.99993,21.61190
61.30000,51.08330,21.45025
61.40000,51.16674,21.37641
61.50000,51.24993,21.69383
61.60000,51.33336,21.54604
61.70000,51.41668,21.53188
61.80000,51.49987,21.51738
61.90000,51.58330,21.44501
62.00000,51.66674,21.75885
62.10000,51.74993,21.50278
62.20000,51.83337,21.84313
62.30000,51.91674,21.38998
62.40000,51.99993,21.66291
62.50000,52.08330,21.79874
62.60000,52.16668,21.57035
62.70000,52.24986,21.82265
62.80000,52.33331,21.86425
62.90000,52.41674,21.89237
63.00000,52.49986,21.98660
63.10000,52.58331,21.94373
63.20000,52.66674,21.80952
63.30000,52.74993,21.99224
63.40000,52.83337,21.91526
63.50000,52.91674,21.75909
63.60000,52.99993,21.87008
63.70000,53.08324,22.01923
63.80000,53.16674,21.94833
63.90000,53.24987,22.05883
64.00000,53.33330,21.83127
64.10001,53.41674,22.01973
64.20000,53.49993,22.01144
64.30000,53.58336,22.19407
64.40000,53.66674,22.26835
64.50000,53.74993,21.91908
64.60001,53.83337,22.22699
64.70000,53.91668,22.33200
64.80000,53.99993,22.24635
64.90000,54.08330,22.24748
65.00000,54.16675,22.27874
65.10001,54.24987,22.25086
65.20000,54.33330,22.34807
65.30000,54.41674,22.41775
