Time,Extension,Load,Tensile strain,Tensile stress,Corrected Position
(sec),(mm),(N),(mm/mm),(MPa),(mm)
0.00000,0.00000,0.19665,0.00000,0.02185,0.00000
0.01000,0.00319,0.15435,0.00003,0.01715,0.00319
0.02000,0.02000,0.26694,0.00017,0.02966,0.02000
0.03000,0.05156,0.45268,0.00045,0.05030,0.05156
0.04000,0.09794,0.63203,0.00085,0.07023,0.09794
0.05000,0.15887,0.76744,0.00138,0.08527,0.15887
0.06000,0.23431,0.94485,0.00204,0.10498,0.23431
0.07000,0.32250,1.17265,0.00280,0.13029,0.32250
0.08000,0.41850,1.38437,0.00364,0.15382,0.41850
0.09000,0.51919,1.56752,0.00451,0.17417,0.51919
0.10000,0.62300,1.80442,0.00542,0.20049,0.62300
0.11000,0.72925,1.90167,0.00634,0.21130,0.72925
0.12000,0.83744,2.10848,0.00728,0.23428,0.83744
0.13000,0.94731,2.39774,0.00824,0.26642,0.94731
0.14000,1.05862,2.59646,0.00921,0.28850,1.05862
0.15000,1.16931,2.79925,0.01017,0.31103,1.16931
0.16000,1.27606,2.96633,0.01110,0.32959,1.27606
0.17000,1.37706,3.08423,0.01197,0.34269,1.37706
0.18000,1.47237,3.14651,0.01280,0.34961,1.47237
0.19000,1.56262,3.19706,0.01359,0.35523,1.56262
0.20000,1.64925,3.22461,0.01434,0.35829,1.64925
0.21000,1.73356,3.29282,0.01507,0.36587,1.73356
0.22000,1.81675,3.47479,0.01580,0.38609,1.81675
0.23000,1.89975,3.64527,0.01652,0.40503,1.89975
0.24000,1.98306,3.77985,0.01724,0.41998,1.98306
0.25000,2.06694,4.08655,0.01797,0.45406,2.06694
0.26000,2.15131,4.31816,0.01871,0.47980,2.15131
0.27000,2.23619,4.41211,0.01945,0.49023,2.23619
0.28000,2.32119,4.57895,0.02018,0.50877,2.32119
0.29000,2.40631,4.65867,0.02092,0.51763,2.40631
0.30000,2.49131,4.62391,0.02166,0.51377,2.49131
0.31000,2.57600,4.80451,0.02240,0.53383,2.57600
0.32000,2.66056,4.90304,0.02314,0.54478,2.66056
0.33000,2.74481,4.96015,0.02387,0.55113,2.74481
0.34000,2.82887,5.08533,0.02460,0.56504,2.82887
0.35000,2.91275,5.09571,0.02533,0.56619,2.91275
0.36000,2.99656,5.11136,0.02606,0.56793,2.99656
0.37000,3.08025,5.29752,0.02678,0.58861,3.08025
0.38000,3.16394,5.38132,0.02751,0.59793,3.16394
0.39000,3.24756,5.46124,0.02824,0.60680,3.24756
0.40000,3.33119,5.60980,0.02897,0.62331,3.33119
0.41000,3.41475,5.64629,0.02969,0.62737,3.41475
0.42000,3.49831,5.70355,0.03042,0.63373,3.49831
0.43000,3.58181,5.85540,0.03115,0.65060,3.58181
0.44000,3.66531,5.86057,0.03187,0.65117,3.66531
0.45000,3.74881,5.89174,0.03260,0.65464,3.74881
0.46000,3.83225,6.03355,0.03332,0.67039,3.83225
0.47000,3.91575,6.12522,0.03405,0.68058,3.91575
0.48000,3.99925,6.13499,0.03478,0.68167,3.99925
0.49000,4.08269,6.27368,0.03550,0.69708,4.08269
0.50000,4.16612,6.38598,0.03623,0.70955,4.16612
0.51000,4.24956,6.46163,0.03695,0.71796,4.24956
0.52000,4.33300,6.57086,0.03768,0.73010,4.33300
0.53000,4.41637,6.59334,0.03840,0.73259,4.41637
0.54000,4.49975,6.68839,0.03913,0.74315,4.49975
0.55000,4.58306,6.92368,0.03985,0.76930,4.58306
0.56000,4.66644,6.91814,0.04058,0.76868,4.66644
0.57000,4.74981,6.92035,0.04130,0.76893,4.74981
0.58000,4.83312,7.02076,0.04203,0.78008,4.83312
0.59000,4.91650,7.06264,0.04275,0.78474,4.91650
0.60000,4.99981,7.10433,0.04348,0.78937,4.99981
0.61000,5.08319,7.19445,0.04420,0.79938,5.08319
0.62000,5.16656,7.19911,0.04493,0.79990,5.16656
0.63000,5.24994,7.22191,0.04565,0.80243,5.24994
0.64000,5.33325,7.37520,0.04638,0.81947,5.33325
