Time,Extension,Load,Tensile strain,Tensile stress,Corrected Position
(sec),(mm),(N),(mm/mm),(MPa),(mm)
0.00000,0.00000,-0.09021,0.00000,-0.01002,0.00000
0.01000,0.00325,-0.11840,0.00003,-0.01316,0.00325
0.02000,0.02012,0.03073,0.00017,0.00341,0.02012
0.03000,0.05187,0.29181,0.00045,0.03242,0.05187
0.04000,0.09837,0.55403,0.00086,0.06156,0.09837
0.05000,0.15950,0.79417,0.00139,0.08824,0.15950
0.06000,0.23512,0.97753,0.00204,0.10861,0.23512
0.07000,0.32281,1.15620,0.00281,0.12847,0.32281
0.08000,0.41775,1.29504,0.00363,0.14389,0.41775
0.09000,0.51694,1.36516,0.00450,0.15168,0.51694
0.10000,0.61906,1.47414,0.00538,0.16379,0.61906
0.11000,0.72356,1.50030,0.00629,0.16670,0.72356
0.12000,0.82981,1.59616,0.00722,0.17735,0.82981
0.13000,0.93769,1.72968,0.00815,0.19219,0.93769
0.14000,1.04700,1.81175,0.00910,0.20131,1.04700
0.15000,1.15744,1.99806,0.01006,0.22201,1.15744
0.16000,1.26737,2.20366,0.01102,0.24485,1.26737
0.17000,1.37319,2.41181,0.01194,0.26798,1.37319
0.18000,1.47325,2.51651,0.01281,0.27961,1.47325
0.19000,1.56719,2.54871,0.01363,0.28319,1.56719
0.20000,1.65612,2.62662,0.01440,0.29185,1.65612
0.21000,1.74144,2.71209,0.01514,0.30134,1.74144
0.22000,1.82456,2.90058,0.01587,0.32229,1.82456
0.23000,1.90669,2.98936,0.01658,0.33215,1.90669
0.24000,1.98887,3.05362,0.01729,0.33929,1.98887
0.25000,2.07137,3.23902,0.01801,0.35989,2.07137
0.26000,2.15462,3.32229,0.01874,0.36914,2.15462
0.27000,2.23850,3.34015,0.01947,0.37113,2.23850
0.28000,2.32287,3.50857,0.02020,0.38984,2.32287
0.29000,2.40750,3.53683,0.02093,0.39298,2.40750
0.30000,2.49231,3.55846,0.02167,0.39538,2.49231
