Time,Extension,Load,
(sec),(mm),(N),(kgf)
0,0,0.036088472,0.00368
0.02,0.0115,0.153964405,0.0157
0.04,0.06787,0.579867215,0.05913
0.06,0.16506,1.107759184,0.11296
0.08,0.27762,1.472468498,0.15015
0.1,0.38562,1.624569639,0.16566
0.12,0.4825,1.811092122,0.18468
0.14,0.57069,2.205907851,0.22494
0.16,0.65519,2.741350941,0.27954
0.18,0.73925,3.107629319,0.31689
0.2,0.82406,3.260907258,0.33252
0.22,0.90956,3.485675676,0.35544
0.24,0.99487,3.660037913,0.37322
0.26,1.07962,3.878039743,0.39545
0.28,1.164,4.212838774,0.42959
0.3,1.24794,4.488111439,0.45766
0.32,1.33162,4.625894872,0.47171
0.34,1.41531,4.856056947,0.49518
0.36,1.49894,5.102007729,0.52026
0.38,1.58244,5.321970889,0.54269
0.4,1.666,5.542130181,0.56514
0.42,1.74944,5.580866449,0.56909
0.44,1.83294,5.746206568,0.58595
0.46,1.9165,5.939887905,0.6057
0.48,1.99987,6.119251534,0.62399
0.5,2.08325,6.264291887,0.63878
0.52,2.16669,6.485333778,0.66132
0.54,2.24994,6.73520722,0.6868
0.56,2.33312,6.907019728,0.70432
0.58,2.41656,6.943500466,0.70804
0.6,2.49987,7.109036718,0.72492
0.62,2.58325,7.305758117,0.74498
0.64,2.66669,7.452661734,0.75996
0.66,2.75006,7.698906716,0.78507
0.68,2.83337,7.705771371,0.78577
0.7,2.91675,7.733328057,0.78858
0.72,3.00012,7.991831351,0.81494
0.74,3.08337,8.129908983,0.82902
0.76,3.16675,8.304369287,0.84681
0.78,3.25,8.558361522,0.87271
0.8,3.33325,8.561107384,0.87299
0.82,3.41662,8.602589513,0.87722
0.84,3.49994,8.749689263,0.89222
0.86,3.58325,8.962689701,0.91394
0.88,3.66662,9.022314133,0.92002
0.9,3.75006,9.10645519,0.9286
0.92,3.83337,9.160784031,0.93414
0.94,3.91675,9.306118584,0.94896
0.96,4.00006,9.536574859,0.97246
0.98,4.08337,9.707308636,0.98987
1,4.16669,9.698874917,0.98901
1.02,4.25,9.862155639,1.00566
1.04,4.33325,9.95178842,1.0148
1.06,4.41669,10.10163403,1.03008
1.08,4.5,10.1611604,1.03615
1.1,4.58331,10.08133427,1.02801
1.12,4.66675,10.11163682,1.0311
1.14,4.75006,10.42201729,1.06275
1.16,4.83337,10.58539608,1.07941
1.18,4.91669,10.59912539,1.08081
1.2,5,10.47664033,1.06832
1.22,5.08325,10.57529523,1.07838
1.24,5.16662,10.84027091,1.1054
1.26,5.25,10.89822821,1.11131
1.28,5.33331,10.9061716,1.11212
1.3,5.41669,10.97952534,1.1196
