Time,Extension,Load
(sec),(mm),(N)
0.00000,120.91167,29.43182
0.10000,120.98598,29.48430
0.20000,121.07599,29.69024
0.30000,121.16117,29.75100
0.40000,121.24480,30.00208
0.50000,121.32823,30.27065
0.60000,121.41174,30.47792
0.70000,121.49498,30.59008
0.80000,121.57829,30.62482
0.90000,121.66173,30.86423
1.00000,121.74492,31.07802
1.10000,121.82823,31.14289
1.20000,121.91174,31.23256
1.30000,121.99486,31.51559
1.40000,122.07829,31.52881
1.50000,122.16173,31.53612
1.60000,122.24492,31.84055
1.70000,122.32830,31.84903
1.80000,122.41174,32.10593
1.90000,122.49492,32.33506
2.00000,122.57829,32.39018
2.10000,122.66174,32.38950
2.20000,122.74493,32.41811
2.30000,122.82830,32.43311
2.40000,122.91167,32.53145
2.50000,122.99486,32.67507
2.60000,123.07830,32.98607
2.70000,123.16174,33.12351
2.80000,123.24492,33.22029
2.90000,123.32836,33.16717
3.00000,123.41173,33.22759
3.10000,123.49498,33.22553
3.20000,123.57830,33.18663
3.30000,123.66174,33.41791
3.40000,123.74486,33.39880
3.50000,123.82830,33.37425
3.60000,123.91168,33.47827
3.70000,123.99486,33.66506
3.80000,124.07836,33.90104
3.90000,124.16173,34.03217
4.00000,124.24492,33.58382
4.10000,124.32836,33.74802
4.20000,124.41173,33.61856
4.30000,124.49486,33.85538
4.40000,124.57823,33.91339
4.50000,124.66167,34.02565
4.60000,124.74492,34.06201
4.70000,124.82824,34.16016
4.80000,124.91174,34.25855
4.90000,124.99493,34.13781
5.00000,125.07829,34.09410
5.10000,125.16173,34.31818
5.20000,125.24492,34.46547
5.30000,125.32835,34.47890
5.40000,125.41174,34.49306
5.50000,125.49492,34.62918
5.60000,125.57822,34.51516
5.70000,125.66173,34.54765
5.80000,125.74491,34.62468
5.90000,125.82830,34.57014
6.00000,125.91173,34.68539
6.10000,125.99498,34.71042
6.20000,126.07835,34.94660
6.30000,126.16172,34.75702
6.40000,126.24492,34.69670
6.50000,126.32829,34.92720
6.60000,126.41166,34.84865
6.70000,126.49491,34.90696
6.80000,126.57823,34.99531
6.90000,126.66173,34.90397
7.00000,126.74497,35.02451
7.10000,126.82836,35.21924
7.20000,126.91179,35.27809
7.30000,126.99499,35.19954
7.40000,127.07829,35.24045
7.50000,127.16173,35.14834
7.60000,127.24484,35.30651
7.70000,127.32823,35.37859
7.80000,127.41166,35.32547
7.90000,127.49486,35.46889
8.00000,127.57829,35.43121
8.10000,127.66172,35.37942
8.20000,127.74485,35.41171
8.30000,127.82836,35.30425
8.40000,127.91174,35.38579
8.50000,127.99499,35.53201
8.60000,128.07830,35.53387
8.70000,128.16167,35.53166
8.80000,128.24493,35.60477
8.90000,128.32830,35.64617
9.00000,128.41167,35.86388
9.10000,128.49486,35.89088
9.20000,128.57829,35.77308
9.30000,128.66172,35.66823
9.40000,128.74492,35.70948
9.50000,128.82829,35.76216
9.60000,128.91173,36.00823
9.70000,128.99491,35.95786
9.80000,129.07828,35.92165
9.90000,129.16173,35.88299
10.00000,129.24491,36.03881
10.10000,129.32822,35.88500
10.20000,129.41161,35.91102
10.30000,129.49484,35.91313
10.40000,129.57829,35.81018
10.50000,129.66178,36.14485
10.60000,129.74498,36.04195
10.70000,129.82835,36.26676
10.80000,129.91180,36.04224
10.90000,129.99485,36.07595
11.00000,130.07829,36.17072
11.10000,130.16174,36.21090
11.20000,130.24491,36.16685
11.30000,130.32828,36.26641
11.40000,130.41179,36.29542
11.50000,130.49498,36.30204
11.60000,130.57835,36.27372
11.70000,130.66173,36.50705
11.80000,130.74492,36.42850
11.90000,130.82824,36.41175
12.00000,130.91167,36.44198
12.10000,130.99492,36.56708
12.20000,131.07829,36.53097
12.30000,131.16173,36.49990
12.40000,131.24498,36.38063
12.50000,131.32828,36.70810
12.60000,131.41173,36.78728
12.70000,131.49499,36.75906
12.80000,131.57830,36.65043
12.90000,131.66173,36.66792
13.00000,131.74492,36.58104
13.10000,131.82829,36.85358
13.20000,131.91166,36.73216
13.30000,131.99492,36.65831
13.40000,132.07830,36.72927
13.50000,132.16172,36.75391
13.60000,132.24492,36.76602
13.70000,132.32835,36.82643
13.80000,132.41174,36.77773
13.90000,132.49486,37.01136
14.00000,132.57829,36.82242
14.10000,132.66168,37.00249
14.20000,132.74491,36.97348
14.30000,132.82830,36.98113
14.40000,132.91173,37.02508
14.50000,132.99492,37.13435
14.60000,133.07835,37.21055
14.70000,133.16172,37.11573
14.80000,133.24498,37.06154
14.90000,133.32829,36.90660
15.00000,133.41166,36.98392
15.10000,133.49491,36.93668
15.20000,133.57828,37.30541
15.30000,133.66173,37.31766
15.40000,133.74492,37.27508
15.50000,133.82830,37.28032
15.60000,133.91179,37.09716
15.70000,133.99499,37.29982
15.80000,134.07829,37.31565
15.90000,134.16173,37.42041
16.00000,134.24492,37.23637
16.10000,134.32830,37.26983
16.20000,134.41172,37.24313
16.30000,134.49492,37.48891
16.40000,134.57829,37.50180
16.50000,134.66174,37.48377
16.60000,134.74491,37.29374
16.70000,134.82836,37.50043
16.80000,134.91173,37.57500
16.90000,134.99498,37.51307
17.00000,135.07830,37.59838
17.10000,135.16173,37.46446
17.20000,135.24498,37.51826
17.30000,135.32829,37.65061
17.40000,135.41172,37.57525
17.50000,135.49492,37.68050
17.60000,135.57829,37.71975
17.70000,135.66173,37.56569
17.80000,135.74486,37.75680
17.90000,135.82828,37.81496
18.00000,135.91173,37.69089
18.10000,135.99492,37.74548
18.20000,136.07836,37.65007
18.30000,136.16174,37.72215
18.40000,136.24491,37.85381
18.50000,136.32829,37.79506
18.60000,136.41173,37.80481
18.70000,136.49493,37.94500
18.80000,136.57835,37.77252
18.90000,136.66178,37.98092
19.00000,136.74492,38.12772
19.10000,136.82835,37.99572
19.20000,136.91172,37.93309
19.30000,136.99492,37.85768
19.40000,137.07823,38.03565
19.50000,137.16173,38.17026
19.60000,137.24485,38.26879
19.70000,137.32830,38.03492
19.80000,137.41173,38.32563
19.90000,137.49498,38.05697
20.00000,137.57835,38.02232
20.10000,137.66172,38.46288
20.20000,137.74492,38.19088
20.30000,137.82829,38.11856
20.40000,137.91166,38.10298
20.50000,137.99486,38.05800
20.60000,138.07829,38.15384
20.70000,138.16173,38.21004
20.80000,138.24492,38.27727
20.90000,138.32829,38.50311
21.00000,138.41174,38.26561
21.10000,138.49491,38.36915
21.20000,138.57829,38.33632
21.30000,138.66179,38.34969
21.40000,138.74498,38.29084
21.50000,138.82823,38.45808
21.60000,138.91173,38.21945
21.70000,138.99486,38.41261
21.80000,139.07829,38.49365
21.90000,139.16166,38.37963
22.00000,139.24492,38.34793
22.10000,139.32829,38.34445
22.20000,139.41173,38.46470
22.30000,139.49491,38.25870
22.40000,139.57828,38.67534
22.50000,139.66173,38.49507
22.60000,139.74491,38.79789
22.70000,139.82830,38.50571
22.80000,139.91172,38.55250
22.90000,139.99492,38.56142
23.00000,140.07829,38.65305
23.10000,140.16173,38.53756
23.20000,140.24491,38.46102
23.30000,140.32835,38.53824
23.40000,140.41173,38.56735
23.50000,140.49492,38.84562
23.60000,140.57829,38.45029
23.70000,140.66174,38.72630
23.80000,140.74485,38.58945
23.90000,140.82829,38.58469
24.00000,140.91167,38.79829
24.10000,140.99493,38.63786
24.20000,141.07835,38.71949
24.30000,141.16178,38.94881
24.40000,141.24498,38.73121
24.50000,141.32829,38.46974
24.60000,141.41172,38.49008
24.70000,141.49492,38.61703
24.80000,141.57829,38.58852
24.90000,141.66166,38.57725
25.00000,141.74491,38.70553
25.10000,141.82828,38.54569
25.20000,141.91173,38.54667
25.30000,141.99485,38.45352
25.40000,142.07830,38.50257
25.50000,142.16173,38.36885
25.60000,142.24499,38.28849
25.70000,142.32829,38.34592
25.80000,142.41173,37.83970
25.90000,142.49492,37.50738
26.00000,142.57829,17.76079
26.10000,142.66166,0.29837
26.20000,142.74492,0.31910
26.30000,142.82829,0.39588
26.40000,142.91174,0.53602
26.50000,142.99497,0.24187
26.60000,143.07829,0.54871
26.70000,143.16173,0.12766
