Time,Extension,Load,Tensile strain,Tensile stress,Corrected Position
(sec),(mm),(N),(mm/mm),(MPa),(mm)
0.00000,0.00000,0.04423,0.00000,0.00491,0.00000
0.01000,0.00312,0.11403,0.00003,0.01267,0.00312
0.02000,0.01975,0.27871,0.00017,0.03097,0.01975
0.03000,0.05106,0.60574,0.00044,0.06730,0.05106
0.04000,0.09712,0.92912,0.00084,0.10324,0.09712
0.05000,0.15775,1.15493,0.00137,0.12833,0.15775
0.06000,0.23287,1.38808,0.00202,0.15423,0.23287
0.07000,0.32081,1.73294,0.00279,0.19255,0.32081
0.08000,0.41681,2.07961,0.00362,0.23107,0.41681
0.09000,0.51744,2.32095,0.00450,0.25788,0.51744
0.10000,0.62131,2.52834,0.00540,0.28093,0.62131
0.11000,0.72762,2.81947,0.00633,0.31327,0.72762
0.12000,0.83587,3.13619,0.00727,0.34847,0.83587
0.13000,0.94575,3.47196,0.00822,0.38577,0.94575
0.14000,1.05712,3.64879,0.00919,0.40542,1.05712
0.15000,1.16831,3.92370,0.01016,0.43597,1.16831
0.16000,1.27581,4.24309,0.01109,0.47145,1.27581
0.17000,1.37756,4.56404,0.01198,0.50712,1.37756
0.18000,1.47337,4.77131,0.01281,0.53015,1.47337
0.19000,1.56400,4.94623,0.01360,0.54958,1.56400
0.20000,1.65075,5.08184,0.01435,0.56465,1.65075
0.21000,1.73500,5.28166,0.01509,0.58685,1.73500
0.22000,1.81800,5.62755,0.01581,0.62528,1.81800
0.23000,1.90081,5.91828,0.01653,0.65759,1.90081
0.24000,1.98387,6.13993,0.01725,0.68221,1.98387
0.25000,2.06750,6.41239,0.01798,0.71249,2.06750
0.26000,2.15169,6.72125,0.01871,0.74681,2.15169
0.27000,2.23644,6.87564,0.01945,0.76396,2.23644
0.28000,2.32137,7.10973,0.02019,0.78997,2.32137
0.29000,2.40644,7.27218,0.02093,0.80802,2.40644
0.30000,2.49144,7.41327,0.02166,0.82370,2.49144
0.31000,2.57619,7.69524,0.02240,0.85503,2.57619
0.32000,2.66069,7.81703,0.02314,0.86856,2.66069
0.33000,2.74500,7.93356,0.02387,0.88151,2.74500
0.34000,2.82900,8.07100,0.02460,0.89678,2.82900
0.35000,2.91287,8.13000,0.02533,0.90333,2.91287
0.36000,2.99669,8.13823,0.02606,0.90425,2.99669
0.37000,3.08037,8.41464,0.02679,0.93496,3.08037
0.38000,3.16400,8.58713,0.02751,0.95413,3.16400
0.39000,3.24769,8.68480,0.02824,0.96498,3.24769
0.40000,3.33125,8.96030,0.02897,0.99559,3.33125
0.41000,3.41481,9.07480,0.02969,1.00831,3.41481
0.42000,3.49831,9.15662,0.03042,1.01740,3.49831
0.43000,3.58181,9.36340,0.03115,1.04038,3.58181
0.44000,3.66531,9.51454,0.03187,1.05717,3.66531
0.45000,3.74881,9.59516,0.03260,1.06613,3.74881
0.46000,3.83231,9.77387,0.03332,1.08599,3.83231
0.47000,3.91575,9.85330,0.03405,1.09481,3.91575
0.48000,3.99925,9.85185,0.03478,1.09465,3.99925
0.49000,4.08269,10.09170,0.03550,1.12130,4.08269
0.50000,4.16619,10.29539,0.03623,1.14393,4.16619
0.51000,4.24962,10.40102,0.03695,1.15567,4.24962
0.52000,4.33300,10.65719,0.03768,1.18413,4.33300
0.53000,4.41637,10.71071,0.03840,1.19008,4.41637
0.54000,4.49975,10.73248,0.03913,1.19250,4.49975
0.55000,4.58306,10.84014,0.03985,1.20446,4.58306
0.56000,4.66644,10.91215,0.04058,1.21246,4.66644
0.57000,4.74981,10.94690,0.04130,1.21632,4.74981
0.58000,4.83312,11.17354,0.04203,1.24150,4.83312
0.59000,4.91650,11.19598,0.04275,1.24400,4.91650
0.60000,4.99987,11.20550,0.04348,1.24506,4.99987
0.61000,5.08319,11.44552,0.04420,1.27172,5.08319
0.62000,5.16656,11.62655,0.04493,1.29184,5.16656
0.63000,5.24994,11.63434,0.04565,1.29270,5.24994
0.64000,5.33325,11.76155,0.04638,1.30684,5.33325
0.65000,5.41662,11.80901,0.04710,1.31211,5.41662
0.66000,5.49994,11.77091,0.04783,1.30788,5.49994
0.67000,5.58325,11.95358,0.04855,1.32818,5.58325
0.68000,5.66656,12.12666,0.04927,1.34741,5.66656
0.69000,5.74994,12.14354,0.05000,1.34928,5.74994
0.70000,5.83325,12.26504,0.05072,1.36278,5.83325
0.71000,5.91656,12.31446,0.05145,1.36827,5.91656
0.72000,6.00000,12.30819,0.05217,1.36758,6.00000
0.73000,6.08331,12.39606,0.05290,1.37734,6.08331
0.74000,6.16669,12.40400,0.05362,1.37822,6.16669
0.75000,6.25000,12.40278,0.05435,1.37809,6.25000
0.76000,6.33337,12.63956,0.05507,1.40440,6.33337
0.77000,6.41669,12.79605,0.05580,1.42178,6.41669
0.78000,6.50000,12.88334,0.05652,1.43148,6.50000
0.79000,6.58331,13.17190,0.05725,1.46354,6.58331
0.80000,6.66662,13.29011,0.05797,1.47668,6.66662
0.81000,6.75000,13.18321,0.05870,1.46480,6.75000
0.82000,6.83331,13.20961,0.05942,1.46773,6.83331
0.83000,6.91669,13.29543,0.06015,1.47727,6.91669
0.84000,7.00000,13.29854,0.06087,1.47762,7.00000
0.85000,7.08337,13.44056,0.06159,1.49340,7.08337
0.86000,7.16669,13.41717,0.06232,1.49080,7.16669
0.87000,7.25000,13.32884,0.06304,1.48098,7.25000
0.88000,7.33325,13.45127,0.06377,1.49459,7.33325
0.89000,7.41662,13.49542,0.06449,1.49949,7.41662
0.90000,7.49994,13.47627,0.06522,1.49736,7.49994
0.91000,7.58325,13.63804,0.06594,1.51534,7.58325
0.92000,7.66662,13.73642,0.06667,1.52627,7.66662
0.93000,7.75000,13.83624,0.06739,1.53736,7.75000
0.94000,7.83331,14.07572,0.06812,1.56397,7.83331
0.95000,7.91669,14.08924,0.06884,1.56547,7.91669
0.96000,8.00006,13.96436,0.06957,1.55160,8.00006
0.97000,8.08331,14.03491,0.07029,1.55944,8.08331
0.98000,8.16662,14.08035,0.07101,1.56448,8.16662
0.99000,8.25000,14.02691,0.07174,1.55855,8.25000
1.00000,8.33331,14.16467,0.07246,1.57385,8.33331
1.01000,8.41669,14.27290,0.07319,1.58588,8.41669
1.02000,8.50000,14.28147,0.07391,1.58683,8.50000
1.03000,8.58337,14.39170,0.07464,1.59908,8.58337
1.04000,8.66669,14.42484,0.07536,1.60276,8.66669
1.05000,8.75000,14.38472,0.07609,1.59830,8.75000
1.06000,8.83331,14.68185,0.07681,1.63132,8.83331
1.07000,8.91669,14.89255,0.07754,1.65473,8.91669
1.08000,8.99994,14.99036,0.07826,1.66560,8.99994
1.09000,9.08325,15.16063,0.07898,1.68451,9.08325
1.10000,9.16662,15.17620,0.07971,1.68624,9.16662
1.11000,9.24994,15.04662,0.08043,1.67185,9.24994
1.12000,9.33331,15.10515,0.08116,1.67835,9.33331
1.13000,9.41669,15.02002,0.08188,1.66889,9.41669
1.14000,9.50006,14.92994,0.08261,1.65888,9.50006
1.15000,9.58337,15.01809,0.08333,1.66868,9.58337
1.16000,9.66675,15.13092,0.08406,1.68121,9.66675
1.17000,9.75006,15.19031,0.08478,1.68781,9.75006
1.18000,9.83337,15.34495,0.08551,1.70499,9.83337
1.19000,9.91669,15.32694,0.08623,1.70299,9.91669
1.20000,10.00000,15.18879,0.08696,1.68764,10.00000
1.21000,10.08331,15.29418,0.08768,1.69935,10.08331
1.22000,10.16669,15.32440,0.08841,1.70271,10.16669
1.23000,10.25000,15.35303,0.08913,1.70589,10.25000
1.24000,10.33331,15.50179,0.08985,1.72242,10.33331
1.25000,10.41669,15.52816,0.09058,1.72535,10.41669
1.26000,10.50000,15.48447,0.09130,1.72050,10.50000
1.27000,10.58331,15.65243,0.09203,1.73916,10.58331
1.28000,10.66669,15.73369,0.09275,1.74819,10.66669
1.29000,10.75000,15.80261,0.09348,1.75585,10.75000
1.30000,10.83331,16.02788,0.09420,1.78088,10.83331
1.31000,10.91662,16.01507,0.09493,1.77945,10.91662
1.32000,11.00000,15.90582,0.09565,1.76731,11.00000
1.33000,11.08325,15.96031,0.09638,1.77337,11.08325
1.34000,11.16669,16.00768,0.09710,1.77863,11.16669
1.35000,11.25006,15.93433,0.09783,1.77048,11.25006
1.36000,11.33337,15.99506,0.09855,1.77723,11.33337
1.37000,11.41675,15.93423,0.09928,1.77047,11.41675
1.38000,11.50006,15.80038,0.10000,1.75560,11.50006
1.39000,11.58337,15.90388,0.10072,1.76710,11.58337
1.40000,11.66669,15.99435,0.10145,1.77715,11.66669
1.41000,11.75000,16.06379,0.10217,1.78487,11.75000
1.42000,11.83331,16.23155,0.10290,1.80351,11.83331
1.43000,11.91662,16.25051,0.10362,1.80561,11.91662
1.44000,12.00000,16.27916,0.10435,1.80880,12.00000
1.45000,12.08331,16.41325,0.10507,1.82369,12.08331
1.46000,12.16669,16.35961,0.10580,1.81773,12.16669
1.47000,12.25006,16.27343,0.10652,1.80816,12.25006
1.48000,12.33337,16.35219,0.10725,1.81691,12.33337
1.49000,12.41669,16.38016,0.10797,1.82002,12.41669
1.50000,12.50006,16.40433,0.10870,1.82270,12.50006
1.51000,12.58331,16.58880,0.10942,1.84320,12.58331
1.52000,12.66662,16.62833,0.11014,1.84759,12.66662
1.53000,12.75000,16.52973,0.11087,1.83664,12.75000
1.54000,12.83325,16.63715,0.11159,1.84857,12.83325
1.55000,12.91662,16.72955,0.11232,1.85884,12.91662
1.56000,13.00000,16.73203,0.11304,1.85911,13.00000
1.57000,13.08331,16.91605,0.11377,1.87956,13.08331
1.58000,13.16669,16.84211,0.11449,1.87135,13.16669
1.59000,13.25000,16.66641,0.11522,1.85182,13.25000
1.60000,13.33331,16.72470,0.11594,1.85830,13.33331
1.61000,13.41669,16.70550,0.11667,1.85617,13.41669
1.62000,13.50000,16.66661,0.11739,1.85185,13.50000
1.63000,13.58325,16.77555,0.11812,1.86395,13.58325
1.64000,13.66656,16.88417,0.11884,1.87602,13.66656
1.65000,13.74993,16.99753,0.11956,1.88862,13.74993
1.66000,13.83325,17.23466,0.12029,1.91496,13.83325
1.67000,13.91662,17.18482,0.12101,1.90942,13.91662
1.68000,14.00000,17.05029,0.12174,1.89448,14.00000
1.69000,14.08331,17.16603,0.12246,1.90734,14.08331
1.70000,14.16669,17.20010,0.12319,1.91112,14.16669
1.71000,14.25006,17.10192,0.12391,1.90021,14.25006
1.72000,14.33337,17.14524,0.12464,1.90503,14.33337
1.73000,14.41669,17.11475,0.12536,1.90164,14.41669
1.74000,14.50006,16.94625,0.12609,1.88292,14.50006
1.75000,14.58331,17.08071,0.12681,1.89786,14.58331
1.76000,14.66669,17.15575,0.12754,1.90619,14.66669
1.77000,14.75006,17.12362,0.12826,1.90262,14.75006
1.78000,14.83337,17.30206,0.12899,1.92245,14.83337
1.79000,14.91675,17.41153,0.12971,1.93461,14.91675
1.80000,15.00012,17.32366,0.13044,1.92485,15.00012
1.81000,15.08343,17.39064,0.13116,1.93229,15.08343
1.82000,15.16675,17.28540,0.13188,1.92060,15.16675
1.83000,15.25006,17.21866,0.13261,1.91318,15.25006
1.84000,15.33337,17.34994,0.13333,1.92777,15.33337
1.85000,15.41669,17.41342,0.13406,1.93482,15.41669
1.86000,15.50000,17.41271,0.13478,1.93475,15.50000
1.87000,15.58331,17.59546,0.13551,1.95505,15.58331
1.88000,15.66662,17.57381,0.13623,1.95265,15.66662
1.89000,15.75000,17.38525,0.13696,1.93169,15.75000
1.90000,15.83337,17.46715,0.13768,1.94079,15.83337
1.91000,15.91675,17.51168,0.13841,1.94574,15.91675
1.92000,16.00006,17.50472,0.13913,1.94497,16.00006
1.93000,16.08337,17.70893,0.13986,1.96766,16.08337
1.94000,16.16669,17.76161,0.14058,1.97351,16.16669
1.95000,16.25000,17.75198,0.14130,1.97244,16.25000
1.96000,16.33331,17.78928,0.14203,1.97659,16.33331
1.97000,16.41662,17.83462,0.14275,1.98162,16.41662
1.98000,16.50000,17.82619,0.14348,1.98069,16.50000
1.99000,16.58331,17.95950,0.14420,1.99550,16.58331
2.00000,16.66668,17.91407,0.14493,1.99045,16.66668
2.01000,16.75006,17.77065,0.14565,1.97452,16.75006
2.02000,16.83343,17.82095,0.14638,1.98011,16.83343
2.03000,16.91675,17.82387,0.14710,1.98043,16.91675
2.04000,17.00012,17.72605,0.14783,1.96956,17.00012
2.05000,17.08337,17.88649,0.14855,1.98739,17.08337
2.06000,17.16662,17.89979,0.14927,1.98887,17.16662
2.07000,17.24987,17.84265,0.15000,1.98252,17.24987
2.08000,17.33319,17.91431,0.15072,1.99048,17.33319
2.09000,17.41650,17.93758,0.15145,1.99306,17.41650
2.10000,17.49987,17.90704,0.15217,1.98967,17.49987
2.11000,17.58325,18.02846,0.15290,2.00316,17.58325
2.12000,17.66669,18.04201,0.15362,2.00467,17.66669
2.13000,17.75000,18.00904,0.15435,2.00100,17.75000
2.14000,17.83337,18.17619,0.15507,2.01958,17.83337
2.15000,17.91668,18.21712,0.15580,2.02412,17.91668
2.16000,18.00000,18.21100,0.15652,2.02344,18.00000
2.17000,18.08331,18.34180,0.15725,2.03798,18.08331
2.18000,18.16662,18.37051,0.15797,2.04117,18.16662
2.19000,18.25000,18.30002,0.15870,2.03334,18.25000
2.20000,18.33331,18.37964,0.15942,2.04218,18.33331
2.21000,18.41662,18.44690,0.16014,2.04965,18.41662
2.22000,18.50000,18.38535,0.16087,2.04282,18.50000
2.23000,18.58337,18.49720,0.16159,2.05524,18.58337
2.24000,18.66668,18.54765,0.16232,2.06085,18.66668
2.25000,18.75006,18.40719,0.16304,2.04524,18.75006
2.26000,18.83331,18.42752,0.16377,2.04750,18.83331
2.27000,18.91662,18.39738,0.16449,2.04415,18.91662
