Time,Extension,Load,
(sec),(mm),(N),(kgf)
0,0,-0.107677017,-0.01098
0.02,0.0115,0.041874396,0.00427
0.04,0.068,0.491803498,0.05015
0.06,0.16519,0.905055729,0.09229
0.08,0.27769,1.26898051,0.1294
0.1,0.38556,1.451972599,0.14806
0.12,0.48231,1.635062755,0.16673
0.14,0.57056,1.677819749,0.17109
0.16,0.65512,1.91259095,0.19503
0.18,0.73925,2.214439637,0.22581
0.2,0.82419,2.631516461,0.26834
0.22,0.90956,2.968669088,0.30272
0.24,0.99475,3.122633493,0.31842
0.26,1.07956,3.395454496,0.34624
0.28,1.16394,3.781051974,0.38556
0.3,1.24787,3.842833869,0.39186
0.32,1.33169,3.800763341,0.38757
0.34,1.41537,4.048087054,0.41279
0.36,1.49894,4.52900517,0.46183
0.38,1.58256,4.755636851,0.48494
0.4,1.66619,4.826538931,0.49217
0.42,1.74956,4.985602794,0.50839
0.44,1.833,5.23508397,0.53383
0.46,1.9165,5.466324777,0.55741
0.48,1.99981,5.532225465,0.56413
0.5,2.08319,5.588613702,0.56988
0.52,2.16656,5.833387686,0.59484
0.54,2.24981,6.134353775,0.62553
0.56,2.33312,6.195645337,0.63178
0.58,2.41656,6.303028155,0.64273
0.6,2.49987,6.608995635,0.67393
0.62,2.58331,6.837882846,0.69727
0.64,2.66675,6.970272621,0.71077
0.66,2.75006,7.139633466,0.72804
0.68,2.83344,7.161796495,0.7303
0.7,2.91675,7.315858967,0.74601
0.72,2.99994,7.52787874,0.76763
0.74,3.08325,7.722834942,0.78751
0.76,3.16662,7.958684874,0.81156
0.78,3.24994,8.142657628,0.83032
0.8,3.33331,8.164232258,0.83252
0.82,3.41669,8.276224201,0.84394
0.84,3.5,8.415968964,0.85819
0.86,3.58337,8.516585193,0.86845
0.88,3.66675,8.662017812,0.88328
0.9,3.75006,8.967789159,0.91446
0.92,3.83337,9.251201344,0.94336
0.94,3.91669,9.333675271,0.95177
0.96,3.99994,9.254927871,0.94374
0.98,4.08331,9.332106207,0.95161
1,4.16669,9.427328778,0.96132
1.02,4.24994,9.773405457,0.99661
1.04,4.33325,9.892850454,1.00879
1.06,4.41669,9.994447348,1.01915
1.08,4.5,10.16537726,1.03658
1.1,4.58337,10.29011785,1.0493
1.12,4.66675,10.42378248,1.06293
1.14,4.75006,10.6134431,1.08227
1.16,4.83337,10.72161045,1.0933
1.18,4.91669,10.80153464,1.10145
1.2,4.99994,10.8672392,1.10815
1.22,5.08325,11.03640391,1.1254
1.24,5.16669,11.31608957,1.15392
1.26,5.25,11.53615079,1.17636
1.28,5.33331,11.64735821,1.1877
1.3,5.41675,11.76062501,1.19925
1.32,5.5,11.95999421,1.21958
1.34,5.58331,12.05374578,1.22914
1.36,5.66669,12.12925699,1.23684
1.38,5.74994,12.11415475,1.2353
1.4,5.83325,12.31989826,1.25628
1.42,5.91662,12.47758919,1.27236
1.44,5.99994,12.44042199,1.26857
1.46,6.08331,12.73648475,1.29876
1.48,6.16669,12.83955265,1.30927
1.5,6.25,12.83710098,1.30902
1.52,6.33344,13.00646183,1.32629
1.54,6.41681,13.11806151,1.33767
1.56,6.50006,13.46119619,1.37266
1.58,6.58337,13.68478781,1.39546
1.6,6.66669,13.7893267,1.40612
1.62,6.75,13.94662536,1.42216
1.64,6.83331,14.07754414,1.43551
1.66,6.91669,14.11686881,1.43952
1.68,6.99994,14.21375851,1.4494
1.7,7.08331,14.19836207,1.44783
1.72,7.16669,14.3566414,1.46397
1.74,7.25,14.40067326,1.46846
1.76,7.33337,14.54904787,1.48359
1.78,7.41675,14.68604677,1.49756
1.8,7.5,14.85374049,1.51466
1.82,7.58331,14.94249067,1.52371
1.84,7.66669,15.07948957,1.53768
1.86,7.74994,15.26797339,1.5569
1.88,7.83325,15.29543201,1.5597
1.9,7.91669,15.47479563,1.57799
1.92,8.00006,15.64170482,1.59501
1.94,8.08337,15.82960023,1.61417
1.96,8.16681,15.90658243,1.62202
1.98,8.25012,16.10408836,1.64216
2,8.3335,16.29129731,1.66125
2.02,8.41675,16.30198656,1.66234
2.04,8.5,16.3156178,1.66373
2.06,8.58325,16.37514417,1.6698
2.08,8.66656,16.47330874,1.67981
2.1,8.74981,16.74514907,1.70753
2.12,8.83319,17.08563596,1.74225
2.14,8.91669,17.23155891,1.75713
2.16,9.00006,17.28333803,1.76241
2.18,9.0835,17.27549271,1.76161
2.2,9.16687,17.32393756,1.76655
2.22,9.25012,17.39150538,1.77344
2.24,9.33331,17.32874282,1.76704
2.26,9.41656,17.42739772,1.7771
2.28,9.49987,17.42318086,1.77667
2.3,9.58325,17.5940127,1.79409
2.32,9.66662,17.90037244,1.82533
2.34,9.74994,18.06943909,1.84257
2.36,9.83331,18.16466166,1.85228
2.38,9.91675,18.24929305,1.86091
2.4,10.00006,18.37354331,1.87358
2.42,10.08337,18.48072999,1.88451
2.44,10.16675,18.56085032,1.89268
2.46,10.25,18.48573138,1.88502
2.48,10.33325,18.71559926,1.90846
2.5,10.41662,18.87574185,1.92479
2.52,10.49987,18.91791045,1.92909
