Time,Extension,Load,Tensile strain,Tensile stress,Corrected Position
(sec),(mm),(N),(mm/mm),(MPa),(mm)
0.00000,0.00000,0.12306,0.00000,0.01367,0.00000
0.01000,0.00031,0.16301,0.00000,0.01811,0.00031
0.02000,0.00212,0.21321,0.00002,0.02369,0.00212
0.03000,0.00619,0.25522,0.00005,0.02836,0.00619
0.04000,0.01269,0.29967,0.00011,0.03330,0.01269
0.05000,0.02144,0.26964,0.00019,0.02996,0.02144
0.06000,0.03169,0.25247,0.00028,0.02805,0.03169
0.07000,0.04275,0.26401,0.00037,0.02933,0.04275
0.08000,0.05406,0.29702,0.00047,0.03300,0.05406
0.09000,0.06519,0.30944,0.00057,0.03438,0.06519
0.10000,0.07587,0.32612,0.00066,0.03624,0.07587
0.11000,0.08600,0.35906,0.00075,0.03990,0.08600
0.12000,0.09562,0.38744,0.00083,0.04305,0.09562
0.13000,0.10475,0.36915,0.00091,0.04102,0.10475
0.14000,0.11356,0.32200,0.00099,0.03578,0.11356
0.15000,0.12219,0.23800,0.00106,0.02644,0.12219
0.16000,0.13069,0.28566,0.00114,0.03174,0.13069
0.17000,0.13919,0.43655,0.00121,0.04851,0.13919
0.18000,0.14769,0.58041,0.00128,0.06449,0.14769
0.19000,0.15619,0.68006,0.00136,0.07556,0.15619
0.20000,0.16475,0.66723,0.00143,0.07414,0.16475
0.21000,0.17325,0.61401,0.00151,0.06822,0.17325
0.22000,0.18181,0.66454,0.00158,0.07384,0.18181
0.23000,0.19031,0.80308,0.00165,0.08923,0.19031
0.24000,0.19881,0.94300,0.00173,0.10478,0.19881
0.25000,0.20737,0.94785,0.00180,0.10532,0.20737
0.26000,0.21587,0.90751,0.00188,0.10083,0.21587
0.27000,0.22425,0.91187,0.00195,0.10132,0.22425
0.28000,0.23269,0.96306,0.00202,0.10701,0.23269
0.29000,0.24106,0.95669,0.00210,0.10630,0.24106
0.30000,0.24944,0.91550,0.00217,0.10172,0.24944
0.31000,0.25781,0.93362,0.00224,0.10374,0.25781
0.32000,0.26625,1.01327,0.00232,0.11259,0.26625
0.33000,0.27462,1.06920,0.00239,0.11880,0.27462
0.34000,0.28306,1.03864,0.00246,0.11540,0.28306
0.35000,0.29144,1.04662,0.00253,0.11629,0.29144
0.36000,0.29975,1.05544,0.00261,0.11727,0.29975
0.37000,0.30806,1.06063,0.00268,0.11785,0.30806
0.38000,0.31637,0.99732,0.00275,0.11081,0.31637
0.39000,0.32475,0.92537,0.00282,0.10282,0.32475
0.40000,0.33312,0.96710,0.00290,0.10746,0.33312
0.41000,0.34144,1.09761,0.00297,0.12196,0.34144
0.42000,0.34981,1.19524,0.00304,0.13280,0.34981
0.43000,0.35812,1.24921,0.00311,0.13880,0.35812
0.44000,0.36644,1.26584,0.00319,0.14065,0.36644
0.45000,0.37475,1.34463,0.00326,0.14940,0.37475
0.46000,0.38306,1.42031,0.00333,0.15781,0.38306
0.47000,0.39144,1.47145,0.00340,0.16349,0.39144
0.48000,0.39981,1.49934,0.00348,0.16659,0.39981
0.49000,0.40819,1.52437,0.00355,0.16937,0.40819
0.50000,0.41656,1.52765,0.00362,0.16974,0.41656
0.51000,0.42487,1.54428,0.00369,0.17159,0.42487
0.52000,0.43319,1.60625,0.00377,0.17847,0.43319
0.53000,0.44156,1.63277,0.00384,0.18142,0.44156
0.54000,0.44987,1.68268,0.00391,0.18696,0.44987
0.55000,0.45825,1.63473,0.00398,0.18164,0.45825
0.56000,0.46662,1.59892,0.00406,0.17766,0.46662
0.57000,0.47500,1.67492,0.00413,0.18610,0.47500
0.58000,0.48331,1.72483,0.00420,0.19165,0.48331
0.59000,0.49162,1.66686,0.00427,0.18521,0.49162
0.60000,0.49994,1.59133,0.00435,0.17681,0.49994
0.61000,0.50825,1.55300,0.00442,0.17256,0.50825
0.62000,0.51662,1.56904,0.00449,0.17434,0.51662
0.63000,0.52500,1.60069,0.00457,0.17785,0.52500
0.64000,0.53331,1.72248,0.00464,0.19139,0.53331
0.65000,0.54169,1.76456,0.00471,0.19606,0.54169
0.66000,0.54994,1.78251,0.00478,0.19806,0.54994
0.67000,0.55825,1.79221,0.00485,0.19913,0.55825
0.68000,0.56656,1.76674,0.00493,0.19630,0.56656
0.69000,0.57487,1.77592,0.00500,0.19732,0.57487
0.70000,0.58325,1.77325,0.00507,0.19703,0.58325
0.71000,0.59162,1.84396,0.00514,0.20488,0.59162
0.72000,0.59994,1.91047,0.00522,0.21227,0.59994
0.73000,0.60825,2.00890,0.00529,0.22321,0.60825
0.74000,0.61656,2.03227,0.00536,0.22581,0.61656
0.75000,0.62487,2.03055,0.00543,0.22562,0.62487
0.76000,0.63325,2.03930,0.00551,0.22659,0.63325
0.77000,0.64156,2.08275,0.00558,0.23142,0.64156
0.78000,0.64994,2.13359,0.00565,0.23707,0.64994
0.79000,0.65831,2.16854,0.00572,0.24095,0.65831
0.80000,0.66662,2.06244,0.00580,0.22916,0.66662
0.81000,0.67494,1.99512,0.00587,0.22168,0.67494
0.82000,0.68331,2.01439,0.00594,0.22382,0.68331
0.83000,0.69162,2.04199,0.00601,0.22689,0.69162
0.84000,0.70000,2.02531,0.00609,0.22503,0.70000
0.85000,0.70831,2.04094,0.00616,0.22677,0.70831
0.86000,0.71669,2.15152,0.00623,0.23906,0.71669
0.87000,0.72500,2.29026,0.00630,0.25447,0.72500
0.88000,0.73337,2.31904,0.00638,0.25767,0.73337
0.89000,0.74169,2.30561,0.00645,0.25618,0.74169
0.90000,0.75000,2.35313,0.00652,0.26146,0.75000
0.91000,0.75831,2.42523,0.00659,0.26947,0.75831
0.92000,0.76662,2.44847,0.00667,0.27205,0.76662
0.93000,0.77500,2.42932,0.00674,0.26992,0.77500
0.94000,0.78331,2.44769,0.00681,0.27197,0.78331
0.95000,0.79169,2.42631,0.00688,0.26959,0.79169
0.96000,0.80000,2.34411,0.00696,0.26046,0.80000
0.97000,0.80825,2.31578,0.00703,0.25731,0.80825
0.98000,0.81662,2.31935,0.00710,0.25771,0.81662
0.99000,0.82494,2.33008,0.00717,0.25890,0.82494
1.00000,0.83331,2.28820,0.00725,0.25424,0.83331
1.01000,0.84169,2.30336,0.00732,0.25593,0.84169
1.02000,0.85000,2.37909,0.00739,0.26434,0.85000
1.03000,0.85831,2.47213,0.00746,0.27468,0.85831
1.04000,0.86662,2.56554,0.00754,0.28506,0.86662
1.05000,0.87500,2.62304,0.00761,0.29145,0.87500
1.06000,0.88331,2.62113,0.00768,0.29124,0.88331
1.07000,0.89162,2.72527,0.00775,0.30281,0.89162
1.08000,0.90000,2.76042,0.00783,0.30671,0.90000
1.09000,0.90837,2.72865,0.00790,0.30318,0.90837
1.10000,0.91675,2.73374,0.00797,0.30375,0.91675
1.11000,0.92506,2.65062,0.00804,0.29451,0.92506
1.12000,0.93331,2.52824,0.00812,0.28092,0.93331
1.13000,0.94162,2.56483,0.00819,0.28498,0.94162
1.14000,0.95000,2.69723,0.00826,0.29969,0.95000
1.15000,0.95837,2.79877,0.00833,0.31097,0.95837
1.16000,0.96675,2.83276,0.00841,0.31475,0.96675
1.17000,0.97506,2.87197,0.00848,0.31911,0.97506
1.18000,0.98331,2.83996,0.00855,0.31555,0.98331
1.19000,0.99162,2.77658,0.00862,0.30851,0.99162
1.20000,0.99994,2.73913,0.00870,0.30435,0.99994
1.21000,1.00831,2.74332,0.00877,0.30481,1.00831
1.22000,1.01662,2.87445,0.00884,0.31938,1.01662
1.23000,1.02500,2.94807,0.00891,0.32756,1.02500
1.24000,1.03331,3.01079,0.00899,0.33453,1.03331
1.25000,1.04169,3.12002,0.00906,0.34667,1.04169
1.26000,1.05000,3.18088,0.00913,0.35343,1.05000
1.27000,1.05831,3.12452,0.00920,0.34717,1.05831
1.28000,1.06662,3.03305,0.00927,0.33701,1.06662
1.29000,1.07494,2.96668,0.00935,0.32963,1.07494
1.30000,1.08331,2.89690,0.00942,0.32188,1.08331
1.31000,1.09169,2.91858,0.00949,0.32429,1.09169
1.32000,1.10000,3.04003,0.00957,0.33778,1.10000
