Time,Extension,Load
(sec),(mm),(N)
0.00000,0.00000,0.06400
0.10000,0.07600,0.15695
0.20000,0.16469,0.66434
0.30000,0.24931,0.98304
0.40000,0.33300,1.32805
0.50000,0.41675,1.37700
0.60000,0.50006,1.78468
0.70000,0.58331,1.92624
0.80000,0.66675,2.20186
0.90000,0.75000,2.25723
1.00000,0.83325,2.72425
1.10000,0.91675,2.94431
1.20000,0.99994,2.93260
1.30000,1.08325,3.29544
1.40000,1.16681,3.45194
1.50000,1.25006,3.61531
1.60000,1.33331,3.95488
1.70000,1.41681,4.01201
1.80000,1.50000,4.24471
1.90000,1.58319,4.47134
2.00000,1.66669,4.56282
2.10000,1.75006,4.58781
2.20000,1.83325,4.77269
2.30000,1.91675,5.02768
2.40000,2.00000,5.14298
2.50000,2.08331,5.35623
2.60000,2.16681,5.62244
2.70000,2.25000,5.70069
2.80000,2.33325,5.82163
2.90000,2.41675,5.94128
3.00000,2.50000,6.10127
3.10000,2.58325,6.25733
3.20000,2.66681,6.24352
3.30000,2.75000,6.66717
3.40000,2.83325,6.66663
3.50000,2.91681,6.63184
3.60000,3.00000,6.96347
3.70000,3.08325,7.04368
3.80000,3.16675,7.31215
3.90000,3.25000,7.45773
4.00000,3.33325,7.60963
4.10000,3.41669,7.66823
4.20000,3.50000,7.84762
4.30000,3.58325,8.08130
4.40000,3.66675,8.34012
4.50000,3.75006,8.16063
4.60000,3.83325,8.63564
4.70000,3.91675,8.48256
4.80000,4.00000,8.75378
4.90000,4.08325,8.83566
5.00000,4.16675,8.64804
5.10000,4.25006,9.09050
5.20000,4.33325,9.32997
5.30000,4.41675,9.38009
5.40000,4.50000,9.39078
5.50000,4.58331,9.58320
5.60000,4.66675,9.48103
5.70000,4.75000,9.77356
5.80000,4.83331,9.80066
5.90000,4.91675,10.06109
6.00000,5.00006,10.25695
6.10000,5.08325,10.38738
6.20000,5.16669,10.44917
6.30000,5.24994,10.27263
6.40000,5.33325,10.71818
6.50000,5.41675,10.78007
6.60000,5.50006,10.87498
6.70000,5.58331,10.95083
6.80000,5.66675,11.15815
6.90000,5.75000,11.27521
7.00000,5.83325,11.20490
7.10000,5.91675,11.42486
7.20000,6.00000,11.40335
7.30000,6.08325,11.80176
7.40000,6.16681,11.92715
7.50000,6.25000,11.74963
7.60000,6.33325,11.91216
7.70000,6.41675,12.11296
7.80000,6.50000,12.18215
7.90000,6.58331,12.29705
8.00000,6.66669,12.41328
8.10000,6.75000,12.47977
8.20000,6.83331,12.54151
8.30000,6.91675,12.78578
8.40000,7.00000,12.87981
8.50000,7.08325,13.11236
8.60000,7.16675,13.22526
8.70000,7.25000,13.09418
8.80000,7.33325,13.37392
8.90000,7.41675,13.49285
9.00000,7.50000,13.68757
9.10000,7.58325,13.64284
9.20000,7.66675,13.89964
9.30000,7.75006,13.88734
9.40000,7.83325,14.06761
9.50000,7.91669,14.16733
9.60000,8.00000,14.22828
9.70000,8.08325,14.60318
9.80000,8.16681,14.57883
9.90000,8.25006,14.61744
10.00000,8.33331,14.70329
10.10000,8.41675,14.80732
10.20000,8.50006,15.02331
10.30000,8.58319,14.89944
10.40000,8.66675,15.16781
10.50000,8.75000,15.24415
10.60000,8.83325,15.39301
10.70000,8.91675,15.56456
10.80000,9.00000,15.70989
10.90000,9.08325,15.56147
11.00000,9.16681,15.48493
11.10000,9.25006,15.73567
11.20000,9.33331,16.06475
11.30000,9.41681,16.17765
11.40000,9.49987,16.02913
11.50000,9.58319,16.42069
11.60000,9.66669,16.33106
11.70000,9.75006,16.56950
11.80000,9.83325,16.66603
11.90000,9.91681,16.61845
12.00000,10.00006,16.75736
12.10000,10.08331,16.85409
12.20000,10.16675,17.11266
12.30000,10.25000,17.09806
12.40000,10.33325,17.19719
12.50000,10.41669,16.95772
12.60000,10.50000,17.24501
12.70000,10.58325,17.45674
12.80000,10.66675,17.46894
12.90000,10.74994,17.60545
13.00000,10.83325,17.72016
13.10000,10.91675,17.53867
13.20000,11.00006,17.77891
13.30000,11.08325,18.04033
13.40000,11.16675,17.86064
13.50000,11.25000,18.03543
13.60000,11.33331,18.16562
13.70000,11.41669,18.37313
13.80000,11.49994,18.40533
13.90000,11.58325,18.29287
14.00000,11.66675,18.52072
14.10000,11.75000,18.54684
14.20000,11.83331,18.69732
14.30000,11.91681,18.82001
14.40000,12.00000,18.59260
14.50000,12.08325,18.79164
14.60000,12.16675,18.86720
14.70000,12.25000,19.10230
14.80000,12.33325,19.06315
14.90000,12.41675,19.08084
15.00000,12.50006,19.22436
15.10000,12.58331,19.50483
15.20000,12.66675,19.59279
15.30000,12.75000,19.41556
15.40000,12.83325,19.66717
15.50000,12.91681,19.64497
15.60000,13.00000,19.82559
15.70000,13.08331,19.75287
15.80000,13.16675,19.75032
15.90000,13.25000,19.87468
16.00000,13.33325,19.82735
16.10000,13.41669,20.16520
16.20000,13.50000,20.14467
16.30000,13.58325,20.28427
16.40000,13.66675,20.45087
16.50000,13.75006,20.39256
16.60000,13.83331,20.54245
16.70000,13.91675,20.62036
16.80000,14.00000,20.70376
16.90000,14.08325,20.59278
17.00000,14.16675,20.57930
17.10000,14.25000,20.81680
17.20000,14.33325,20.70984
17.30000,14.41675,20.83268
17.40000,14.50006,21.01682
17.50000,14.58325,21.14550
17.60000,14.66681,21.02084
17.70000,14.75006,20.89114
17.80000,14.83331,21.16804
