Time,Extension,Load,
(sec),(mm),(N),(kgf)
0,0,0.092868976,0.00947
0.02,0.01144,0.206429983,0.02105
0.04,0.06756,0.598009517,0.06098
0.06,0.1645,0.778844143,0.07942
0.08,0.2775,0.729222494,0.07436
0.1,0.38581,0.766978097,0.07821
0.12,0.48294,0.780511274,0.07959
0.14,0.57106,0.897602675,0.09153
0.16,0.65537,1.165814552,0.11888
0.18,0.73937,1.483648079,0.15129
0.2,0.82406,1.657814183,0.16905
0.22,0.90937,1.689881928,0.17232
0.24,0.99475,1.773728786,0.18087
0.26,1.07956,2.093131376,0.21344
0.28,1.16387,2.22218689,0.2266
0.3,1.24794,2.303091753,0.23485
0.32,1.33169,2.481474716,0.25304
0.34,1.41537,2.678490315,0.27313
0.36,1.499,2.750961458,0.28052
0.38,1.58256,2.773026421,0.28277
0.4,1.666,2.911005986,0.29684
0.42,1.7495,3.01093575,0.30703
0.44,1.83287,3.182257925,0.3245
0.46,1.91631,3.259043995,0.33233
0.48,1.99981,3.366132613,0.34325
0.5,2.08319,3.550497633,0.36205
0.52,2.16662,3.600609614,0.36716
0.54,2.25006,3.737804648,0.38115
0.56,2.33337,3.949726354,0.40276
0.58,2.41669,3.946097894,0.40239
0.6,2.5,3.999838336,0.40787
0.62,2.58325,4.284721518,0.43692
0.64,2.66656,4.527632239,0.46169
0.66,2.74994,4.801924239,0.48966
0.68,2.83331,4.650117297,0.47418
0.7,2.91662,4.609517766,0.47004
0.72,3.00006,4.663846607,0.47558
0.74,3.08337,4.826244731,0.49214
0.76,3.16669,4.873414718,0.49695
0.78,3.25006,5.129956682,0.52311
0.8,3.33331,5.195170904,0.52976
0.82,3.41662,5.259600595,0.53633
0.84,3.5,5.323932219,0.54289
0.86,3.58325,5.314713968,0.54195
0.88,3.66656,5.338936393,0.54442
0.9,3.75006,5.457008459,0.55646
0.92,3.83337,5.579003185,0.5689
0.94,3.91675,5.72316094,0.5836
0.96,4.00012,5.939985972,0.60571
0.98,4.08337,5.902916835,0.60193
1,4.16669,5.963031599,0.60806
1.02,4.25,6.097873037,0.62181
1.04,4.33331,6.300478426,0.64247
1.06,4.41662,6.462680417,0.65901
1.08,4.5,6.351178806,0.64764
1.1,4.58331,6.3939358,0.652
1.12,4.66662,6.513184664,0.66416
1.14,4.75012,6.613016361,0.67434
1.16,4.83344,6.796989115,0.6931
1.18,4.91669,6.824447735,0.6959
1.2,5.00006,6.858182611,0.69934
1.22,5.08337,6.95095352,0.7088
1.24,5.16662,7.03754624,0.71763
1.26,5.25,6.958504641,0.70957
1.28,5.33325,6.999202238,0.71372
1.3,5.41656,7.252508008,0.73955
1.32,5.5,7.246722084,0.73896
1.34,5.58331,7.293499805,0.74373
1.36,5.66669,7.380680923,0.75262
1.38,5.75006,7.465312313,0.76125
1.4,5.83337,7.445404813,0.75922
1.42,5.91669,7.403628484,0.75496
1.44,6.00006,7.681548945,0.7833
1.46,6.08337,7.998990206,0.81567
1.48,6.16662,8.157956002,0.83188
1.5,6.25,8.022918432,0.81811
1.52,6.33331,7.916712412,0.80728
1.54,6.41662,7.915045282,0.80711
1.56,6.5,8.048415722,0.82071
1.58,6.58331,8.333298904,0.84976
1.6,6.66662,8.367720246,0.85327
1.62,6.75006,8.255139904,0.84179
1.64,6.83331,8.267986615,0.8431
1.66,6.91669,8.28858058,0.8452
1.68,7.00012,8.471768802,0.86388
1.7,7.08337,8.675060657,0.88461
1.72,7.16669,8.75370999,0.89263
1.74,7.25,8.772048425,0.8945
1.76,7.33325,8.636814722,0.88071
1.78,7.41656,8.757926849,0.89306
1.8,7.50006,8.896494814,0.90719
1.82,7.58337,9.060756201,0.92394
1.84,7.66675,9.055166411,0.92337
1.86,7.75019,9.11851737,0.92983
1.88,7.83337,9.11655604,0.92963
1.9,7.91662,9.219623931,0.94014
1.92,8,9.32641835,0.95103
1.94,8.08319,9.406244481,0.95917
1.96,8.16656,9.345835517,0.95301
1.98,8.25006,9.43036884,0.96163
2,8.33344,9.523728148,0.97115
2.02,8.41675,9.645624807,0.98358
2.04,8.50019,9.802531207,0.99958
2.06,8.58337,9.790370961,0.99834
2.08,8.66656,9.746633302,0.99388
2.1,8.74994,9.764971738,0.99575
2.12,8.83319,9.90304937,1.00983
2.14,8.91656,9.931194455,1.0127
2.16,9,10.02014077,1.02177
2.18,9.08331,10.0993785,1.02985
2.2,9.16669,10.07564641,1.02743
2.22,9.25012,9.899518976,1.00947
2.24,9.33337,9.91452315,1.011
2.26,9.41675,9.969538457,1.01661
2.28,9.50012,10.04534386,1.02434
2.3,9.58337,10.10555669,1.03048
2.32,9.66662,10.18724609,1.03881
2.34,9.75,10.24991058,1.0452
2.36,9.83325,10.2779576,1.04806
2.38,9.91656,10.28668552,1.04895
2.4,10,10.22480556,1.04264
2.42,10.08331,10.36249092,1.05668
2.44,10.16669,10.3959316,1.06009
2.46,10.25006,10.32699085,1.05306
2.48,10.33337,10.6312912,1.08409
2.5,10.41669,10.71611872,1.09274
2.52,10.5,10.67002747,1.08804
2.54,10.58325,10.7109212,1.09221
2.56,10.66656,10.81300842,1.10262
2.58,10.74994,10.82997393,1.10435
2.6,10.83325,10.86596433,1.10802
2.62,10.91662,10.8458607,1.10597
2.64,11.00006,11.00933756,1.12264
2.66,11.08337,11.06003794,1.12781
2.68,11.16675,11.10877699,1.13278
2.7,11.25006,11.12397729,1.13433
2.72,11.33337,11.09171342,1.13104
2.74,11.41662,11.26195686,1.1484
2.76,11.5,11.13447041,1.1354
2.78,11.58325,10.9825654,1.11991
2.8,11.66656,10.9462808,1.11621
2.82,11.75,11.060136,1.12782
2.84,11.83337,11.27313644,1.14954
2.86,11.91669,11.43788816,1.16634
2.88,12.00012,11.42808151,1.16534
2.9,12.08344,11.43112157,1.16565
2.92,12.16669,11.3745372,1.15988
2.94,12.25006,11.3555123,1.15794
2.96,12.33331,11.47829156,1.17046
2.98,12.41662,11.40846821,1.16334
3,12.5,11.47152497,1.16977
3.02,12.58331,11.54262318,1.17702
3.04,12.66669,11.49682613,1.17235
3.06,12.75006,11.48701948,1.17135
3.08,12.83331,11.53477786,1.17622
3.1,12.91662,11.50261205,1.17294
3.12,13.00006,11.56998374,1.17981
3.14,13.08331,11.50006232,1.17268
3.16,13.16662,11.5109477,1.17379
3.18,13.25,11.55056657,1.17783
3.2,13.33331,11.64804467,1.18777
3.22,13.41662,11.66393144,1.18939
3.24,13.50006,11.74052138,1.1972
3.26,13.58331,11.89713358,1.21317
3.28,13.66668,11.92272894,1.21578
3.3,13.75006,11.85035586,1.2084
3.32,13.83337,11.87732415,1.21115
3.34,13.91669,11.97401772,1.22101
3.36,14.00012,11.93194719,1.21672
3.38,14.08337,11.85986831,1.20937
3.4,14.16662,12.01628438,1.22532
3.42,14.25006,12.16122667,1.2401
3.44,14.33331,12.03579961,1.22731
3.46,14.41662,11.82387791,1.2057
3.48,14.50006,11.84888486,1.20825
3.5,14.58337,11.85977024,1.20936
3.52,14.66669,12.01746118,1.22544
3.54,14.75006,12.20574886,1.24464
3.56,14.83337,12.31528914,1.25581
3.58,14.91669,12.46601735,1.27118
3.6,15.00006,12.47709886,1.27231
3.62,15.08331,12.46003529,1.27057
3.64,15.16656,12.37197157,1.26159
3.66,15.25,12.24664259,1.24881
3.68,15.33331,12.23271714,1.24739
3.7,15.41669,12.05364771,1.22913
3.72,15.50012,12.20015907,1.24407
3.74,15.58344,12.27723933,1.25193
3.76,15.66675,12.32470352,1.25677
3.78,15.75006,12.22683315,1.24679
3.8,15.83331,12.35275054,1.25963
3.82,15.91662,12.4178667,1.26627
3.84,15.99994,12.33833476,1.25816
3.86,16.08325,12.47190134,1.27178
3.88,16.16662,12.48788618,1.27341
3.9,16.25006,12.54299955,1.27903
3.92,16.33337,12.46297729,1.27087
3.94,16.41662,12.37059864,1.26145
3.96,16.50006,12.46101596,1.27067
3.98,16.58337,12.63116133,1.28802
4,16.66668,12.55123714,1.27987
4.02,16.75012,12.593798,1.28421
4.04,16.83337,12.69794462,1.29483
4.06,16.91669,12.60419305,1.28527
4.08,17,12.7076532,1.29582
4.1,17.08325,12.72157865,1.29724
4.12,17.16656,12.76041298,1.3012
4.14,17.24993,12.61870689,1.28675
4.16,17.33331,12.54486281,1.27922
4.18,17.41668,12.62517928,1.28741
4.2,17.50012,12.71481206,1.29655
4.22,17.58344,12.81474182,1.30674
4.24,17.66669,12.72687424,1.29778
4.26,17.75006,12.903492,1.31579
4.28,17.83331,12.90888566,1.31634
4.3,17.91656,12.86406927,1.31177
4.32,18,13.00518696,1.32616
4.34,18.08337,12.89790221,1.31522
4.36,18.16669,12.90015774,1.31545
4.38,18.25012,12.84386757,1.30971
4.4,18.33337,12.86446154,1.31181
4.42,18.41668,12.87985798,1.31338
4.44,18.50006,12.98096454,1.32369
4.46,18.58331,13.04755169,1.33048
4.48,18.66662,12.91516192,1.31698
4.5,18.75,12.83602225,1.30891
4.52,18.83325,12.73619055,1.29873
4.54,18.91662,12.90123647,1.31556
4.56,19.00006,13.03205719,1.3289
4.58,19.08337,13.0419619,1.32991
4.6,19.16668,13.12747589,1.33863
4.62,19.25012,13.03676438,1.32938
4.64,19.33337,13.0039121,1.32603
4.66,19.41668,13.19337658,1.34535
4.68,19.50006,13.06196747,1.33195
4.7,19.58331,13.10060567,1.33589
4.72,19.66662,13.13639994,1.33954
4.74,19.75,13.09687914,1.33551
4.76,19.83331,13.07657938,1.33344
4.78,19.91662,13.06500753,1.33226
4.8,20.00006,13.09266228,1.33508
4.82,20.08337,13.31272351,1.35752
4.84,20.16668,13.36234516,1.36258
4.86,20.25006,13.29477734,1.35569
4.88,20.33337,13.27330078,1.3535
4.9,20.41662,13.32713928,1.35899
4.92,20.5,13.33057161,1.35934
4.94,20.58325,13.41128034,1.36757
4.96,20.66662,13.3756822,1.36394
4.98,20.75,13.43373757,1.36986
5,20.83331,13.29056048,1.35526
5.02,20.91669,13.21073435,1.34712
5.04,21.00006,13.27222204,1.35339
5.06,21.08331,13.39078444,1.36548
5.08,21.16662,13.41000548,1.36744
5.1,21.25,13.59515503,1.38632
5.12,21.33331,13.58093539,1.38487
5.14,21.41656,13.55896849,1.38263
5.16,21.5,13.52925434,1.3796
5.18,21.58331,13.51974189,1.37863
5.2,21.66662,13.54837731,1.38155
5.22,21.75006,13.69675192,1.39668
5.24,21.83337,13.7096967,1.398
5.26,21.91675,13.65389686,1.39231
5.28,22.00012,13.71518842,1.39856
5.3,22.08337,13.64340375,1.39124
5.32,22.16662,13.68763174,1.39575
5.34,22.25,13.69528092,1.39653
5.36,22.33325,13.62084845,1.38894
5.38,22.41656,13.44746688,1.37126
5.4,22.5,13.39961043,1.36638
5.42,22.58337,13.4921852,1.37582
5.44,22.66668,13.49091034,1.37569
5.46,22.75006,13.4728661,1.37385
5.48,22.83337,13.57691466,1.38446
5.5,22.91675,13.75745509,1.40287
5.52,23.00006,13.91083109,1.41851
5.54,23.08331,13.84071354,1.41136
5.56,23.16662,13.8303185,1.4103
5.58,23.25,13.85973845,1.4133
5.6,23.33325,13.81590272,1.40883
5.62,23.41662,13.75971062,1.4031
5.64,23.5,13.75392469,1.40251
5.66,23.58337,13.90426064,1.41784
5.68,23.66669,13.99487408,1.42708
5.7,23.75012,13.99644315,1.42724
5.72,23.83337,13.98938236,1.42652
5.74,23.91668,13.95123449,1.42263
5.76,24.00006,13.77912778,1.40508
5.78,24.08331,13.85895391,1.41322
5.8,24.16662,13.86670117,1.41401
5.82,24.25,14.00585753,1.4282
5.84,24.33325,14.01644871,1.42928
5.86,24.41662,13.94995963,1.4225
5.88,24.50006,14.05606758,1.43332
5.9,24.58343,14.23239115,1.4513
5.92,24.66675,13.97506465,1.42506
5.94,24.75012,13.82364997,1.40962
5.96,24.83337,13.98800943,1.42638
5.98,24.91656,14.00379813,1.42799
6,24.99993,14.07519055,1.43527
6.02,25.08325,14.16041033,1.44396
6.04,25.16662,14.21434691,1.44946
6.06,25.25012,14.15060368,1.44296
6.08,25.33343,14.19747947,1.44774
6.1,25.41675,14.16747112,1.44468
6.12,25.50012,14.21944637,1.44998
6.14,25.58331,14.17462998,1.44541
6.16,25.6665,14.15423214,1.44333
6.18,25.74987,14.15217275,1.44312
6.2,25.83318,14.2416094,1.45224
6.22,25.91656,14.43176034,1.47163
6.24,26,14.44303799,1.47278
6.26,26.08337,14.3004493,1.45824
6.28,26.16668,14.26083043,1.4542
6.3,26.25012,14.35654333,1.46396
6.32,26.33337,14.27534427,1.45568
6.34,26.41669,14.25926137,1.45404
6.36,26.50006,14.24259006,1.45234
6.38,26.58337,14.394397,1.46782
6.4,26.66662,14.46765268,1.47529
6.42,26.75,14.43038741,1.47149
6.44,26.83331,14.4166581,1.47009
6.46,26.91662,14.37164558,1.4655
6.48,27.00006,14.46951594,1.47548
6.5,27.08337,14.475498,1.47609
6.52,27.16668,14.46314162,1.47483
6.54,27.25006,14.51335167,1.47995
6.56,27.33337,14.39018014,1.46739
6.58,27.41668,14.08872372,1.43665
6.6,27.50006,14.33045765,1.4613
6.62,27.58331,14.5156072,1.48018
6.64,27.66662,14.51305747,1.47992
6.66,27.75006,14.54188902,1.48286
6.68,27.83331,14.57738909,1.48648
6.7,27.91668,14.67702466,1.49664
6.72,28.00006,14.75763532,1.50486
6.74,28.08337,14.52943457,1.48159
6.76,28.16668,14.49619003,1.4782
6.78,28.25006,14.62328421,1.49116
6.8,28.33331,14.55689319,1.48439
6.82,28.41662,14.62495134,1.49133
6.84,28.5,14.64093618,1.49296
6.86,28.58331,14.59798306,1.48858
6.88,28.66662,14.65652876,1.49455
6.9,28.75006,14.86374327,1.51568
6.92,28.83337,14.91434559,1.52084
6.94,28.91668,14.982796,1.52782
6.96,29.00006,14.89394775,1.51876
6.98,29.08337,14.87168666,1.51649
7,29.16669,14.91209006,1.52061
7.02,29.25006,14.79480252,1.50865
7.04,29.33337,14.8674698,1.51606
7.06,29.41662,14.84501257,1.51377
7.08,29.5,14.85148496,1.51443
7.1,29.58331,14.85413276,1.5147
7.12,29.66662,14.76391158,1.5055
7.14,29.75,14.89561488,1.51893
7.16,29.83331,14.85442695,1.51473
7.18,29.91668,14.84069764,1.51333
7.2,30.00006,14.92081798,1.5215
7.22,30.08337,15.1212659,1.54194
7.24,30.16668,15.05791494,1.53548
7.26,30.25006,14.91748371,1.52116
7.28,30.33331,15.02702399,1.53233
7.3,30.41662,15.05261935,1.53494
7.32,30.50006,15.01868834,1.53148
7.34,30.58331,15.03202539,1.53284
7.36,30.66662,14.90355827,1.51974
7.38,30.75006,14.93807768,1.52326
7.4,30.83337,15.03702678,1.53335
7.42,30.91668,15.15470658,1.54535
7.44,31.00006,15.26522752,1.55662
7.46,31.08331,15.2980798,1.55997
7.48,31.16662,15.10920372,1.54071
7.5,31.25,14.96965509,1.52648
7.52,31.33325,15.01809994,1.53142
7.54,31.41662,15.07085972,1.5368
7.56,31.50006,15.18961825,1.54891
7.58,31.58337,15.11273412,1.54107
7.6,31.66668,15.09194402,1.53895
7.62,31.75012,15.2597358,1.55606
7.64,31.83337,15.37310067,1.56762
7.66,31.91662,15.32534229,1.56275
7.68,31.99999,15.261501,1.55624
7.7,32.08324,15.23227718,1.55326
7.72,32.16656,15.32171383,1.56238
7.74,32.24999,15.33563927,1.5638
7.76,32.33331,15.3405426,1.5643
7.78,32.41675,15.27081731,1.55719
7.8,32.50018,15.36751088,1.56705
7.82,32.58343,15.43615743,1.57405
7.84,32.66668,15.36192109,1.56648
7.86,32.75,15.17333921,1.54725
7.88,32.83324,15.40036316,1.5704
7.9,32.91656,15.51039377,1.58162
7.92,33,15.58943537,1.58968
7.94,33.08331,15.44517955,1.57497
7.96,33.16668,15.46381219,1.57687
7.98,33.25006,15.54834551,1.58549
8,33.33337,15.60012462,1.59077
8.02,33.41668,15.64768687,1.59562
8.04,33.50006,15.49156501,1.5797
8.06,33.58337,15.497449,1.5803
8.08,33.66668,15.42233006,1.57264
8.1,33.75012,15.40016703,1.57038
8.12,33.83337,15.34848598,1.56511
8.14,33.91668,15.42605658,1.57302
8.16,34.00006,15.59453483,1.5902
8.18,34.08331,15.79459049,1.6106
8.2,34.16656,15.80371067,1.61153
8.22,34.25,15.7515393,1.60621
8.24,34.33331,15.73143566,1.60416
8.26,34.41668,15.74447851,1.60549
8.28,34.50006,15.64513714,1.59536
8.3,34.58337,15.7322202,1.60424
8.32,34.66662,15.79410016,1.61055
8.34,34.75,15.71152816,1.60213
8.36,34.83331,15.71496049,1.60248
8.38,34.91662,15.80478941,1.61164
8.4,34.99999,15.92550927,1.62395
8.42,35.08331,15.88049674,1.61936
8.44,35.16668,15.81243859,1.61242
8.46,35.25006,15.77036806,1.60813
8.48,35.33337,15.6502366,1.59588
8.5,35.41662,15.80439714,1.6116
8.52,35.49999,15.90177717,1.62153
8.54,35.58331,15.93629658,1.62505
8.56,35.66656,15.90471917,1.62183
8.58,35.74993,16.00102047,1.63165
8.6,35.83324,16.01896664,1.63348
8.62,35.91662,16.00690446,1.63225
8.64,35.99999,16.10575549,1.64233
8.66,36.08331,16.12801659,1.6446
8.68,36.16668,16.03504955,1.63512
8.7,36.25006,15.93502172,1.62492
8.72,36.33337,16.05250539,1.6369
8.74,36.41662,16.02828296,1.63443
8.76,36.50006,15.98797763,1.63032
8.78,36.58331,16.21696291,1.65367
8.8,36.66662,16.19362308,1.65129
8.82,36.74999,16.07172642,1.63886
8.84,36.83331,16.12909532,1.64471
8.86,36.91662,16.24079307,1.6561
8.88,37.00006,16.17126392,1.64901
8.9,37.08337,16.27384148,1.65947
8.92,37.16668,16.37357511,1.66964
8.94,37.25012,16.45840263,1.67829
8.96,37.33337,16.33140651,1.66534
8.98,37.41662,16.24687319,1.65672
9,37.49999,16.36445492,1.66871
9.02,37.58324,16.34621455,1.66685
9.04,37.66662,16.42201996,1.67458
9.06,37.75006,16.55970532,1.68862
9.08,37.83337,16.4178031,1.67415
9.1,37.91668,16.2992407,1.66206
9.12,38.00012,16.12693786,1.64449
9.14,38.08337,16.19107335,1.65103
9.16,38.16668,16.38671602,1.67098
9.18,38.25,16.34307642,1.66653
9.2,38.33324,16.54999674,1.68763
9.22,38.41656,16.57333657,1.69001
9.24,38.5,16.50645521,1.68319
