Time,Extension,Load
(sec),(mm),(N)
0.00000,-0.00006,0.10017
0.10000,0.07562,0.36002
0.20000,0.16469,0.58507
0.30000,0.24931,0.64819
0.40000,0.33294,0.96321
0.50000,0.41675,1.21374
0.60000,0.50000,1.34114
0.70000,0.58331,1.40935
0.80000,0.66675,1.60564
0.90000,0.74994,1.68110
1.00000,0.83325,1.83320
1.10000,0.91675,1.94766
1.20000,0.99994,2.20981
1.30000,1.08331,2.32878
1.40000,1.16681,2.31369
1.50000,1.25000,2.54796
1.60000,1.33331,2.63312
1.70000,1.41675,2.62626
1.80000,1.49994,2.79614
1.90000,1.58325,3.01978
2.00000,1.66669,2.97999
2.10000,1.75000,3.54648
2.20000,1.83331,3.35543
2.30000,1.91675,3.38306
2.40000,2.00000,3.70421
2.50000,2.08331,3.75825
2.60000,2.16681,3.76482
2.70000,2.24994,3.87674
2.80000,2.33325,4.05372
2.90000,2.41675,4.11551
3.00000,2.49994,4.38903
3.10000,2.58325,4.53147
3.20000,2.66675,4.42549
3.30000,2.75000,4.68136
3.40000,2.83325,4.60541
3.50000,2.91675,4.68195
3.60000,3.00000,4.72306
3.70000,3.08331,5.05817
3.80000,3.16675,5.02662
3.90000,3.24994,5.13760
4.00000,3.33331,5.21536
4.10000,3.41675,5.22654
4.20000,3.49994,5.28176
4.30000,3.58325,5.56757
4.40000,3.66681,5.78876
4.50000,3.75000,5.62544
4.60000,3.83325,5.91508
4.70000,3.91681,5.94277
4.80000,4.00000,5.97222
4.90000,4.08325,5.89970
5.00000,4.16669,6.04228
5.10000,4.24994,6.14950
5.20000,4.33331,6.30213
5.30000,4.41669,6.40577
5.40000,4.49994,6.52018
5.50000,4.58325,6.62690
5.60000,4.66681,6.58653
5.70000,4.74994,6.92972
5.80000,4.83325,6.73416
5.90000,4.91675,6.89488
6.00000,5.00000,6.84490
6.10000,5.08319,7.10725
6.20000,5.16675,7.11249
6.30000,5.24994,7.10088
6.40000,5.33325,7.31780
6.50000,5.41681,7.30619
6.60000,5.50000,7.35955
6.70000,5.58331,7.37224
6.80000,5.66681,7.51439
6.90000,5.74994,7.59068
7.00000,5.83325,7.70460
7.10000,5.91675,7.86812
7.20000,5.99994,7.70362
7.30000,6.08325,8.00978
7.40000,6.16675,7.86160
7.50000,6.25000,7.87248
7.60000,6.33325,8.05618
7.70000,6.41669,8.23493
7.80000,6.50000,8.20259
7.90000,6.58331,8.32181
