Time,Extension,Load,Tensile strain,Tensile stress,Corrected Position
(sec),(mm),(N),(mm/mm),(MPa),(mm)
0.00000,0.00000,0.00600,0.00000,0.00067,0.00000
0.01000,0.00312,0.10213,0.00003,0.01135,0.00312
0.02000,0.01975,0.24626,0.00017,0.02736,0.01975
0.03000,0.05119,0.42130,0.00045,0.04681,0.05119
0.04000,0.09737,0.63623,0.00085,0.07069,0.09737
0.05000,0.15812,0.87534,0.00137,0.09726,0.15812
0.06000,0.23337,1.02324,0.00203,0.11369,0.23337
0.07000,0.32131,1.22750,0.00279,0.13639,0.32131
0.08000,0.41681,1.39147,0.00362,0.15461,0.41681
0.09000,0.51700,1.43925,0.00450,0.15992,0.51700
0.10000,0.62031,1.40107,0.00539,0.15567,0.62031
0.11000,0.72600,1.49440,0.00631,0.16604,0.72600
0.12000,0.83362,1.55769,0.00725,0.17308,0.83362
0.13000,0.94281,1.77027,0.00820,0.19670,0.94281
0.14000,1.05356,2.02160,0.00916,0.22462,1.05356
0.15000,1.16494,2.22265,0.01013,0.24696,1.16494
0.16000,1.27362,2.33741,0.01107,0.25971,1.27362
0.17000,1.37694,2.35999,0.01197,0.26222,1.37694
0.18000,1.47412,2.44679,0.01282,0.27187,1.47412
0.19000,1.56581,2.53197,0.01362,0.28133,1.56581
0.20000,1.65312,2.70909,0.01437,0.30101,1.65312
0.21000,1.73750,2.88543,0.01511,0.32060,1.73750
0.22000,1.82037,3.05949,0.01583,0.33994,1.82037
0.23000,1.90275,3.22987,0.01655,0.35887,1.90275
0.24000,1.98544,3.44843,0.01726,0.38316,1.98544
0.25000,2.06869,3.72547,0.01799,0.41394,2.06869
0.26000,2.15256,3.99887,0.01872,0.44432,2.15256
0.27000,2.23700,4.12022,0.01945,0.45780,2.23700
0.28000,2.32181,4.27951,0.02019,0.47550,2.32181
0.29000,2.40669,4.40030,0.02093,0.48892,2.40669
0.30000,2.49156,4.37118,0.02167,0.48569,2.49156
0.31000,2.57631,4.36751,0.02240,0.48528,2.57631
0.32000,2.66087,4.42396,0.02314,0.49155,2.66087
0.33000,2.74519,4.41556,0.02387,0.49062,2.74519
0.34000,2.82931,4.40831,0.02460,0.48981,2.82931
0.35000,2.91319,4.57517,0.02533,0.50835,2.91319
0.36000,2.99700,4.61563,0.02606,0.51285,2.99700
0.37000,3.08069,4.78773,0.02679,0.53197,3.08069
0.38000,3.16425,5.11672,0.02752,0.56852,3.16425
0.39000,3.24787,5.26251,0.02824,0.58472,3.24787
0.40000,3.33137,5.34008,0.02897,0.59334,3.33137
0.41000,3.41487,5.52209,0.02969,0.61357,3.41487
0.42000,3.49837,5.54061,0.03042,0.61562,3.49837
0.43000,3.58187,5.62914,0.03115,0.62546,3.58187
0.44000,3.66537,5.80663,0.03187,0.64518,3.66537
0.45000,3.74887,5.83678,0.03260,0.64853,3.74887
0.46000,3.83244,5.92781,0.03333,0.65865,3.83244
0.47000,3.91587,6.00273,0.03405,0.66697,3.91587
0.48000,3.99937,5.93335,0.03478,0.65926,3.99937
0.49000,4.08281,5.96847,0.03550,0.66316,4.08281
0.50000,4.16619,6.26200,0.03623,0.69578,4.16619
0.51000,4.24956,6.42119,0.03695,0.71347,4.24956
0.52000,4.33294,6.43779,0.03768,0.71531,4.33294
0.53000,4.41625,6.58944,0.03840,0.73216,4.41625
0.54000,4.49962,6.62348,0.03913,0.73594,4.49962
0.55000,4.58306,6.70078,0.03985,0.74453,4.58306
0.56000,4.66637,6.95874,0.04058,0.77319,4.66637
0.57000,4.74975,7.01387,0.04130,0.77932,4.74975
0.58000,4.83312,7.00425,0.04203,0.77825,4.83312
0.59000,4.91650,7.18014,0.04275,0.79779,4.91650
0.60000,4.99987,7.19183,0.04348,0.79909,4.99987
0.61000,5.08319,7.14022,0.04420,0.79336,5.08319
0.62000,5.16650,7.32780,0.04493,0.81420,5.16650
0.63000,5.24987,7.36611,0.04565,0.81846,5.24987
0.64000,5.33319,7.41176,0.04638,0.82353,5.33319
0.65000,5.41656,7.62368,0.04710,0.84708,5.41656
0.66000,5.49994,7.69453,0.04783,0.85495,5.49994
0.67000,5.58331,7.72686,0.04855,0.85854,5.58331
0.68000,5.66662,7.88642,0.04927,0.87627,5.66662
0.69000,5.75000,7.86310,0.05000,0.87368,5.75000
0.70000,5.83331,7.84958,0.05072,0.87218,5.83331
0.71000,5.91662,8.02002,0.05145,0.89111,5.91662
0.72000,6.00000,8.02744,0.05217,0.89194,6.00000
0.73000,6.08331,8.05063,0.05290,0.89451,6.08331
0.74000,6.16656,8.22036,0.05362,0.91337,6.16656
0.75000,6.24994,8.26424,0.05435,0.91825,6.24994
0.76000,6.33331,8.29763,0.05507,0.92196,6.33331
0.77000,6.41662,8.52767,0.05580,0.94752,6.41662
0.78000,6.50000,8.59882,0.05652,0.95542,6.50000
0.79000,6.58337,8.59490,0.05725,0.95499,6.58337
0.80000,6.66669,8.74170,0.05797,0.97130,6.66669
0.81000,6.75006,8.77746,0.05870,0.97527,6.75006
0.82000,6.83331,8.77672,0.05942,0.97519,6.83331
0.83000,6.91662,8.88769,0.06014,0.98752,6.91662
0.84000,7.00000,8.89281,0.06087,0.98809,7.00000
0.85000,7.08331,8.88245,0.06159,0.98694,7.08331
0.86000,7.16656,9.04176,0.06232,1.00464,7.16656
0.87000,7.24994,9.14852,0.06304,1.01650,7.24994
0.88000,7.33331,9.21105,0.06377,1.02345,7.33331
0.89000,7.41662,9.43348,0.06449,1.04816,7.41662
0.90000,7.50000,9.43387,0.06522,1.04821,7.50000
0.91000,7.58331,9.37075,0.06594,1.04119,7.58331
0.92000,7.66662,9.43615,0.06667,1.04846,7.66662
0.93000,7.75000,9.43132,0.06739,1.04792,7.75000
