Time,Extension,Load,Tensile strain,Tensile stress,Corrected Position
(sec),(mm),(N),(mm/mm),(MPa),(mm)
0.00000,0.00000,-0.11298,0.00000,-0.01255,0.00000
0.01000,0.00319,-0.09638,0.00003,-0.01071,0.00319
0.02000,0.01987,0.14437,0.00017,0.01604,0.01987
0.03000,0.05144,0.42764,0.00045,0.04752,0.05144
0.04000,0.09775,0.69949,0.00085,0.07772,0.09775
0.05000,0.15875,0.91491,0.00138,0.10166,0.15875
0.06000,0.23419,1.15821,0.00204,0.12869,0.23419
0.07000,0.32225,1.41441,0.00280,0.15716,0.32225
0.08000,0.41794,1.50542,0.00363,0.16727,0.41794
0.09000,0.51825,1.53571,0.00451,0.17063,0.51825
0.10000,0.62156,1.66902,0.00540,0.18545,0.62156
0.11000,0.72737,1.70419,0.00632,0.18935,0.72737
0.12000,0.83500,1.81927,0.00726,0.20214,0.83500
0.13000,0.94425,2.01515,0.00821,0.22391,0.94425
0.14000,1.05500,2.05843,0.00917,0.22871,1.05500
0.15000,1.16606,2.14549,0.01014,0.23839,1.16606
0.16000,1.27400,2.20173,0.01108,0.24464,1.27400
0.17000,1.37650,2.27116,0.01197,0.25235,1.37650
0.18000,1.47306,2.34921,0.01281,0.26102,1.47306
0.19000,1.56419,2.46344,0.01360,0.27372,1.56419
0.20000,1.65137,2.73713,0.01436,0.30413,1.65137
0.21000,1.73587,2.91403,0.01509,0.32378,1.73587
0.22000,1.81894,3.14956,0.01582,0.34995,1.81894
0.23000,1.90162,3.29376,0.01654,0.36597,1.90162
0.24000,1.98456,3.45989,0.01726,0.38443,1.98456
0.25000,2.06806,3.71932,0.01798,0.41326,2.06806
0.26000,2.15212,3.88348,0.01871,0.43150,2.15212
0.27000,2.23675,3.92612,0.01945,0.43624,2.23675
0.28000,2.32162,4.07292,0.02019,0.45255,2.32162
0.29000,2.40662,4.13959,0.02093,0.45995,2.40662
0.30000,2.49156,4.08500,0.02167,0.45389,2.49156
0.31000,2.57631,4.17630,0.02240,0.46403,2.57631
