Time,Extension,Load
(sec),(mm),(N)
0.00000,0.00000,0.06974
0.10000,0.07594,0.51181
0.20000,0.16462,1.12230
0.30000,0.24925,1.02107
0.40000,0.33306,1.45810
0.50000,0.41675,1.68565
0.60000,0.49994,2.10010
0.70000,0.58337,2.21182
0.80000,0.66669,2.27199
0.90000,0.74994,2.55761
1.00000,0.83337,2.66193
1.10000,0.91675,3.03055
1.20000,1.00000,3.16908
1.30000,1.08337,3.25483
1.40000,1.16681,3.58734
1.50000,1.24987,3.43564
1.60000,1.33337,3.96204
1.70000,1.41669,3.98703
1.80000,1.49987,4.15177
1.90000,1.58331,4.25001
2.00000,1.66669,4.46875
2.10000,1.75000,4.43156
2.20000,1.83344,4.70846
2.30000,1.91675,4.90671
2.40000,1.99994,4.91974
2.50000,2.08337,4.94405
2.60000,2.16662,5.13833
2.70000,2.24987,5.39171
2.80000,2.33331,5.57428
2.90000,2.41675,5.56585
3.00000,2.49994,5.79508
3.10000,2.58337,5.87798
3.20000,2.66675,5.89259
3.30000,2.74994,5.97878
3.40000,2.83331,6.02126
3.50000,2.91675,6.55168
3.60000,2.99994,6.40307
3.70000,3.08331,6.46530
3.80000,3.16675,6.76797
3.90000,3.24987,6.72157
4.00000,3.33337,6.83338
4.10000,3.41669,6.79007
4.20000,3.49994,6.94202
4.30000,3.58337,7.05883
4.40000,3.66681,7.13375
4.50000,3.74994,7.14982
4.60000,3.83331,7.24052
4.70000,3.91675,7.29824
4.80000,3.99994,7.49478
4.90000,4.08331,7.51546
5.00000,4.16675,7.73797
5.10000,4.24994,7.87169
5.20000,4.33337,7.69999
5.30000,4.41675,8.15653
5.40000,4.49994,7.97376
5.50000,4.58337,8.12928
5.60000,4.66675,8.27530
5.70000,4.75000,8.28348
5.80000,4.83331,8.44744
5.90000,4.91675,8.49237
6.00000,4.99987,8.41608
6.10000,5.08331,8.45204
6.20000,5.16675,8.75516
6.30000,5.24994,8.67857
6.40000,5.33331,8.82596
6.50000,5.41675,8.87771
6.60000,5.50000,9.00388
6.70000,5.58337,8.93793
6.80000,5.66675,9.08586
6.90000,5.74994,9.01196
7.00000,5.83331,9.24275
7.10000,5.91669,9.12280
7.20000,5.99994,9.15103
7.30000,6.08331,9.41337
7.40000,6.16675,9.48834
7.50000,6.24994,9.50319
7.60000,6.33337,9.77107
7.70000,6.41669,9.65029
7.80000,6.49994,9.68591
7.90000,6.58331,9.83560
8.00000,6.66675,9.86500
8.10000,6.74994,9.71756
8.20000,6.83331,10.05948
8.30000,6.91669,9.95604
8.40000,6.99987,10.34295
8.50000,7.08337,10.07257
8.60000,7.16675,10.31428
8.70000,7.24994,10.16704
8.80000,7.33337,9.96820
8.90000,7.41675,10.27523
9.00000,7.49994,10.24946
9.10000,7.58331,10.45731
9.20000,7.66669,10.42350
9.30000,7.74994,10.55688
9.40000,7.83325,10.45168
9.50000,7.91675,10.87553
9.60000,7.99987,10.65121
9.70000,8.08337,10.87847
9.80000,8.16681,10.85769
9.90000,8.25000,10.93869
10.00000,8.33337,11.10156
10.10000,8.41675,10.92026
10.20000,8.49987,10.85764
10.30000,8.58325,11.08035
10.40000,8.66669,10.97279
10.50000,8.74987,11.19496
10.60000,8.83331,11.16869
10.70000,8.91675,11.05673
10.80000,8.99987,11.06261
10.90000,9.08337,11.31770
11.00000,9.16675,11.17673
11.10000,9.24994,11.43373
11.20000,9.33337,11.34294
11.30000,9.41675,11.50679
11.40000,9.49994,11.41751
11.50000,9.58325,11.34985
11.60000,9.66669,11.53311
11.70000,9.74987,11.62405
11.80000,9.83337,11.68398
11.90000,9.91675,11.67418
12.00000,10.00000,11.68790
12.10000,10.08337,11.72127
12.20000,10.16675,11.82265
12.30000,10.24994,11.71720
12.40000,10.33337,12.03251
12.50000,10.41675,11.93912
12.60000,10.49994,11.79212
12.70000,10.58331,11.94382
12.80000,10.66669,11.79633
12.90000,10.74987,11.98072
13.00000,10.83331,12.09097
13.10000,10.91675,12.15349
13.20000,10.99994,11.93946
13.30000,11.08337,12.00684
13.40000,11.16675,12.32303
13.50000,11.24994,12.07372
13.60000,11.33331,12.09700
13.70000,11.41675,12.19573
13.80000,11.49987,12.03800
13.90000,11.58337,12.12943
14.00000,11.66675,12.41103
14.10000,11.74994,12.32764
14.20000,11.83337,12.44666
14.30000,11.91675,12.31872
14.40000,11.99987,12.36836
14.50000,12.08331,12.33979
14.60000,12.16669,12.57376
14.70000,12.24987,12.48561
14.80000,12.33337,12.56607
14.90000,12.41675,12.58013
15.00000,12.50000,12.59640
15.10000,12.58337,12.66544
15.20000,12.66675,12.65251
15.30000,12.74994,12.64114
15.40000,12.83331,12.54294
15.50000,12.91675,12.80715
15.60000,12.99994,12.64913
15.70000,13.08331,12.68759
15.80000,13.16675,12.73492
15.90000,13.24987,13.18126
16.00000,13.33331,13.09204
16.10000,13.41669,12.86252
16.20000,13.49994,13.03456
16.30000,13.58331,12.91990
16.40000,13.66675,13.10296
16.50000,13.74993,12.94577
16.60000,13.83331,13.22135
16.70000,13.91675,13.10100
16.80000,13.99987,13.17945
16.90000,14.08331,13.26285
17.00000,14.16669,13.11217
17.10000,14.24994,13.10639
17.20000,14.33337,13.21576
17.30000,14.41675,13.36443
17.40000,14.50000,13.46767
17.50000,14.58331,13.42621
17.60000,14.66675,13.29965
17.70000,14.74994,13.17112
17.80000,14.83331,13.46938
17.90000,14.91669,13.60183
18.00000,14.99994,13.30484
18.10000,15.08331,13.33429
18.20000,15.16675,13.53083
18.30000,15.24994,13.65401
18.40000,15.33331,13.38907
18.50000,15.41675,13.36413
18.60000,15.50000,13.32665
18.70000,15.58331,13.66641
18.80000,15.66675,13.62716
18.90000,15.74987,13.61795
19.00000,15.83337,13.78083
19.10000,15.91668,13.78891
19.20000,15.99994,13.55474
19.30000,16.08337,13.64867
19.40000,16.16675,13.89490
19.50000,16.25000,13.65852
19.60000,16.33337,13.72756
19.70000,16.41668,13.73001
19.80000,16.49987,13.89191
19.90000,16.58331,13.80356
20.00000,16.66675,14.06331
20.10000,16.74994,13.86535
20.20000,16.83337,13.93547
20.30000,16.91675,13.99069
20.40000,16.99987,13.95169
20.50000,17.08331,13.89661
20.60000,17.16669,14.12956
20.70000,17.24993,13.92993
20.80000,17.33337,14.10584
20.90000,17.41681,14.09932
21.00000,17.49987,13.92498
21.10000,17.58331,14.07943
21.20000,17.66675,14.18253
21.30000,17.74987,14.38333
21.40000,17.83337,14.08085
21.50000,17.91675,14.20904
21.60000,17.99993,14.26597
21.70000,18.08331,14.24579
21.80000,18.16675,14.42802
21.90000,18.24987,14.37598
22.00000,18.33331,14.30199
22.10000,18.41668,14.23917
22.20000,18.49987,14.30385
22.30000,18.58337,14.29052
22.40000,18.66681,14.29224
22.50000,18.74994,14.35540
22.60000,18.83337,14.41944
22.70000,18.91675,14.50931
22.80000,18.99993,14.62245
22.90000,19.08331,14.43027
23.00000,19.16668,14.33991
23.10000,19.24987,14.75970
23.20000,19.33331,14.45139
23.30000,19.41675,14.44056
23.40000,19.50000,14.56722
23.50000,19.58337,14.68414
23.60000,19.66669,14.60197
23.70000,19.74987,14.53136
23.80000,19.83337,14.59182
23.90000,19.91675,14.66003
24.00000,19.99993,14.54258
24.10000,20.08331,14.58080
24.20000,20.16675,14.64783
24.30000,20.24987,14.74465
24.40000,20.33331,14.59976
24.50000,20.41668,14.72834
24.60000,20.49993,14.77101
24.70000,20.58337,14.83040
24.80000,20.66675,14.76180
24.90000,20.74993,14.91370
25.00000,20.83337,14.89866
25.10000,20.91669,15.04512
25.20000,20.99993,15.00293
25.30000,21.08337,14.88215
25.40000,21.16675,14.88538
25.50000,21.24987,14.95609
25.60000,21.33331,14.97319
25.70000,21.41668,15.25038
25.80000,21.49994,15.10652
25.90000,21.58337,15.07589
26.00000,21.66675,15.12842
26.10000,21.74993,14.98955
26.20000,21.83337,14.90792
26.30000,21.91668,15.14577
26.40000,21.99993,15.25847
26.50000,22.08331,15.22505
26.60000,22.16668,15.34324
26.70000,22.24993,15.19873
26.80000,22.33331,15.23338
26.90000,22.41681,15.12979
27.00000,22.49993,15.30291
27.10000,22.58337,15.24867
27.20000,22.66675,15.34034
27.30000,22.74993,15.33897
27.40000,22.83331,15.16909
27.50000,22.91668,15.49376
27.60000,22.99994,15.30644
27.70000,23.08337,15.39718
27.80000,23.16675,15.56976
27.90000,23.24993,15.10485
28.00000,23.33337,15.43874
28.10000,23.41675,15.46113
28.20000,23.49993,15.37396
28.30000,23.58337,15.60029
28.40000,23.66675,15.56898
28.50000,23.74987,15.46804
28.60000,23.83331,15.63929
28.70000,23.91662,15.47406
28.80000,23.99993,15.60352
28.90000,24.08331,15.60161
29.00000,24.16675,15.79825
29.10000,24.25000,15.51106
29.20000,24.33343,15.77963
29.30000,24.41674,15.60720
29.40000,24.49993,15.69932
29.50000,24.58331,15.68471
29.60000,24.66668,15.76111
29.70000,24.74987,15.66948
29.80000,24.83331,15.61190
29.90000,24.91675,15.87479
30.00000,24.99999,15.71784
30.10000,25.08337,15.76498
30.20000,25.16675,15.65512
30.30000,25.25000,15.82285
30.40000,25.33331,15.74302
30.50000,25.41675,15.98474
30.60000,25.49981,15.92766
30.70000,25.58331,16.14713
30.80000,25.66668,15.82907
30.90000,25.74987,15.97822
31.00000,25.83337,15.85680
31.10000,25.91675,15.96000
31.20000,25.99993,16.14193
31.30000,26.08337,16.03296
31.40000,26.16675,16.08504
31.50000,26.25000,16.14664
31.60000,26.33331,15.98165
31.70000,26.41669,16.12248
31.80000,26.49987,16.08769
31.90000,26.58331,16.33406
32.00000,26.66668,15.91962
32.10000,26.74987,16.17133
32.20000,26.83337,15.94089
32.30000,26.91675,16.28134
32.40000,26.99994,16.35680
32.50000,27.08331,16.25512
32.60000,27.16674,16.23587
32.70000,27.24993,16.11003
32.80000,27.33337,16.33950
32.90000,27.41675,16.46411
33.00000,27.49993,16.37669
33.10000,27.58325,16.34979
33.20000,27.66668,16.32338
33.30000,27.74993,16.35121
33.40000,27.83337,16.36008
33.50000,27.91675,16.52957
33.60000,28.00000,16.39414
33.70000,28.08337,16.42074
33.80000,28.16675,16.43804
33.90000,28.24987,16.24292
34.00000,28.33331,16.50424
34.10000,28.41668,16.58342
34.20000,28.49987,16.73929
34.30000,28.58337,16.56936
34.40000,28.66675,16.75933
34.50000,28.75000,16.65697
34.60000,28.83337,16.37027
34.70000,28.91668,16.69289
34.80000,28.99987,16.69490
34.90000,29.08331,16.75095
35.00000,29.16669,16.78084
35.10000,29.24993,16.74987
35.20000,29.33337,16.64247
35.30000,29.41675,16.65628
35.40000,29.49993,16.56284
35.50000,29.58337,16.74473
35.60000,29.66675,16.80515
35.70000,29.75000,16.68985
35.80000,29.83337,16.60988
35.90000,29.91674,16.79677
36.00000,29.99993,16.75571
36.10000,30.08331,16.98610
36.20000,30.16668,16.83298
36.30000,30.24987,16.92799
36.40000,30.33337,16.79280
36.50000,30.41675,17.06778
36.60000,30.49999,16.86664
36.70000,30.58337,16.97459
36.80000,30.66675,17.00100
36.90000,30.74993,17.02011
37.00000,30.83331,17.05828
37.10000,30.91668,17.04892
37.20000,30.99993,16.97949
37.30000,31.08331,16.93348
37.40000,31.16675,16.92441
37.50000,31.24993,17.03990
37.60000,31.33337,16.84111
37.70000,31.41674,17.16887
37.80000,31.49993,17.08322
37.90000,31.58331,17.15623
38.00000,31.66674,17.15236
38.10000,31.74993,17.50143
38.20000,31.83331,17.36806
38.30000,31.91675,17.13193
38.40000,31.99993,17.20454
38.50000,32.08331,17.26937
38.60000,32.16675,17.37746
38.70000,32.24999,17.32067
38.80000,32.33331,17.28515
38.90000,32.41675,17.44092
39.00000,32.49993,17.35806
39.10000,32.58331,17.42387
39.20000,32.66668,17.43945
39.30000,32.74993,17.32190
39.40000,32.83331,17.46655
39.50000,32.91674,17.52387
39.60000,32.99993,17.45194
39.70000,33.08337,17.45773
39.80000,33.16681,17.45954
39.90000,33.24993,17.55778
40.00000,33.33331,17.36967
40.10000,33.41668,17.46914
40.20000,33.49993,17.55264
40.30000,33.58337,17.74535
40.40000,33.66675,17.66299
40.50000,33.74993,17.57052
40.60000,33.83337,17.81288
40.70000,33.91668,17.55514
40.80000,33.99987,17.76672
40.90000,34.08331,17.89863
41.00000,34.16675,17.77015
41.10000,34.24987,17.92205
41.20000,34.33343,17.58620
41.30000,34.41668,17.77436
41.40000,34.49987,18.06278
41.50000,34.58331,17.85595
41.60000,34.66674,17.79788
41.70000,34.74993,17.90397
41.80000,34.83337,17.87442
41.90000,34.91681,17.90431
42.00000,34.99993,17.88569
42.10000,35.08337,17.78235
42.20000,35.16668,17.87775
42.30000,35.24987,18.01647
42.40000,35.33331,17.93312
42.50000,35.41674,17.82934
42.60000,35.49987,18.11329
42.70000,35.58331,18.31762
42.80000,35.66675,17.96865
42.90000,35.75000,18.17861
43.00000,35.83337,18.09017
43.10000,35.91675,18.22418
43.20000,35.99993,18.10325
43.30000,36.08324,18.11285
43.40000,36.16675,18.27009
43.50000,36.24987,18.04999
43.60000,36.33331,18.26686
43.70000,36.41668,18.16092
43.80000,36.49993,18.30978
43.90000,36.58331,18.26098
44.00000,36.66674,18.29141
44.10000,36.74993,18.30841
44.20000,36.83337,18.27578
44.30000,36.91674,18.47393
44.40000,36.99993,18.55611
44.50000,37.08331,18.33771
44.60000,37.16668,18.42219
44.70000,37.24993,18.40622
44.80000,37.33331,18.30018
44.90000,37.41675,18.30665
45.00000,37.49993,18.56042
45.10000,37.58331,18.69125
45.20000,37.66675,18.51044
45.30000,37.74993,18.68169
45.40000,37.83331,18.34893
45.50000,37.91675,18.51411
45.60000,37.99993,18.55919
45.70000,38.08331,18.50804
45.80000,38.16674,18.69110
45.90000,38.24987,18.56106
46.00000,38.33331,18.62774
46.10000,38.41674,18.70183
46.20000,38.49993,18.66753
46.30000,38.58337,18.63044
46.40000,38.66674,18.72560
46.50000,38.74987,18.67111
46.60000,38.83331,18.72868
46.70000,38.91668,18.67797
46.80000,38.99987,18.77950
46.90000,39.08331,18.76445
47.00000,39.16668,18.77700
47.10000,39.24993,18.82124
47.20000,39.33337,18.61255
47.30000,39.41674,18.88979
47.40000,39.49993,18.84496
47.50000,39.58330,18.89749
47.60000,39.66675,19.07742
47.70000,39.74987,18.83090
47.80000,39.83330,19.12254
47.90000,39.91674,18.81718
48.00000,39.99987,18.84364
48.10000,40.08331,19.07516
48.20000,40.16681,18.90038
48.30000,40.24993,19.03459
48.40000,40.33331,18.97079
48.50000,40.41681,19.19619
48.60000,40.49993,18.92081
48.70000,40.58337,19.08971
48.80000,40.66675,18.99524
48.90000,40.74987,19.14366
49.00000,40.83330,19.12906
49.10000,40.91674,19.40003
49.20000,40.99987,19.11794
49.30000,41.08337,19.21849
49.40000,41.16674,19.34657
49.50000,41.24993,19.42884
49.60000,41.33331,19.33408
49.70000,41.41674,19.23544
49.80000,41.49993,19.37259
49.90000,41.58324,19.20173
50.00000,41.66674,19.28689
50.10000,41.74993,19.49440
50.20000,41.83331,19.26391
50.30000,41.91674,19.23549
50.40000,41.99993,19.26259
50.50000,42.08343,19.60019
50.60000,42.16681,19.37014
50.70000,42.24993,19.47309
50.80000,42.33337,19.52233
50.90000,42.41674,19.65459
51.00000,42.49987,19.52910
51.10000,42.58330,19.39783
51.20000,42.66668,19.38729
51.30000,42.74987,19.46471
51.40000,42.83337,19.61705
51.50000,42.91675,19.66120
51.60000,42.99993,19.61842
51.70000,43.08337,19.71456
51.80000,43.16675,19.84417
51.90000,43.24993,19.50112
52.00000,43.33337,19.97465
52.10000,43.41675,19.59201
52.20000,43.49987,19.70491
52.30000,43.58331,19.82829
52.40000,43.66674,19.75592
52.50000,43.74993,19.78796
52.60000,43.83331,19.74239
52.70000,43.91674,19.74440
52.80000,43.99993,19.91384
52.90000,44.08337,20.06506
53.00000,44.16674,19.72848
53.10000,44.24993,19.98724
53.20000,44.33337,19.87043
53.30000,44.41674,19.84088
53.40000,44.49987,20.11724
53.50000,44.58318,19.82378
53.60000,44.66674,20.05491
53.70000,44.74993,19.97666
53.80000,44.83337,20.15228
53.90000,44.91681,20.09553
54.00000,44.99999,20.03272
54.10000,45.08330,20.04212
54.20000,45.16668,19.87381
54.30000,45.24987,19.95486
54.40000,45.33337,20.06256
54.50000,45.41674,20.23739
54.60000,45.49993,20.08485
54.70000,45.58337,20.04085
54.80000,45.66681,20.19726
54.90000,45.74993,20.15443
55.00000,45.83331,20.26419
55.10000,45.91674,20.08387
55.20000,45.99987,20.16801
55.30000,46.08330,20.33000
55.40000,46.16668,20.26449
55.50000,46.24993,20.42550
55.60000,46.33330,20.22372
55.70000,46.41674,20.46171
55.80000,46.49993,20.45588
55.90000,46.58337,20.39943
56.00000,46.66674,20.31961
56.10000,46.74993,20.48376
56.20000,46.83331,20.34597
56.30000,46.91680,20.55706
56.40000,46.99986,20.43672
56.50000,47.08331,20.66173
56.60000,47.16674,20.60317
56.70000,47.24993,20.55814
56.80000,47.33331,20.76247
56.90000,47.41680,20.62219
57.00000,47.49993,20.69603
57.10000,47.58331,20.79912
57.20000,47.66668,20.49439
57.30000,47.74987,20.55584
57.40000,47.83330,20.64717
57.50000,47.91674,20.60695
57.60000,47.99987,20.84366
57.70000,48.08336,20.87047
57.80000,48.16681,20.68863
57.90000,48.24987,20.71220
58.00000,48.33330,20.82313
58.10000,48.41674,20.86277
58.20000,48.49993,20.94990
58.30000,48.58330,20.88179
58.40000,48.66675,20.71680
58.50000,48.74987,20.95974
58.60000,48.83330,20.65075
58.70000,48.91668,20.87360
58.80000,48.99987,20.91545
58.90000,49.08337,20.89144
59.00000,49.16674,20.96842
59.10000,49.24993,20.94230
59.20000,49.33331,21.09636
59.30000,49.41674,21.16804
59.40000,49.49987,20.92451
59.50000,49.58331,21.03290
59.60000,49.66674,21.14624
59.70000,49.74993,21.27476
59.80000,49.83330,21.33876
59.90000,49.91674,21.06946
60.00000,49.99993,21.13727
60.10000,50.08337,21.47449
60.20000,50.16674,21.16863
60.30000,50.24993,21.21577
60.40000,50.33331,21.38511
60.50000,50.41674,21.31475
60.60000,50.49993,21.44303
60.70000,50.58337,21.31264
60.80000,50.66674,21.35512
60.90000,50.74987,21.43735
61.00000,50.83337,21.52246
61.10000,50.91668,21.41848
61.20000,50.99987,21.54103
61.30000,51.08330,21.47170
61.40000,51.16674,21.47233
61.50000,51.24993,21.41833
61.60000,51.33336,21.61272
61.70000,51.41668,21.33401
61.80000,51.49987,21.46488
61.90000,51.58330,21.69450
62.00000,51.66674,21.42833
62.10000,51.74993,21.68264
62.20000,51.83337,21.73100
62.30000,51.91674,21.58136
62.40000,51.99993,21.74036
62.50000,52.08330,21.63526
62.60000,52.16668,21.76716
62.70000,52.24993,21.80901
62.80000,52.33331,21.63869
62.90000,52.41674,21.82778
63.00000,52.49986,21.73958
63.10000,52.58337,21.95199
63.20000,52.66674,21.88506
63.30000,52.74993,21.82053
63.40000,52.83337,21.92186
63.50000,52.91674,22.10095
63.60000,52.99993,21.89608
63.70000,53.08324,21.62825
63.80000,53.16674,21.88653
63.90000,53.24987,22.13991
64.00000,53.33330,21.97541
64.10001,53.41674,21.93852
64.20000,53.49993,21.91652
64.30000,53.58336,22.02539
64.40000,53.66674,22.02799
64.50000,53.74993,22.02495
64.60001,53.83337,22.04431
64.70000,53.91668,22.14098
64.80000,53.99987,22.08826
64.90000,54.08330,22.18964
65.00000,54.16675,22.16068
65.10001,54.24987,22.17283
65.20000,54.33330,22.20253
65.30000,54.41674,22.29019
65.40000,54.49993,22.30670
65.50000,54.58331,22.24873
65.60001,54.66668,22.53093
65.70001,54.75000,22.40730
65.80000,54.83337,22.25359
65.90000,54.91674,22.30719
66.00000,54.99993,22.39779
66.10001,55.08331,22.40524
66.20001,55.16674,22.51892
66.30000,55.24987,22.53274
66.40000,55.33330,22.55346
66.50000,55.41680,22.34879
66.60001,55.49993,22.62736
66.70001,55.58337,22.48526
66.80000,55.66674,22.70125
66.90000,55.74993,22.49775
67.00000,55.83324,22.73418
67.10001,55.91668,22.74736
67.20001,55.99987,22.45919
67.30000,56.08337,22.67954
67.40000,56.16674,22.54112
67.50000,56.24987,22.55680
67.60001,56.33337,22.68425
67.70001,56.41674,22.63544
67.80000,56.49993,22.89612
67.90000,56.58330,22.82742
68.00000,56.66674,22.86942
68.10001,56.74993,22.67538
68.20001,56.83331,22.69610
68.30000,56.91674,22.85751
68.40000,56.99987,22.65357
68.50000,57.08330,22.80689
68.60001,57.16674,22.99564
68.70001,57.24993,22.84482
68.80000,57.33337,22.88245
68.90000,57.41674,22.79935
69.00000,57.49993,22.93326
69.10001,57.58337,23.02528
69.20001,57.66674,23.02612
69.30000,57.74986,23.06684
69.40000,57.83324,23.22677
69.50000,57.91674,23.26715
69.60001,57.99993,23.02965
69.70001,58.08337,23.25857
69.80000,58.16680,23.31968
