Time,Extension,Load,
(sec),(mm),(N),(kgf)
0,0,-1.076672104,-0.10979
0.02,0.01144,-0.872693784,-0.08899
0.04,0.06762,-0.547701403,-0.05585
0.06,0.16462,-0.289296175,-0.0295
0.08,0.27756,-0.163280723,-0.01665
0.1,0.38587,-0.261347223,-0.02665
0.12,0.483,-0.375986961,-0.03834
0.14,0.57112,-0.273899735,-0.02793
0.16,0.65537,-0.087279185,-0.0089
0.18,0.73937,0.185737951,0.01894
0.2,0.82406,0.410800569,0.04189
0.22,0.90937,0.476701257,0.04861
0.24,0.99475,0.726966965,0.07413
0.26,1.07956,0.857591543,0.08745
0.28,1.16387,0.966249225,0.09853
0.3,1.24794,1.277904562,0.13031
0.32,1.33169,1.352533168,0.13792
0.34,1.41537,1.463642513,0.14925
0.36,1.499,1.665365303,0.16982
0.38,1.58256,1.893075716,0.19304
0.4,1.666,1.984473694,0.20236
0.42,1.74944,2.184235155,0.22273
0.44,1.83287,2.152951941,0.21954
0.46,1.91631,2.214537703,0.22582
0.48,1.99981,2.26533615,0.231
0.5,2.08319,2.481278583,0.25302
0.52,2.16662,2.497165356,0.25464
0.54,2.25006,2.597585452,0.26488
0.56,2.33337,2.724777703,0.27785
0.58,2.41669,2.882076369,0.29389
0.6,2.5,3.036236907,0.30961
0.62,2.58325,3.072423445,0.3133
0.64,2.66656,3.127144552,0.31888
0.66,2.74994,3.32082589,0.33863
0.68,2.83331,3.502641181,0.35717
0.7,2.91662,3.636207754,0.37079
0.72,3.00006,3.640424613,0.37122
0.74,3.08337,3.790368292,0.38651
0.76,3.16669,3.836459547,0.39121
0.78,3.25006,3.923052266,0.40004
0.8,3.33331,4.002093865,0.4081
0.82,3.41662,4.175769637,0.42581
0.84,3.5,4.151645278,0.42335
0.86,3.58325,4.266579216,0.43507
0.88,3.66662,4.417013227,0.45041
0.9,3.75006,4.604516375,0.46953
0.92,3.83337,4.630013665,0.47213
0.94,3.91675,4.758873046,0.48527
0.96,4.00012,4.816143882,0.49111
0.98,4.08337,4.998253372,0.50968
1,4.16669,5.088572619,0.51889
1.02,4.25006,4.965204962,0.50631
1.04,4.33331,5.054053211,0.51537
1.06,4.41662,5.228611581,0.53317
1.08,4.5,5.311870039,0.54166
