Time,Extension,Load,
(sec),(mm),(N),(kgf)
0,0,-0.197800131,-0.02017
0.02,0.0115,-0.169360846,-0.01727
0.04,0.06806,0.250461841,0.02554
0.06,0.16525,0.759721176,0.07747
0.08,0.27769,0.991256182,0.10108
0.1,0.38562,0.99831697,0.1018
0.12,0.48231,1.376461394,0.14036
0.14,0.5705,1.830411223,0.18665
0.16,0.65512,2.137359368,0.21795
0.18,0.73925,2.396647194,0.24439
0.2,0.82412,2.744979402,0.27991
0.22,0.90956,2.848929892,0.29051
0.24,0.99475,2.970434285,0.3029
0.26,1.0795,3.271204241,0.33357
0.28,1.16394,3.406536011,0.34737
0.3,1.24787,3.789976026,0.38647
0.32,1.33169,3.954531613,0.40325
0.34,1.41537,4.074466942,0.41548
0.36,1.49894,4.32502685,0.44103
0.38,1.58256,4.459966354,0.45479
0.4,1.66619,4.702582875,0.47953
0.42,1.74956,4.962066834,0.50599
0.44,1.833,5.139076866,0.52404
0.46,1.91644,5.217235867,0.53201
0.48,1.99981,5.504080379,0.56126
0.5,2.08319,5.622348578,0.57332
0.52,2.16656,5.765329535,0.5879
0.54,2.24981,6.103462827,0.62238
0.56,2.33312,6.249778045,0.6373
0.58,2.41656,6.328133179,0.64529
0.6,2.49987,6.522304849,0.66509
0.62,2.58331,6.691763761,0.68237
0.64,2.66675,7.004792029,0.71429
0.66,2.75006,7.287027416,0.74307
0.68,2.83344,7.361852155,0.7507
0.7,2.91675,7.458251525,0.76053
0.72,2.99994,7.656345855,0.78073
0.74,3.08325,7.824627969,0.79789
0.76,3.16662,7.779811578,0.79332
0.78,3.24994,7.849144594,0.80039
0.8,3.33325,8.070676817,0.82298
0.82,3.41669,8.260239362,0.84231
0.84,3.5,8.567187507,0.87361
0.86,3.58337,8.6494653,0.882
0.88,3.66675,8.724780372,0.88968
0.9,3.75006,8.724486173,0.88965
0.92,3.83337,8.821768141,0.89957
0.94,3.91669,8.996130378,0.91735
0.96,3.99994,9.210307614,0.93919
