Time,Extension,Load
(sec),(mm),(N)
0.00000,0.00000,-0.00067
0.10000,0.07569,0.52000
0.20000,0.16469,0.53750
0.30000,0.24931,0.89196
0.40000,0.33300,1.02843
0.50000,0.41669,1.27931
0.60000,0.49987,1.44914
0.70000,0.58331,1.47217
0.80000,0.66669,1.80297
0.90000,0.74994,1.86578
1.00000,0.83337,1.93845
1.10000,0.91681,1.99299
1.20000,0.99987,2.19467
1.30000,1.08331,2.50616
1.40000,1.16675,2.55791
1.50000,1.24994,2.65792
1.60000,1.33331,2.87307
1.70000,1.41675,2.92203
1.80000,1.49994,3.02311
1.90000,1.58337,3.30393
2.00000,1.66669,3.19099
2.10000,1.74994,3.25802
2.20000,1.83337,3.59685
2.30000,1.91675,3.57965
2.40000,1.99994,3.61111
2.50000,2.08331,3.73635
2.60000,2.16675,3.79976
2.70000,2.24987,3.87757
2.80000,2.33331,4.10630
2.90000,2.41675,4.22175
3.00000,2.49994,4.23983
3.10000,2.58331,4.23782
3.20000,2.66675,4.38531
3.30000,2.75000,4.45312
3.40000,2.83337,4.38212
3.50000,2.91675,4.70214
3.60000,2.99994,4.69273
3.70000,3.08325,4.83493
3.80000,3.16669,5.08209
3.90000,3.24987,4.97345
4.00000,3.33331,5.06498
4.10000,3.41675,5.26637
4.20000,3.49994,5.27985
4.30000,3.58331,5.19248
4.40000,3.66669,5.31895
4.50000,3.74994,5.47938
4.60000,3.83331,5.38716
4.70000,3.91675,5.77617
4.80000,3.99994,5.65573
4.90000,4.08331,5.72722
5.00000,4.16669,5.84443
5.10000,4.24987,5.92880
5.20000,4.33337,6.23603
5.30000,4.41675,5.98799
5.40000,4.49994,6.15195
5.50000,4.58337,6.14337
5.60000,4.66675,6.25088
5.70000,4.74994,6.49235
5.80000,4.83325,6.28523
5.90000,4.91662,6.29586
6.00000,4.99994,6.38739
6.10000,5.08325,6.68987
6.20000,5.16675,6.77189
6.30000,5.24994,6.73132
6.40000,5.33337,6.86592
6.50000,5.41675,6.95045
6.60000,5.49994,6.70913
6.70000,5.58331,6.76552
6.80000,5.66675,7.03493
6.90000,5.74987,7.22338
7.00000,5.83325,7.22534
7.10000,5.91675,7.21226
7.20000,5.99987,7.13895
7.30000,6.08325,7.20912
7.40000,6.16675,7.50679
7.50000,6.24994,7.54320
7.60000,6.33337,7.51963
7.70000,6.41675,7.67976
7.80000,6.49994,7.58549
7.90000,6.58337,7.53492
8.00000,6.66669,7.67320
8.10000,6.74987,7.80461
8.20000,6.83325,7.81471
8.30000,6.91675,7.56917
8.40000,6.99987,8.02580
8.50000,7.08331,7.88664
8.60000,7.16675,7.99586
8.70000,7.25000,8.21077
8.80000,7.33331,8.08328
8.90000,7.41675,8.37973
9.00000,7.49994,8.28290
9.10000,7.58337,8.39276
9.20000,7.66675,8.46592
9.30000,7.74994,8.26810
9.40000,7.83331,8.43230
9.50000,7.91669,8.55382
9.60000,7.99987,8.46347
9.70000,8.08331,8.71939
9.80000,8.16681,8.56661
9.90000,8.25000,8.76981
10.00000,8.33337,8.81499
10.10000,8.41675,8.79299
10.20000,8.49987,8.98571
10.30000,8.58325,8.99075
10.40000,8.66669,8.84905
10.50000,8.74987,8.93955
10.60000,8.83331,8.88560
10.70000,8.91675,9.14868
10.80000,8.99994,9.11526
10.90000,9.08337,9.03118
11.00000,9.16675,9.19293
11.10000,9.24987,9.30509
11.20000,9.33331,9.22042
11.30000,9.41669,9.37080
11.40000,9.49994,9.24516
11.50000,9.58331,9.30876
11.60000,9.66675,9.24477
11.70000,9.74994,9.44577
11.80000,9.83337,9.40608
11.90000,9.91675,9.53029
12.00000,9.99994,9.47982
12.10000,10.08337,9.64725
12.20000,10.16669,9.50613
12.30000,10.24994,9.56640
12.40000,10.33331,9.62021
12.50000,10.41675,9.63290
12.60000,10.49987,9.91896
12.70000,10.58325,9.82836
12.80000,10.66675,9.79881
12.90000,10.74994,9.87167
13.00000,10.83337,9.92557
13.10000,10.91681,9.87883
13.20000,10.99994,10.15798
13.30000,11.08331,10.03078
13.40000,11.16669,9.92734
13.50000,11.24987,10.14612
13.60000,11.33331,10.06606
13.70000,11.41675,10.10795
13.80000,11.49994,10.19012
13.90000,11.58337,10.21580
14.00000,11.66675,10.19909
14.10000,11.74994,10.43096
14.20000,11.83331,10.44164
14.30000,11.91675,10.24829
14.40000,11.99994,10.21114
14.50000,12.08325,10.36966
14.60000,12.16669,10.36442
14.70000,12.24994,10.50201
14.80000,12.33331,10.59153
14.90000,12.41675,10.39024
15.00000,12.50000,10.56634
15.10000,12.58331,10.52798
15.20000,12.66675,10.62353
15.30000,12.74994,10.50304
15.40000,12.83331,10.92390
15.50000,12.91675,10.67233
15.60000,12.99987,10.76852
15.70000,13.08331,10.95261
15.80000,13.16669,10.96457
15.90000,13.24994,10.66871
16.00000,13.33337,10.95967
16.10000,13.41675,11.05781
16.20000,13.49994,11.00857
16.30000,13.58337,11.03238
16.40000,13.66668,11.17968
16.50000,13.74987,11.10926
16.60000,13.83331,11.13273
16.70000,13.91675,11.18482
16.80000,13.99994,11.12739
16.90000,14.08331,11.16429
17.00000,14.16675,11.23656
17.10000,14.24987,11.16277
17.20000,14.33331,11.32702
17.30000,14.41669,11.44359
17.40000,14.49994,11.55261
17.50000,14.58337,11.54301
17.60000,14.66675,11.52674
17.70000,14.74987,11.47872
17.80000,14.83331,11.45241
17.90000,14.91669,11.48225
18.00000,14.99987,11.46098
18.10000,15.08331,11.53488
18.20000,15.16681,11.69657
18.30000,15.24994,11.54330
18.40000,15.33331,11.64591
18.50000,15.41675,11.85558
18.60000,15.49987,11.52821
18.70000,15.58331,12.02169
18.80000,15.66668,11.97818
18.90000,15.74987,11.80663
19.00000,15.83337,11.55653
19.10000,15.91675,11.73328
19.20000,15.99994,11.96676
19.30000,16.08337,11.82824
19.40000,16.16675,11.81079
19.50000,16.24993,11.97612
19.60000,16.33331,12.03585
19.70000,16.41668,11.89988
19.80000,16.49993,12.03639
19.90000,16.58331,12.05658
20.00000,16.66675,12.02816
20.10000,16.74994,12.19025
20.20000,16.83337,12.05207
20.30000,16.91669,11.93070
20.40000,16.99987,12.05349
20.50000,17.08331,12.15855
20.60000,17.16675,12.37733
20.70000,17.24993,12.23072
20.80000,17.33331,12.34577
20.90000,17.41681,12.18138
21.00000,17.49987,12.24606
21.10000,17.58325,12.27693
21.20000,17.66675,12.41006
21.30000,17.74994,12.25772
21.40000,17.83331,12.49919
21.50000,17.91675,12.52345
21.60000,17.99993,12.32181
21.70000,18.08337,12.63997
21.80000,18.16669,12.41775
21.90000,18.24994,12.17374
22.00000,18.33331,12.43010
22.10000,18.41675,12.59097
22.20000,18.49987,12.64952
22.30000,18.58331,12.24219
22.40000,18.66675,12.59435
22.50000,18.75000,12.55584
22.60000,18.83331,12.68304
22.70000,18.91675,12.67187
22.80000,19.00000,12.68020
22.90000,19.08337,12.73513
23.00000,19.16668,12.74801
23.10000,19.24993,12.69906
23.20000,19.33331,12.73219
23.30000,19.41668,12.92691
23.40000,19.49994,12.59366
23.50000,19.58337,12.84861
23.60000,19.66681,12.65197
23.70000,19.74993,12.83445
23.80000,19.83331,12.84685
23.90000,19.91675,12.90555
24.00000,19.99993,12.68387
24.10000,20.08325,12.87634
24.20000,20.16668,12.92064
24.30000,20.24994,12.94779
24.40000,20.33331,13.14952
24.50000,20.41675,13.01036
24.60000,20.49993,12.84072
24.70000,20.58331,13.02045
24.80000,20.66675,13.18676
24.90000,20.74993,13.05167
25.00000,20.83337,13.06313
25.10000,20.91675,13.18313
25.20000,20.99987,13.11894
25.30000,21.08331,13.08802
25.40000,21.16668,13.18328
25.50000,21.24993,13.07362
25.60000,21.33325,13.10052
25.70000,21.41675,13.31646
25.80000,21.50000,13.17240
25.90000,21.58337,13.14369
26.00000,21.66675,13.26281
26.10000,21.74993,13.15824
26.20000,21.83331,13.62051
26.30000,21.91668,13.27403
26.40000,21.99987,13.28427
26.50000,22.08331,13.59096
26.60000,22.16675,13.21474
26.70000,22.24993,13.48669
26.80000,22.33331,13.45557
26.90000,22.41675,13.55367
27.00000,22.49993,13.45283
27.10000,22.58331,13.50555
27.20000,22.66675,13.47081
27.30000,22.74987,13.53088
27.40000,22.83331,13.90696
27.50000,22.91668,13.62795
27.60000,22.99987,13.62335
27.70000,23.08337,13.82057
27.80000,23.16675,13.55372
27.90000,23.24993,13.71527
28.00000,23.33337,13.68313
28.10000,23.41681,13.75805
28.20000,23.49993,13.65226
28.30000,23.58331,13.80519
28.40000,23.66669,13.90686
28.50000,23.74987,13.77250
28.60000,23.83331,13.79151
28.70000,23.91668,13.87756
28.80000,23.99993,13.68857
28.90000,24.08337,13.90970
29.00000,24.16675,13.65260
29.10000,24.24994,13.77172
29.20000,24.33331,14.01147
29.30000,24.41674,13.94400
29.40000,24.49993,13.78010
29.50000,24.58331,13.98051
29.60000,24.66675,14.05856
29.70000,24.74993,14.09816
29.80000,24.83325,14.03911
29.90000,24.91668,14.02338
30.00000,24.99993,13.93450
30.10000,25.08337,13.91739
30.20000,25.16675,14.11129
30.30000,25.25000,14.16411
30.40000,25.33331,14.02872
30.50000,25.41675,13.94385
30.60000,25.49975,14.32419
30.70000,25.58324,14.12496
30.80000,25.66675,14.07223
30.90000,25.74987,14.16259
31.00000,25.83337,14.34443
31.10000,25.91681,14.11893
31.20000,25.99993,14.10918
31.30000,26.08331,14.22007
31.40000,26.16675,14.15014
31.50000,26.24987,14.43126
31.60000,26.33331,14.48633
31.70000,26.41669,14.28039
31.80000,26.49993,14.40141
31.90000,26.58337,14.21987
32.00000,26.66681,14.38838
32.10000,26.74993,14.26083
32.20000,26.83331,14.53651
32.30000,26.91675,14.40617
32.40000,27.00000,14.50730
32.50000,27.08331,14.49814
32.60000,27.16674,14.46619
32.70000,27.24993,14.54743
32.80000,27.33325,14.40931
32.90000,27.41675,14.60599
33.00000,27.49987,14.45664
33.10000,27.58337,14.49525
33.20000,27.66675,14.57718
33.30000,27.74993,14.53651
33.40000,27.83337,14.79170
33.50000,27.91675,14.73407
33.60000,27.99987,14.71203
33.70000,28.08331,14.86054
33.80000,28.16668,14.70771
33.90000,28.24993,14.72187
