Time,Extension,Load,Tensile strain,Tensile stress,Corrected Position
(sec),(mm),(N),(mm/mm),(MPa),(mm)
0.00000,0.00000,-0.02675,0.00000,-0.00297,0.00000
0.01000,0.00025,-0.07042,0.00000,-0.00782,0.00025
0.02000,0.00206,-0.11759,0.00002,-0.01307,0.00206
0.03000,0.00619,-0.12817,0.00005,-0.01424,0.00619
0.04000,0.01275,-0.03155,0.00011,-0.00351,0.01275
0.05000,0.02144,0.10303,0.00019,0.01145,0.02144
0.06000,0.03169,0.22945,0.00028,0.02549,0.03169
0.07000,0.04281,0.32752,0.00037,0.03639,0.04281
0.08000,0.05412,0.38825,0.00047,0.04314,0.05412
0.09000,0.06531,0.36337,0.00057,0.04037,0.06531
0.10000,0.07600,0.35881,0.00066,0.03987,0.07600
0.11000,0.08612,0.40371,0.00075,0.04486,0.08612
0.12000,0.09575,0.48874,0.00083,0.05430,0.09575
0.13000,0.10494,0.52614,0.00091,0.05846,0.10494
0.14000,0.11375,0.56434,0.00099,0.06270,0.11375
0.15000,0.12231,0.59038,0.00106,0.06560,0.12231
0.16000,0.13081,0.54970,0.00114,0.06108,0.13081
0.17000,0.13925,0.50532,0.00121,0.05615,0.13925
0.18000,0.14769,0.51602,0.00128,0.05734,0.14769
0.19000,0.15625,0.56719,0.00136,0.06302,0.15625
0.20000,0.16481,0.64259,0.00143,0.07140,0.16481
0.21000,0.17331,0.71803,0.00151,0.07978,0.17331
0.22000,0.18181,0.70774,0.00158,0.07864,0.18181
0.23000,0.19031,0.80438,0.00165,0.08938,0.19031
0.24000,0.19881,0.90445,0.00173,0.10049,0.19881
0.25000,0.20731,0.91621,0.00180,0.10180,0.20731
0.26000,0.21581,0.88697,0.00188,0.09855,0.21581
0.27000,0.22425,0.85182,0.00195,0.09465,0.22425
0.28000,0.23269,0.71952,0.00202,0.07995,0.23269
0.29000,0.24106,0.62141,0.00210,0.06905,0.24106
0.30000,0.24944,0.65484,0.00217,0.07276,0.24944
0.31000,0.25775,0.76799,0.00224,0.08533,0.25775
0.32000,0.26612,0.87227,0.00231,0.09692,0.26612
0.33000,0.27450,0.92331,0.00239,0.10259,0.27450
0.34000,0.28294,0.95045,0.00246,0.10561,0.28294
0.35000,0.29137,1.06803,0.00253,0.11867,0.29137
0.36000,0.29975,1.13540,0.00261,0.12616,0.29975
0.37000,0.30806,1.11488,0.00268,0.12388,0.30806
0.38000,0.31637,1.05723,0.00275,0.11747,0.31637
0.39000,0.32475,1.01001,0.00282,0.11222,0.32475
0.40000,0.33306,0.99495,0.00290,0.11055,0.33306
0.41000,0.34144,0.95527,0.00297,0.10614,0.34144
0.42000,0.34987,0.95459,0.00304,0.10607,0.34987
0.43000,0.35819,0.97269,0.00311,0.10808,0.35819
0.44000,0.36656,1.07290,0.00319,0.11921,0.36656
0.45000,0.37487,1.16680,0.00326,0.12964,0.37487
0.46000,0.38319,1.24723,0.00333,0.13858,0.38319
0.47000,0.39156,1.26729,0.00340,0.14081,0.39156
0.48000,0.39994,1.29043,0.00348,0.14338,0.39994
0.49000,0.40837,1.23699,0.00355,0.13744,0.40837
0.50000,0.41675,1.17381,0.00362,0.13042,0.41675
0.51000,0.42506,1.19217,0.00370,0.13246,0.42506
0.52000,0.43337,1.25044,0.00377,0.13894,0.43337
0.53000,0.44169,1.26629,0.00384,0.14070,0.44169
0.54000,0.45000,1.24148,0.00391,0.13794,0.45000
0.55000,0.45831,1.20763,0.00399,0.13418,0.45831
0.56000,0.46669,1.24618,0.00406,0.13846,0.46669
0.57000,0.47506,1.27483,0.00413,0.14165,0.47506
0.58000,0.48337,1.32504,0.00420,0.14723,0.48337
0.59000,0.49169,1.39121,0.00428,0.15458,0.49169
0.60000,0.50000,1.43427,0.00435,0.15936,0.50000
0.61000,0.50831,1.54240,0.00442,0.17138,0.50831
0.62000,0.51656,1.60630,0.00449,0.17848,0.51656
0.63000,0.52494,1.56990,0.00456,0.17443,0.52494
0.64000,0.53331,1.48396,0.00464,0.16488,0.53331
0.65000,0.54162,1.41757,0.00471,0.15751,0.54162
0.66000,0.54994,1.35658,0.00478,0.15073,0.54994
0.67000,0.55825,1.35556,0.00485,0.15062,0.55825
0.68000,0.56656,1.42685,0.00493,0.15854,0.56656
0.69000,0.57494,1.51639,0.00500,0.16849,0.57494
0.70000,0.58331,1.61619,0.00507,0.17958,0.58331
0.71000,0.59162,1.60581,0.00514,0.17842,0.59162
0.72000,0.60000,1.59706,0.00522,0.17745,0.60000
0.73000,0.60837,1.69055,0.00529,0.18784,0.60837
0.74000,0.61669,1.73994,0.00536,0.19333,0.61669
0.75000,0.62500,1.70776,0.00543,0.18975,0.62500
0.76000,0.63337,1.74729,0.00551,0.19414,0.63337
