Time,Extension,Load,
(sec),(mm),(N),(kgf)
0,0,0.556821587,0.05678
0.02,0.01144,0.573492892,0.05848
0.04,0.06794,1.048625085,0.10693
0.06,0.16519,1.50071165,0.15303
0.08,0.27781,1.837079745,0.18733
0.1,0.38575,1.995555209,0.20349
0.12,0.48256,2.079696266,0.21207
0.14,0.57069,2.364775581,0.24114
0.16,0.65519,2.777047147,0.28318
0.18,0.73925,3.148621116,0.32107
0.2,0.82412,3.337889461,0.34037
0.22,0.90962,3.595019824,0.36659
0.24,0.99494,3.804686001,0.38797
0.26,1.07969,4.052598113,0.41325
0.28,1.16406,4.201561126,0.42844
0.3,1.248,4.533614295,0.4623
0.32,1.33162,4.810259892,0.49051
0.34,1.41531,4.894989348,0.49915
0.36,1.49894,5.076510439,0.51766
0.38,1.58244,5.232534241,0.53357
0.4,1.666,5.365316282,0.54711
0.42,1.74944,5.512808298,0.56215
0.44,1.83294,5.665399772,0.57771
0.46,1.9165,5.895169581,0.60114
0.48,1.99987,6.123174194,0.62439
0.5,2.08325,6.263213156,0.63867
0.52,2.16669,6.504162546,0.66324
0.54,2.24994,6.559472052,0.66888
0.56,2.33312,6.691567628,0.68235
0.58,2.41656,6.815719817,0.69501
0.6,2.49987,6.951934185,0.7089
0.62,2.58325,7.066083591,0.72054
0.64,2.66669,7.295363068,0.74392
0.66,2.75006,7.391664371,0.75374
0.68,2.83337,7.51581656,0.7664
0.7,2.91675,7.713420558,0.78655
0.72,3.00006,7.763630606,0.79167
0.74,3.08337,7.750195495,0.7903
0.76,3.16675,7.797169349,0.79509
0.78,3.25,7.99241975,0.815
0.8,3.33325,8.121573331,0.82817
0.82,3.41662,8.38694128,0.85523
0.84,3.49994,8.486772977,0.86541
0.86,3.58325,8.666626938,0.88375
0.88,3.66662,8.607885104,0.87776
0.9,3.75,8.734292823,0.89065
0.92,3.83331,8.890905023,0.90662
0.94,3.91675,9.081938565,0.9261
0.96,4.00006,9.061148467,0.92398
0.98,4.08331,9.172650078,0.93535
1,4.16669,9.295429336,0.94787
1.02,4.25,9.423406118,0.96092
1.04,4.33325,9.502447717,0.96898
1.06,4.41669,9.505585845,0.9693
1.08,4.5,9.640623416,0.98307
1.1,4.58331,9.742514509,0.99346
1.12,4.66675,9.917465145,1.0113
1.14,4.75006,9.922466537,1.01181
1.16,4.83337,9.907854628,1.01032
1.18,4.91669,9.864705368,1.00592
1.2,5,10.11693241,1.03164
1.22,5.08325,10.22637462,1.0428
1.24,5.16662,10.33081544,1.05345
1.26,5.24994,10.29472697,1.04977
1.28,5.33325,10.30590655,1.05091
1.3,5.41669,10.49184064,1.06987
1.32,5.50006,10.5917704,1.08006
1.34,5.58331,10.70238941,1.09134
1.36,5.66675,10.93755288,1.11532
1.38,5.75006,11.13652981,1.13561
1.4,5.83337,11.1011278,1.132
1.42,5.91675,11.17330474,1.13936
1.44,6,11.18762245,1.14082
1.46,6.08331,11.19782137,1.14186
1.48,6.16669,11.30618485,1.15291
1.5,6.25,11.33403574,1.15575
1.52,6.33331,11.30069313,1.15235
1.54,6.41669,11.42337432,1.16486
1.56,6.5,11.6728555,1.1903
1.58,6.58331,11.74434597,1.19759
1.6,6.66669,11.70217738,1.19329
1.62,6.75006,11.80377427,1.20365
1.64,6.83331,11.74964156,1.19813
1.66,6.91669,11.72689014,1.19581
1.68,7,11.99627881,1.22328
1.7,7.08325,12.15318521,1.23928
1.72,7.16662,12.11307601,1.23519
1.74,7.25,12.25144785,1.2493
1.76,7.33337,12.26753075,1.25094
1.78,7.41675,12.29381257,1.25362
1.8,7.50006,12.38864288,1.26329
1.82,7.58337,12.28204459,1.25242
1.84,7.66675,12.38177822,1.26259
1.86,7.75,12.29145898,1.25338
1.88,7.83331,12.45366097,1.26992
1.9,7.91662,12.61615716,1.28649
1.92,7.99994,12.57761702,1.28256
1.94,8.08325,12.52211139,1.2769
1.96,8.16669,12.73746542,1.29886
1.98,8.25012,12.70637834,1.29569
2,8.3335,12.84896703,1.31023
2.02,8.41687,12.84269077,1.30959
2.04,8.50019,12.89554862,1.31498
2.06,8.58331,12.87250299,1.31263
2.08,8.66656,12.97998387,1.32359
2.1,8.74981,12.99047699,1.32466
2.12,8.83306,13.0434329,1.33006
2.14,8.91656,13.12992755,1.33888
2.16,9,13.2568256,1.35182
2.18,9.08331,13.41883146,1.36834
2.2,9.16681,13.45874453,1.37241
2.22,9.25012,13.4131436,1.36776
2.24,9.33337,13.45148761,1.37167
2.26,9.41675,13.47100284,1.37366
2.28,9.50006,13.42334252,1.3688
2.3,9.58331,13.41265327,1.36771
2.32,9.66662,13.46688405,1.37324
2.34,9.74994,13.57701273,1.38447
2.36,9.83319,13.6333029,1.39021
2.38,9.91662,13.62310398,1.38917
2.4,10,13.56553895,1.3833
2.42,10.08331,13.72460281,1.39952
2.44,10.16675,13.85905198,1.41323
2.46,10.25006,13.79472036,1.40667
2.48,10.33331,13.80894,1.40812
2.5,10.41675,13.8461072,1.41191
2.52,10.50006,13.90023991,1.41743
2.54,10.58331,14.10500276,1.43831
2.56,10.66669,14.08695853,1.43647
2.58,10.75,14.0044846,1.42806
2.6,10.83325,14.08597786,1.43637
2.62,10.91668,14.15923354,1.44384
2.64,11.00006,14.20169633,1.44817
2.66,11.08337,14.29731117,1.45792
2.68,11.16681,14.20493253,1.4485
2.7,11.25006,14.18512309,1.44648
2.72,11.33331,14.17570871,1.44552
2.74,11.41662,14.14040477,1.44192
2.76,11.49994,14.15393795,1.4433
2.78,11.58325,14.12932325,1.44079
2.8,11.66669,14.2597517,1.45409
2.82,11.75006,14.41597163,1.47002
2.84,11.83331,14.47412507,1.47595
2.86,11.91675,14.32526012,1.46077
2.88,12.00006,14.21209138,1.44923
2.9,12.08337,14.32545625,1.46079
2.92,12.16669,14.51168454,1.47978
2.94,12.25,14.60808391,1.48961
2.96,12.33325,14.57797749,1.48654
2.98,12.41669,14.64211298,1.49308
3,12.5,14.59298167,1.48807
3.02,12.58331,14.74096401,1.50316
3.04,12.66675,14.82098628,1.51132
3.06,12.75006,14.75675272,1.50477
3.08,12.83337,14.59572753,1.48835
3.1,12.91675,14.60975104,1.48978
3.12,13.00006,14.73409936,1.50246
3.14,13.08331,14.987209,1.52827
3.16,13.16669,14.92640777,1.52207
3.18,13.25,14.91738565,1.52115
3.2,13.33325,14.93121302,1.52256
3.22,13.41662,15.14892065,1.54476
3.24,13.5,15.05438455,1.53512
3.26,13.58331,14.88659277,1.51801
3.28,13.66675,14.94817853,1.52429
3.3,13.75006,15.03634031,1.53328
3.32,13.83331,15.05173675,1.53485
3.34,13.91669,15.07056552,1.53677
3.36,14,15.02368973,1.53199
3.38,14.08325,15.14970519,1.54484
3.4,14.16662,15.16912235,1.54682
3.42,14.24994,15.14725352,1.54459
3.44,14.33325,15.26003,1.55609
3.46,14.41669,15.40153996,1.57052
3.48,14.5,15.38349572,1.56868
3.5,14.58331,15.38879131,1.56922
3.52,14.66675,15.37241421,1.56755
3.54,14.75,15.29062675,1.55921
3.56,14.83331,15.55903476,1.58658
3.58,14.91669,15.41615187,1.57201
3.6,14.99994,15.24502582,1.55456
3.62,15.08325,15.38408412,1.56874
3.64,15.16662,15.30955358,1.56114
3.66,15.25,15.38182859,1.56851
3.68,15.33337,15.31347624,1.56154
3.7,15.41675,15.43782456,1.57422
3.72,15.50006,15.56256515,1.58694
3.74,15.58337,15.67230156,1.59813
3.76,15.66675,15.59963429,1.59072
3.78,15.75006,15.43066571,1.57349
3.8,15.83331,15.43880523,1.57432
3.82,15.91668,15.52324048,1.58293
3.84,16,15.67318416,1.59822
3.86,16.08325,15.83038476,1.61425
3.88,16.16669,15.7910601,1.61024
3.9,16.25,15.7087823,1.60185
3.92,16.33331,15.61385393,1.59217
3.94,16.41675,15.6514134,1.596
3.96,16.50006,15.79812088,1.61096
3.98,16.58331,15.88196774,1.61951
4,16.66668,15.87775088,1.61908
4.02,16.75006,15.93345265,1.62476
4.04,16.83337,15.81665545,1.61285
4.06,16.91675,15.80174934,1.61133
