Time,Extension,Load,Tensile strain,Tensile stress,Corrected Position
(sec),(mm),(N),(mm/mm),(MPa),(mm)
0.00000,0.00000,0.16551,0.00000,0.01839,0.00000
0.01000,0.00319,0.18021,0.00003,0.02002,0.00319
0.02000,0.01994,0.29390,0.00017,0.03266,0.01994
0.03000,0.05144,0.49443,0.00045,0.05494,0.05144
0.04000,0.09775,0.87128,0.00085,0.09681,0.09775
0.05000,0.15869,1.18143,0.00138,0.13127,0.15869
0.06000,0.23412,1.37834,0.00204,0.15315,0.23412
0.07000,0.32219,1.65575,0.00280,0.18397,0.32219
0.08000,0.41794,1.91555,0.00363,0.21284,0.41794
0.09000,0.51825,2.18449,0.00451,0.24272,0.51825
0.10000,0.62162,2.48950,0.00541,0.27661,0.62162
0.11000,0.72737,2.91602,0.00632,0.32400,0.72737
0.12000,0.83500,3.25022,0.00726,0.36114,0.83500
0.13000,0.94425,3.60561,0.00821,0.40062,0.94425
0.14000,1.05494,3.90808,0.00917,0.43423,1.05494
0.15000,1.16600,4.17275,0.01014,0.46364,1.16600
0.16000,1.27412,4.45597,0.01108,0.49511,1.27412
0.17000,1.37675,4.54044,0.01197,0.50449,1.37675
0.18000,1.47344,4.68530,0.01281,0.52059,1.47344
0.19000,1.56469,4.80774,0.01361,0.53419,1.56469
0.20000,1.65181,4.98870,0.01436,0.55430,1.65181
0.21000,1.73625,5.21206,0.01510,0.57912,1.73625
0.22000,1.81925,5.38707,0.01582,0.59856,1.81925
0.23000,1.90187,5.62679,0.01654,0.62520,1.90187
0.24000,1.98475,5.86561,0.01726,0.65173,1.98475
0.25000,2.06819,6.13067,0.01798,0.68119,2.06819
0.26000,2.15225,6.50049,0.01872,0.72228,2.15225
0.27000,2.23675,6.74016,0.01945,0.74891,2.23675
0.28000,2.32162,6.84932,0.02019,0.76104,2.32162
0.29000,2.40656,7.07488,0.02093,0.78610,2.40656
0.30000,2.49150,7.25443,0.02167,0.80605,2.49150
0.31000,2.57625,7.27928,0.02240,0.80881,2.57625
0.32000,2.66075,7.51736,0.02314,0.83526,2.66075
0.33000,2.74506,7.74080,0.02387,0.86009,2.74506
0.34000,2.82912,7.87966,0.02460,0.87552,2.82912
0.35000,2.91306,7.98546,0.02533,0.88727,2.91306
0.36000,2.99687,8.04377,0.02606,0.89375,2.99687
0.37000,3.08056,8.17541,0.02679,0.90838,3.08056
0.38000,3.16412,8.42826,0.02751,0.93647,3.16412
0.39000,3.24775,8.59982,0.02824,0.95554,3.24775
0.40000,3.33131,8.74479,0.02897,0.97164,3.33131
0.41000,3.41481,8.95511,0.02969,0.99501,3.41481
0.42000,3.49831,8.96768,0.03042,0.99641,3.49831
0.43000,3.58181,9.01624,0.03115,1.00180,3.58181
0.44000,3.66531,9.21879,0.03187,1.02431,3.66531
0.45000,3.74887,9.29130,0.03260,1.03237,3.74887
0.46000,3.83244,9.36199,0.03333,1.04022,3.83244
0.47000,3.91587,9.46536,0.03405,1.05171,3.91587
0.48000,3.99937,9.46468,0.03478,1.05163,3.99937
0.49000,4.08281,9.57885,0.03550,1.06432,4.08281
0.50000,4.16619,9.84461,0.03623,1.09385,4.16619
0.51000,4.24956,9.91762,0.03695,1.10196,4.24956
