Time,Extension,Load,Tensile strain,Tensile stress,Corrected Position
(sec),(mm),(N),(mm/mm),(MPa),(mm)
0.00000,0.00000,-0.24623,0.00000,-0.02736,0.00000
0.01000,0.00031,-0.24368,0.00000,-0.02708,0.00031
0.02000,0.00206,-0.22859,0.00002,-0.02540,0.00206
0.03000,0.00606,-0.05973,0.00005,-0.00664,0.00606
0.04000,0.01256,0.19028,0.00011,0.02114,0.01256
0.05000,0.02119,0.34778,0.00018,0.03864,0.02119
0.06000,0.03137,0.38680,0.00027,0.04298,0.03137
0.07000,0.04250,0.32841,0.00037,0.03649,0.04250
0.08000,0.05387,0.19777,0.00047,0.02197,0.05387
0.09000,0.06512,0.15516,0.00057,0.01724,0.06512
0.10000,0.07594,0.15580,0.00066,0.01731,0.07594
0.11000,0.08612,0.19405,0.00075,0.02156,0.08612
0.12000,0.09575,0.30382,0.00083,0.03376,0.09575
0.13000,0.10494,0.37137,0.00091,0.04126,0.10494
0.14000,0.11375,0.46372,0.00099,0.05152,0.11375
0.15000,0.12237,0.57991,0.00106,0.06443,0.12237
0.16000,0.13087,0.75073,0.00114,0.08341,0.13087
0.17000,0.13931,0.78725,0.00121,0.08747,0.13931
0.18000,0.14775,0.78434,0.00128,0.08715,0.14775
0.19000,0.15619,0.75056,0.00136,0.08340,0.15619
0.20000,0.16469,0.77153,0.00143,0.08573,0.16469
0.21000,0.17319,0.80400,0.00151,0.08933,0.17319
0.22000,0.18175,0.88522,0.00158,0.09836,0.18175
0.23000,0.19031,0.83533,0.00165,0.09281,0.19031
0.24000,0.19881,0.79683,0.00173,0.08854,0.19881
0.25000,0.20731,0.83640,0.00180,0.09293,0.20731
0.26000,0.21581,0.90170,0.00188,0.10019,0.21581
0.27000,0.22419,0.86685,0.00195,0.09632,0.22419
0.28000,0.23262,0.85808,0.00202,0.09534,0.23262
0.29000,0.24106,0.89866,0.00210,0.09985,0.24106
0.30000,0.24950,0.94461,0.00217,0.10496,0.24950
0.31000,0.25794,1.03010,0.00224,0.11446,0.25794
0.32000,0.26625,1.13921,0.00232,0.12658,0.26625
0.33000,0.27462,1.17622,0.00239,0.13069,0.27462
0.34000,0.28294,1.22265,0.00246,0.13585,0.28294
0.35000,0.29125,1.28648,0.00253,0.14294,0.29125
0.36000,0.29962,1.26904,0.00261,0.14100,0.29962
0.37000,0.30806,1.26490,0.00268,0.14054,0.30806
0.38000,0.31644,1.24886,0.00275,0.13876,0.31644
0.39000,0.32481,1.23894,0.00282,0.13766,0.32481
0.40000,0.33312,1.25094,0.00290,0.13899,0.33312
0.41000,0.34144,1.31844,0.00297,0.14649,0.34144
0.42000,0.34981,1.41200,0.00304,0.15689,0.34981
0.43000,0.35819,1.44278,0.00311,0.16031,0.35819
0.44000,0.36656,1.39358,0.00319,0.15484,0.36656
0.45000,0.37494,1.41866,0.00326,0.15763,0.37494
0.46000,0.38331,1.48775,0.00333,0.16531,0.38331
0.47000,0.39169,1.50455,0.00341,0.16717,0.39169
0.48000,0.40000,1.47161,0.00348,0.16351,0.40000
0.49000,0.40831,1.42324,0.00355,0.15814,0.40831
0.50000,0.41656,1.42982,0.00362,0.15887,0.41656
0.51000,0.42494,1.50472,0.00370,0.16719,0.42494
0.52000,0.43325,1.66318,0.00377,0.18480,0.43325
0.53000,0.44162,1.81678,0.00384,0.20186,0.44162
0.54000,0.45000,1.81987,0.00391,0.20221,0.45000
0.55000,0.45831,1.73173,0.00399,0.19241,0.45831
0.56000,0.46662,1.67802,0.00406,0.18645,0.46662
0.57000,0.47494,1.69051,0.00413,0.18783,0.47494
0.58000,0.48325,1.78166,0.00420,0.19796,0.48325
0.59000,0.49162,1.86547,0.00427,0.20727,0.49162
0.60000,0.50000,1.85399,0.00435,0.20600,0.50000
0.61000,0.50837,1.69501,0.00442,0.18833,0.50837
