Time,Extension,Load
(sec),(mm),(N)
0.00000,0.00000,-0.10244
0.10000,0.07569,0.04196
0.20000,0.16469,0.35811
0.30000,0.24931,0.69625
0.40000,0.33294,0.71875
0.50000,0.41675,1.02793
0.60000,0.50000,1.08350
0.70000,0.58331,1.12353
0.80000,0.66675,1.21090
0.90000,0.74994,1.73554
1.00000,0.83325,1.62853
1.10000,0.91675,1.84932
1.20000,0.99994,2.10329
1.30000,1.08331,2.09393
1.40000,1.16681,2.44761
1.50000,1.25000,2.31844
1.60000,1.33325,2.62141
1.70000,1.41675,2.79428
1.80000,1.49994,2.79325
1.90000,1.58325,2.85832
2.00000,1.66669,3.00513
2.10000,1.75000,3.13934
2.20000,1.83331,3.41418
2.30000,1.91675,3.41163
2.40000,2.00000,3.53653
2.50000,2.08331,3.58533
2.60000,2.16681,3.65991
2.70000,2.24994,3.90952
2.80000,2.33325,3.91682
2.90000,2.41675,4.24566
3.00000,2.49994,4.14741
3.10000,2.58325,4.45293
3.20000,2.66669,4.48997
3.30000,2.75000,4.47963
3.40000,2.83325,4.50629
3.50000,2.91675,4.54034
3.60000,3.00000,4.82900
3.70000,3.08331,4.73953
3.80000,3.16681,5.18660
3.90000,3.24994,4.98266
4.00000,3.33331,5.11991
4.10000,3.41675,5.26275
4.20000,3.49994,5.33095
4.30000,3.58325,5.53004
4.40000,3.66681,5.50461
4.50000,3.75000,5.75216
4.60000,3.83331,5.75456
4.70000,3.91681,5.95477
4.80000,3.99994,5.92258
4.90000,4.08331,5.97540
5.00000,4.16669,5.87618
5.10000,4.24994,6.21256
5.20000,4.33331,6.35681
5.30000,4.41675,6.23113
5.40000,4.49994,6.13813
5.50000,4.58325,6.45016
5.60000,4.66681,6.55835
5.70000,4.74994,6.61357
5.80000,4.83325,6.72686
5.90000,4.91681,6.87901
6.00000,5.00000,6.71250
6.10000,5.08319,6.91188
6.20000,5.16669,7.06589
6.30000,5.25000,6.95344
6.40000,5.33325,7.39894
6.50000,5.41675,7.10524
6.60000,5.50000,7.27963
6.70000,5.58331,7.36744
6.80000,5.66681,7.54761
6.90000,5.74994,7.54565
7.00000,5.83325,7.55976
7.10000,5.91675,7.77982
7.20000,5.99994,7.69069
7.30000,6.08325,7.79021
7.40000,6.16675,7.93662
7.50000,6.25000,7.78967
7.60000,6.33325,8.15633
7.70000,6.41669,8.09376
7.80000,6.50000,8.23101
7.90000,6.58331,8.36272
8.00000,6.66675,8.18867
8.10000,6.75000,8.34146
8.20000,6.83331,8.38864
8.30000,6.91681,8.67701
8.40000,6.99994,8.66760
8.50000,7.08325,8.61179
8.60000,7.16675,8.52535
8.70000,7.24994,8.77697
8.80000,7.33325,8.89138
8.90000,7.41681,8.97243
9.00000,7.50006,8.84429
9.10000,7.58331,8.95567
9.20000,7.66675,9.11227
9.30000,7.74994,9.21772
9.40000,7.83319,9.31523
9.50000,7.91669,9.21478
9.60000,7.99994,9.21645
9.70000,8.08331,9.32297
9.80000,8.16687,9.41916
9.90000,8.25000,9.47605
10.00000,8.33325,9.76912
10.10000,8.41681,9.68709
10.20000,8.49994,9.56209
10.30000,8.58319,9.79009
10.40000,8.66675,9.81277
10.50000,8.75000,9.81655
10.60000,8.83325,9.97771
10.70000,8.91675,9.97673
10.80000,8.99994,10.12040
10.90000,9.08331,10.17175
11.00000,9.16675,10.03803
11.10000,9.25000,10.25064
11.20000,9.33331,10.12574
11.30000,9.41675,10.25416
11.40000,9.49994,10.39337
11.50000,9.58319,10.51553
11.60000,9.66675,10.57320
11.70000,9.74994,10.36804
11.80000,9.83325,10.58766
11.90000,9.91681,10.51793
12.00000,10.00000,10.72133
12.10000,10.08331,10.55664
12.20000,10.16675,10.54895
12.30000,10.25000,10.81394
12.40000,10.33325,10.92747
12.50000,10.41675,10.84123
12.60000,10.49994,10.91130
12.70000,10.58325,11.07751
12.80000,10.66675,10.94055
12.90000,10.74994,10.97657
13.00000,10.83325,11.01611
13.10000,10.91675,11.17071
13.20000,11.00000,11.02919
13.30000,11.08331,11.17590
13.40000,11.16669,11.17884
13.50000,11.25000,11.40542
13.60000,11.33325,11.28664
13.70000,11.41669,11.36778
13.80000,11.49994,11.29355
13.90000,11.58325,11.34088
14.00000,11.66675,11.59269
14.10000,11.75000,11.37264
14.20000,11.83331,11.44119
14.30000,11.91675,11.45868
14.40000,12.00000,11.47637
14.50000,12.08325,11.59656
14.60000,12.16669,11.54967
14.70000,12.25000,11.69187
14.80000,12.33325,11.62763
14.90000,12.41675,11.81858
15.00000,12.50000,11.92560
15.10000,12.58331,11.74048
15.20000,12.66675,12.05280
15.30000,12.74994,12.11111
15.40000,12.83325,11.81216
15.50000,12.91681,11.94951
15.60000,12.99994,12.13645
15.70000,13.08325,12.04089
15.80000,13.16681,11.96401
15.90000,13.24994,11.90933
16.00000,13.33319,12.34474
16.10000,13.41675,12.05290
16.20000,13.49994,12.27364
16.30000,13.58325,12.18589
16.40000,13.66675,12.22807
16.50000,13.75000,12.30662
16.60000,13.83331,12.19755
16.70000,13.91675,12.32127
16.80000,13.99994,12.24194
16.90000,14.08325,12.27972
17.00000,14.16675,12.31515
17.10000,14.25000,12.21063
17.20000,14.33325,12.66770
17.30000,14.41675,12.30255
17.40000,14.50000,12.54398
17.50000,14.58325,12.46974
17.60000,14.66675,12.54736
17.70000,14.75000,12.70602
17.80000,14.83331,12.53476
17.90000,14.91669,12.64457
18.00000,15.00000,12.60831
18.10000,15.08319,12.62306
18.20000,15.16675,12.47430
18.30000,15.24994,12.69558
18.40000,15.33331,12.93627
18.50000,15.41681,12.77790
