Time,Extension,Load,Tensile strain,Tensile stress,Corrected Position
(sec),(mm),(N),(mm/mm),(MPa),(mm)
0.00000,0.00000,-0.06329,0.00000,-0.00703,0.00000
0.01000,0.00312,-0.09270,0.00003,-0.01030,0.00312
0.02000,0.01981,0.07837,0.00017,0.00871,0.01981
0.03000,0.05131,0.35130,0.00045,0.03903,0.05131
0.04000,0.09756,0.60020,0.00085,0.06669,0.09756
0.05000,0.15837,0.79772,0.00138,0.08864,0.15837
0.06000,0.23375,0.98562,0.00203,0.10951,0.23375
0.07000,0.32162,1.23180,0.00280,0.13687,0.32162
0.08000,0.41706,1.40586,0.00363,0.15621,0.41706
0.09000,0.51712,1.45575,0.00450,0.16175,0.51712
0.10000,0.62031,1.42695,0.00539,0.15855,0.62031
0.11000,0.72581,1.56510,0.00631,0.17390,0.72581
0.12000,0.83325,1.62258,0.00725,0.18029,0.83325
0.13000,0.94231,1.76997,0.00819,0.19666,0.94231
0.14000,1.05281,1.93455,0.00915,0.21495,1.05281
0.15000,1.16412,2.07508,0.01012,0.23056,1.16412
0.16000,1.27294,2.26391,0.01107,0.25155,1.27294
0.17000,1.37650,2.33314,0.01197,0.25924,1.37650
0.18000,1.47400,2.41267,0.01282,0.26807,1.47400
0.19000,1.56587,2.45905,0.01362,0.27323,1.56587
0.20000,1.65331,2.56150,0.01438,0.28461,1.65331
0.21000,1.73775,2.72672,0.01511,0.30297,1.73775
0.22000,1.82069,2.89186,0.01583,0.32132,1.82069
0.23000,1.90306,3.17427,0.01655,0.35270,1.90306
0.24000,1.98569,3.47291,0.01727,0.38588,1.98569
0.25000,2.06887,3.66553,0.01799,0.40728,2.06887
0.26000,2.15269,3.81153,0.01872,0.42350,2.15269
0.27000,2.23706,3.86399,0.01945,0.42933,2.23706
0.28000,2.32181,3.86323,0.02019,0.42925,2.32181
0.29000,2.40669,4.04596,0.02093,0.44955,2.40669
0.30000,2.49162,4.23970,0.02167,0.47108,2.49162
0.31000,2.57637,4.35547,0.02240,0.48394,2.57637
