Time,Extension,Load
(sec),(mm),(N)
0.00000,0.00000,0.49578
0.10000,0.07600,0.89940
0.20000,0.16475,1.24053
0.30000,0.24931,1.40272
0.40000,0.33300,2.04310
0.50000,0.41669,2.36748
0.60000,0.50000,2.18794
0.70000,0.58331,2.44789
0.80000,0.66675,2.90373
0.90000,0.75000,2.93750
1.00000,0.83319,3.16539
1.10000,0.91669,3.37188
1.20000,0.99987,3.49306
1.30000,1.08325,3.86011
1.40000,1.16675,4.14818
1.50000,1.25006,4.18694
1.60000,1.33331,4.13579
1.70000,1.41681,4.60736
1.80000,1.50000,4.54062
1.90000,1.58319,4.59624
2.00000,1.66669,4.95796
2.10000,1.75006,5.21785
2.20000,1.83325,5.49186
2.30000,1.91675,5.52253
2.40000,2.00000,5.83799
2.50000,2.08331,6.04791
2.60000,2.16681,6.14052
2.70000,2.25000,6.36092
2.80000,2.33325,6.26321
2.90000,2.41669,6.38037
3.00000,2.50000,6.86469
3.10000,2.58325,6.80510
3.20000,2.66675,7.08234
3.30000,2.75000,7.05098
3.40000,2.83325,7.20239
3.50000,2.91681,7.43495
3.60000,3.00006,7.38031
3.70000,3.08325,7.46180
3.80000,3.16675,7.73811
3.90000,3.24994,7.89045
4.00000,3.33325,7.91495
4.10000,3.41669,7.87614
4.20000,3.50000,8.12369
4.30000,3.58325,8.48898
4.40000,3.66675,8.64240
4.50000,3.75006,8.40103
4.60000,3.83325,8.67033
4.70000,3.91675,8.75172
4.80000,4.00000,9.09800
4.90000,4.08319,9.00583
5.00000,4.16675,9.25750
5.10000,4.25000,9.28694
5.20000,4.33325,9.33624
5.30000,4.41675,9.41483
5.40000,4.50000,9.75166
5.50000,4.58331,9.92340
5.60000,4.66675,10.01636
5.70000,4.74994,10.17080
5.80000,4.83325,10.19408
5.90000,4.91681,10.32408
6.00000,5.00006,10.15963
6.10000,5.08325,10.60323
6.20000,5.16669,10.80966
6.30000,5.24994,10.74381
6.40000,5.33325,10.84994
6.50000,5.41669,11.06015
6.60000,5.50000,11.08068
6.70000,5.58331,11.16589
6.80000,5.66675,11.39781
6.90000,5.75000,11.33078
7.00000,5.83325,11.63409
7.10000,5.91675,11.69641
7.20000,6.00000,11.76114
7.30000,6.08325,11.87683
7.40000,6.16681,12.07371
7.50000,6.25000,12.26310
7.60000,6.33319,12.13320
7.70000,6.41675,12.41906
7.80000,6.50000,12.14878
7.90000,6.58331,12.48659
8.00000,6.66669,12.78446
8.10000,6.75000,12.87858
8.20000,6.83325,12.88672
8.30000,6.91675,12.95434
8.40000,7.00000,13.13735
8.50000,7.08325,13.16396
8.60000,7.16675,13.31890
8.70000,7.25000,13.46766
8.80000,7.33325,13.44919
8.90000,7.41675,13.54214
9.00000,7.50000,13.86049
9.10000,7.58325,13.88151
9.20000,7.66675,14.17791
9.30000,7.75000,14.13406
9.40000,7.83319,14.18384
9.50000,7.91669,14.13930
9.60000,8.00000,14.34784
9.70000,8.08325,14.49989
9.80000,8.16687,14.74793
9.90000,8.25000,14.74283
10.00000,8.33325,14.86705
10.10000,8.41675,15.03835
10.20000,8.50000,15.07378
10.30000,8.58312,15.03958
10.40000,8.66675,15.36591
10.50000,8.75000,15.28585
10.60000,8.83319,15.53198
10.70000,8.91669,15.76164
10.80000,9.00000,15.61625
10.90000,9.08331,15.68240
11.00000,9.16681,15.66947
11.10000,9.25000,16.16334
11.20000,9.33331,16.09582
11.30000,9.41681,16.26143
11.40000,9.49987,16.50545
11.50000,9.58319,16.36772
11.60000,9.66669,16.48973
11.70000,9.75000,16.52153
11.80000,9.83325,16.47865
11.90000,9.91675,16.55563
12.00000,10.00006,16.78206
12.10000,10.08331,16.97855
12.20000,10.16675,16.87805
12.30000,10.25000,17.31052
12.40000,10.33325,17.11727
12.50000,10.41669,17.33434
12.60000,10.50000,17.45537
12.70000,10.58325,17.54695
12.80000,10.66675,17.72942
12.90000,10.75000,17.64078
13.00000,10.83325,17.69292
13.10000,10.91675,17.77597
13.20000,11.00000,17.96712
13.30000,11.08325,18.07566
13.40000,11.16675,17.88073
13.50000,11.25000,18.34824
13.60000,11.33325,18.47667
13.70000,11.41675,18.25852
13.80000,11.49994,18.49122
13.90000,11.58325,18.52582
14.00000,11.66675,18.55674
14.10000,11.75000,18.68178
14.20000,11.83331,18.77924
14.30000,11.91675,18.82991
14.40000,12.00000,18.99004
14.50000,12.08325,18.81933
14.60000,12.16669,19.08378
14.70000,12.25000,19.17903
14.80000,12.33319,19.25048
14.90000,12.41675,19.35989
15.00000,12.50000,19.29752
15.10000,12.58331,19.54011
15.20000,12.66675,19.40037
15.30000,12.75000,19.74591
15.40000,12.83325,19.55535
15.50000,12.91681,19.71735
15.60000,13.00000,19.79653
15.70000,13.08331,19.86964
15.80000,13.16675,19.92858
15.90000,13.25000,19.74327
16.00000,13.33319,20.10101
16.10000,13.41669,20.17569
16.20000,13.50000,20.44690
16.30000,13.58325,20.55867
16.40000,13.66675,20.39305
16.50000,13.75000,20.41540
16.60000,13.83331,20.54201
16.70000,13.91675,20.70023
16.80000,14.00000,20.71827
16.90000,14.08325,20.63849
17.00000,14.16675,20.83454
17.10000,14.25000,21.02559
17.20000,14.33325,20.79309
17.30000,14.41675,21.03887
17.40000,14.50006,21.09855
17.50000,14.58325,21.10046
17.60000,14.66681,21.23419
17.70000,14.75006,21.06136
17.80000,14.83331,21.09713
17.90000,14.91675,21.32885
18.00000,15.00000,21.52426
18.10000,15.08325,21.45449
18.20000,15.16669,21.44047
18.30000,15.24994,21.61585
18.40000,15.33325,21.60707
18.50000,15.41681,21.69611
18.60000,15.50006,21.70061
18.70000,15.58331,21.74736
18.80000,15.66681,21.97428
18.90000,15.75000,21.96379
19.00000,15.83318,21.97144
19.10000,15.91662,22.17993
19.20000,15.99994,22.20865
19.30000,16.08325,22.13255
19.40000,16.16675,22.16920
19.50000,16.25006,22.21124
19.60000,16.33331,22.46883
19.70000,16.41681,22.48456
19.80000,16.50000,22.41734
19.90000,16.58325,22.52759
20.00000,16.66675,22.54934
20.10000,16.75000,22.44982
20.20000,16.83325,22.54929
20.30000,16.91675,22.39083
20.40000,16.99993,22.50279
20.50000,17.08318,22.81237
20.60000,17.16675,22.71947
20.70000,17.25000,22.83202
20.80000,17.33331,22.80336
20.90000,17.41681,22.83364
21.00000,17.50000,22.77606
21.10000,17.58331,23.07486
21.20000,17.66675,22.91596
21.30000,17.74994,23.32065
21.40000,17.83325,23.00166
21.50000,17.91675,22.97231
21.60000,17.99993,23.07031
21.70000,18.08325,23.29316
21.80000,18.16675,23.13156
21.90000,18.25006,23.26459
22.00000,18.33331,23.36083
22.10000,18.41675,23.25229
22.20000,18.50000,23.45079
22.30000,18.58318,23.39140
