Time,Extension,Load,Tensile strain,Tensile stress,Corrected Position
(sec),(mm),(N),(mm/mm),(MPa),(mm)
0.00000,0.00000,-0.45460,0.00000,-0.05051,0.00000
0.01000,0.00031,-0.38052,0.00000,-0.04228,0.00031
0.02000,0.00206,-0.33474,0.00002,-0.03719,0.00206
0.03000,0.00612,-0.30031,0.00005,-0.03337,0.00612
0.04000,0.01262,-0.26622,0.00011,-0.02958,0.01262
0.05000,0.02131,-0.22390,0.00019,-0.02488,0.02131
0.06000,0.03156,-0.15777,0.00027,-0.01753,0.03156
0.07000,0.04262,-0.17278,0.00037,-0.01920,0.04262
0.08000,0.05394,-0.19008,0.00047,-0.02112,0.05394
0.09000,0.06512,-0.16277,0.00057,-0.01809,0.06512
0.10000,0.07581,-0.02388,0.00066,-0.00265,0.07581
0.11000,0.08600,0.20085,0.00075,0.02232,0.08600
0.12000,0.09562,0.29700,0.00083,0.03300,0.09562
0.13000,0.10481,0.31160,0.00091,0.03462,0.10481
0.14000,0.11356,0.32010,0.00099,0.03557,0.11356
0.15000,0.12219,0.33609,0.00106,0.03734,0.12219
0.16000,0.13069,0.41037,0.00114,0.04560,0.13069
0.17000,0.13919,0.48613,0.00121,0.05401,0.13919
0.18000,0.14769,0.43007,0.00128,0.04779,0.14769
0.19000,0.15619,0.38094,0.00136,0.04233,0.15619
0.20000,0.16469,0.35970,0.00143,0.03997,0.16469
0.21000,0.17325,0.30849,0.00151,0.03428,0.17325
0.22000,0.18175,0.26867,0.00158,0.02985,0.18175
0.23000,0.19031,0.27153,0.00165,0.03017,0.19031
0.24000,0.19881,0.31839,0.00173,0.03538,0.19881
0.25000,0.20731,0.35444,0.00180,0.03938,0.20731
0.26000,0.21581,0.39546,0.00188,0.04394,0.21581
0.27000,0.22431,0.45652,0.00195,0.05072,0.22431
0.28000,0.23269,0.56398,0.00202,0.06266,0.23269
0.29000,0.24106,0.61238,0.00210,0.06804,0.24106
0.30000,0.24944,0.70133,0.00217,0.07793,0.24944
0.31000,0.25781,0.83361,0.00224,0.09262,0.25781
0.32000,0.26625,0.92013,0.00232,0.10224,0.26625
0.33000,0.27469,0.84845,0.00239,0.09427,0.27469
